snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,3,1625,1000,625,46,0.76,0.2423236074270557,3.2694568227986793,5.050758473669325,1.544831067487791,0.5803103103103103,1.5424766550889004,0.005912820512820513,1.516660432325454
2000,pre_retrain_encoder,5,1625,1000,625,24,0.914,0.4041614247821144,7.169018275451448,9.354440912100038,1.3048426650176128,0.8362982982982983,1.2901376768171964,0.038564102564102566,1.3943170233245812
2000,pre_retrain_encoder,10,1625,1000,625,7,0.981,0.5298757104964001,9.943086033971305,11.276541701493379,1.1341088333105258,0.9624284284284285,1.0979521580202656,0.10701538461538461,1.242068226244464
2000,pre_retrain_encoder,20,1625,1000,625,3,0.998,0.6782015915119364,13.362003575262564,14.542041425700805,1.0883129422763274,0.996002002002002,1.0430411577208376,0.29753846153846153,1.1773436077775172
2000,pre_retrain_encoder,30,1625,1000,625,1,1.0,0.7485524820007579,15.168433548575115,16.059349844517893,1.0587348913181922,1.0,1.0194757529043312,0.4216153846153846,1.129775441140628
10000,final_one_retrain_encoder,3,1625,1000,625,43,0.221,0.05921864342553998,4.751408530512291,7.734299582837692,1.6277909030911704,0.12457457457457458,1.6442216390728763,0.006523076923076923,1.5162580110758213
10000,final_one_retrain_encoder,5,1625,1000,625,10,0.734,0.2914861690034104,9.251502113748057,11.65838953960918,1.2601617981889022,0.5742702702702702,1.2508451307592041,0.04031794871794872,1.337969003907871
10000,final_one_retrain_encoder,10,1625,1000,625,5,0.995,0.5674331186055324,13.570668723279427,15.102020859580056,1.1128427911348033,0.990022022022022,1.1000263269648145,0.1348769230769231,1.1680061539859763
10000,final_one_retrain_encoder,20,1625,1000,625,2,0.996,0.6328268283440697,14.592977878984637,15.385106007120948,1.0542814588430958,0.992024024024024,1.0395667594591722,0.22828205128205128,1.1056096293545088
10000,final_one_retrain_encoder,30,1625,1000,625,2,0.996,0.6711330049261084,15.278712288255766,15.891269091679568,1.040092174776709,0.992024024024024,1.0266543799111552,0.2930871794871795,1.0837394592008298
20000,final_one_retrain_encoder,3,1625,1000,625,42,0.618,0.1874785903751421,7.674955369686917,14.565718648531773,1.8978245405909049,0.3997677677677678,1.9267978837964377,0.014261538461538461,1.760263034649802
20000,final_one_retrain_encoder,5,1625,1000,625,5,0.946,0.4726184160666919,11.456025760231505,15.961557676251289,1.3932892619411092,0.8961981981981982,1.3881667802630087,0.07806666666666667,1.4469448505937943
20000,final_one_retrain_encoder,10,1625,1000,625,1,1.0,0.5963508904888215,14.518345839233987,16.305457319135332,1.1230933261743843,1.0,1.102109350950187,0.16607692307692307,1.1927351410394609
20000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,0.6657635467980295,15.719355174317943,16.488076855740818,1.0489028762883863,1.0,1.0331785397177833,0.27166666666666667,1.0934033887703238
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.725302008336491,16.86902166960623,17.5073108840182,1.0378379509442452,1.0,1.0190769792843455,0.3771076923076923,1.0838063747720106
