snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,3,1625,1000,625,33,0.81,0.2722000757862827,3.0620728326401068,5.208854202885966,1.7010876251414677,0.6582142142142142,1.7203422740132936,0.005107692307692308,1.6501249696272695
2000,pre_retrain_encoder,5,1625,1000,625,14,0.969,0.4371239105721864,6.442316928201495,8.175518236504024,1.2690338472352038,0.939007007007007,1.2739247239152527,0.029507692307692308,1.3123116483102513
2000,pre_retrain_encoder,10,1625,1000,625,7,0.991,0.5027821144372868,8.187765784720327,8.818356761795872,1.0770162451706091,0.9820840840840841,1.0653400778953648,0.06773846153846154,1.127157487957549
2000,pre_retrain_encoder,20,1625,1000,625,2,0.999,0.5852428950359985,10.408117482148725,10.832424276913336,1.0407669105861221,0.998,1.0180036741008602,0.15356923076923076,1.1230175576009582
2000,pre_retrain_encoder,30,1625,1000,625,2,0.999,0.6189511178476695,11.209809172317359,11.514546366153063,1.027184868997436,0.998,1.0083447232602545,0.2022923076923077,1.07720807897515
10000,final_one_retrain_encoder,3,1625,1000,625,44,0.788,0.29321485411140585,7.295108695158965,14.359223513223103,1.9683357867925786,0.6235895895895895,1.997553501164467,0.02256923076923077,1.8421423155243655
10000,final_one_retrain_encoder,5,1625,1000,625,19,0.93,0.4628503220917014,8.642417602212019,11.59409116132816,1.3415333179873954,0.8657717717717718,1.3283215921322509,0.07998461538461539,1.4167291395625081
10000,final_one_retrain_encoder,10,1625,1000,625,6,0.989,0.580773020083365,10.179451704353056,11.171945209383946,1.097499701738009,0.9781261261261261,1.0762874603603203,0.16070256410256412,1.1609390822279095
10000,final_one_retrain_encoder,20,1625,1000,625,3,0.995,0.7101682455475559,12.63538146314664,13.278641560306657,1.0509094322982018,0.990028028028028,1.0230449628420335,0.36046153846153844,1.1063546863176896
10000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.7983524062144752,13.90652688013616,14.641299231969212,1.0528365103786328,1.0,1.0165763196740583,0.5226974358974359,1.1163503813870925
20000,final_one_retrain_encoder,3,1625,1000,625,56,0.476,0.14554679802955664,7.391804554273705,13.389381344043683,1.8113819495271113,0.278978978978979,1.8293796523299155,0.02315897435897436,1.7378830899438606
20000,final_one_retrain_encoder,5,1625,1000,625,16,0.949,0.5235695339143615,10.716888245193083,14.208910644744597,1.3258429424341356,0.9007887887887888,1.3196759864369498,0.13289743589743588,1.377071885575056
20000,final_one_retrain_encoder,10,1625,1000,625,2,0.995,0.658101553618795,12.798146504740242,14.129550141406257,1.1040309732485782,0.9900400400400401,1.0809764069290302,0.2683333333333333,1.168228353238664
20000,final_one_retrain_encoder,20,1625,1000,625,2,0.995,0.7546381205001894,14.016243068101867,14.633616714494295,1.0440470134109936,0.9900400400400401,1.0249936914904203,0.44661538461538464,1.0895309568800375
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.8486214475179993,15.502239497844089,16.03739011531992,1.034520858586287,1.0,1.0124340831070628,0.6320820512820513,1.083618283539167
