map,seed,stage,refresh_index,evaluation,component_count,support_finite_pair_fraction,reachable_centroid_count,reachable_centroid_fraction,unreachable_centroid_count,penalty_distance
horseshoe,1001,pre_retrain,0,2000,3,0.45613818181818183,366,0.5856,259,179.31460531565875
horseshoe,1001,pre_retrain,1,2250,3,0.50592,409,0.6544,216,179.31460531565875
horseshoe,1001,pre_retrain,2,2500,3,0.5206836363636363,416,0.6656,209,179.31460531565875
horseshoe,1001,pre_retrain,3,2750,4,0.5603854545454545,450,0.72,175,179.31460531565875
horseshoe,1001,pre_retrain,4,3000,3,0.5862327272727272,460,0.736,165,223.27023694623904
horseshoe,1001,pre_retrain,5,3250,1,0.6837818181818182,470,0.752,155,295.0473203592091
horseshoe,1001,pre_retrain,6,3500,2,0.6875418181818181,478,0.7648,147,295.2627087923927
horseshoe,1001,pre_retrain,7,3750,4,0.6021672727272728,492,0.7872,133,223.27023694623904
horseshoe,1001,pre_retrain,8,4000,4,0.6057818181818182,512,0.8192,113,181.09562229309748
horseshoe,1001,pre_retrain,9,4250,3,0.590029090909091,494,0.7904,131,193.5173242000781
horseshoe,1001,pre_retrain,10,4500,3,0.5875854545454545,494,0.7904,131,203.2815864459262
horseshoe,1001,pre_retrain,11,4750,2,0.7102327272727272,506,0.8096,119,215.11039533236303
horseshoe,1001,pre_retrain,12,5000,3,0.643090909090909,514,0.8224,111,203.2815864459262
horseshoe,1001,pre_retrain,13,5250,4,0.6402036363636364,507,0.8112,118,203.2815864459262
horseshoe,1001,pre_retrain,14,5500,3,0.6965236363636363,507,0.8112,118,210.14543804551042
horseshoe,1001,pre_retrain,15,5750,1,0.7264945454545455,492,0.7872,133,223.8546725561734
horseshoe,1001,pre_retrain,16,6000,2,0.6584727272727273,469,0.7504,156,213.17301120262005
horseshoe,1001,pre_retrain,17,6250,2,0.6812218181818182,488,0.7808,137,243.88004714514244
horseshoe,1001,pre_retrain,18,6500,1,0.7164290909090909,490,0.784,135,241.35172416451488
horseshoe,1001,pre_retrain,19,6750,2,0.6769018181818182,485,0.776,140,244.18096746100971
horseshoe,1001,pre_retrain,20,7000,2,0.7168945454545455,502,0.8032,123,211.36544679506324
horseshoe,1001,pre_retrain,21,7250,3,0.6707563636363636,502,0.8032,123,213.19755664845962
horseshoe,1001,pre_retrain,22,7500,2,0.70712,505,0.808,120,211.95347426462567
horseshoe,1001,pre_retrain,23,7750,1,0.7664363636363636,514,0.8224,111,217.0316594952165
horseshoe,1001,pre_retrain,24,8000,1,0.7694181818181818,516,0.8256,109,217.9663722806826
horseshoe,1001,pre_retrain,25,8250,1,0.7708872727272728,512,0.8192,113,217.6686105757421
horseshoe,1001,pre_retrain,26,8500,1,0.7844363636363636,521,0.8336,104,217.84846273577725
horseshoe,1001,pre_retrain,27,8750,1,0.7724,518,0.8288,107,222.11827605108263
horseshoe,1001,pre_retrain,28,9000,2,0.7614472727272728,519,0.8304,106,214.63090023951844
horseshoe,1001,pre_retrain,29,9250,1,0.7783636363636364,522,0.8352,103,217.8040642757527
horseshoe,1001,pre_retrain,30,9500,1,0.7663563636363636,519,0.8304,106,241.2846269604446
horseshoe,1001,pre_retrain,31,9750,1,0.7515927272727273,509,0.8144,116,239.14208825014464
horseshoe,1001,pre_retrain,32,10000,1,0.7515927272727273,509,0.8144,116,241.40943791949977
horseshoe,1001,post_retrain,0,10000,2,0.37727272727272726,334,0.5344,291,190.45053937859396
horseshoe,1001,post_retrain,1,10250,3,0.3819127272727273,336,0.5376,289,190.45053937859396
horseshoe,1001,post_retrain,2,10500,4,0.37288,341,0.5456,284,190.45053937859396
horseshoe,1001,post_retrain,3,10750,3,0.35774545454545453,322,0.5152,303,190.45053937859396
horseshoe,1001,post_retrain,4,11000,3,0.36870545454545456,325,0.52,300,190.45053937859396
horseshoe,1001,post_retrain,5,11250,2,0.3901818181818182,322,0.5152,303,190.45053937859396
horseshoe,1001,post_retrain,6,11500,2,0.4014836363636364,328,0.5248,297,190.45053937859396
horseshoe,1001,post_retrain,7,11750,2,0.40279272727272725,329,0.5264,296,190.45053937859396
horseshoe,1001,post_retrain,8,12000,1,0.39865454545454543,306,0.4896,319,190.45053937859396
horseshoe,1001,post_retrain,9,12250,1,0.40032,309,0.4944,316,190.45053937859396
horseshoe,1001,post_retrain,10,12500,2,0.4046181818181818,332,0.5312,293,190.45053937859396
horseshoe,1001,post_retrain,11,12750,2,0.4046181818181818,332,0.5312,293,190.45053937859396
horseshoe,1001,post_retrain,12,13000,2,0.41545454545454547,346,0.5536,279,190.45053937859396
horseshoe,1001,post_retrain,13,13250,2,0.42962181818181816,354,0.5664,271,190.45053937859396
horseshoe,1001,post_retrain,14,13500,3,0.40796363636363636,352,0.5632,273,190.45053937859396
horseshoe,1001,post_retrain,15,13750,2,0.45072,367,0.5872,258,190.45053937859396
horseshoe,1001,post_retrain,16,14000,2,0.4451272727272727,362,0.5792,263,190.45053937859396
horseshoe,1001,post_retrain,17,14250,1,0.45943272727272727,345,0.552,280,190.45053937859396
horseshoe,1001,post_retrain,18,14500,1,0.46741818181818184,351,0.5616,274,190.45053937859396
horseshoe,1001,post_retrain,19,14750,1,0.4489890909090909,339,0.5424,286,190.45053937859396
horseshoe,1001,post_retrain,20,15000,2,0.44852363636363635,355,0.568,270,190.45053937859396
horseshoe,1001,post_retrain,21,15250,2,0.4286981818181818,344,0.5504,281,190.45053937859396
horseshoe,1001,post_retrain,22,15500,3,0.3965090909090909,344,0.5504,281,190.45053937859396
horseshoe,1001,post_retrain,23,15750,3,0.38353454545454546,352,0.5632,273,190.45053937859396
horseshoe,1001,post_retrain,24,16000,2,0.42821818181818183,354,0.5664,271,190.45053937859396
horseshoe,1001,post_retrain,25,16250,2,0.4295272727272727,355,0.568,270,190.45053937859396
horseshoe,1001,post_retrain,26,16500,2,0.4221890909090909,351,0.5616,274,190.45053937859396
horseshoe,1001,post_retrain,27,16750,1,0.4106763636363636,317,0.5072,308,190.45053937859396
horseshoe,1001,post_retrain,28,17000,2,0.40745454545454546,328,0.5248,297,190.45053937859396
horseshoe,1001,post_retrain,29,17250,1,0.4322909090909091,330,0.528,295,190.45053937859396
horseshoe,1001,post_retrain,30,17500,2,0.3924290909090909,328,0.5248,297,190.45053937859396
horseshoe,1001,post_retrain,31,17750,1,0.4272945454545454,328,0.5248,297,190.45053937859396
horseshoe,1001,post_retrain,32,18000,1,0.4129745454545454,317,0.5072,308,190.45053937859396
horseshoe,1001,post_retrain,33,18250,1,0.40161454545454545,310,0.496,315,190.45053937859396
horseshoe,1001,post_retrain,34,18500,1,0.4142763636363636,318,0.5088,307,190.45053937859396
horseshoe,1001,post_retrain,35,18750,2,0.3755636363636364,325,0.52,300,190.45053937859396
horseshoe,1001,post_retrain,36,19000,2,0.3937818181818182,346,0.5536,279,190.45053937859396
horseshoe,1001,post_retrain,37,19250,1,0.45825454545454547,346,0.5536,279,190.45053937859396
horseshoe,1001,post_retrain,38,19500,2,0.44163636363636366,348,0.5568,277,190.45053937859396
horseshoe,1001,post_retrain,39,19750,2,0.44032,347,0.5552,278,190.45053937859396
horseshoe,1001,post_retrain,40,20000,1,0.42469090909090906,326,0.5216,299,190.45053937859396
horseshoe,1002,pre_retrain,0,2000,3,0.3137745454545455,297,0.4752,328,223.90691901032838
horseshoe,1002,pre_retrain,1,2250,4,0.33657454545454546,334,0.5344,291,223.90691901032838
horseshoe,1002,pre_retrain,2,2500,3,0.3810545454545455,352,0.5632,273,223.90691901032838
horseshoe,1002,pre_retrain,3,2750,3,0.4380509090909091,375,0.6,250,223.90691901032838
horseshoe,1002,pre_retrain,4,3000,4,0.4843490909090909,406,0.6496,219,223.90691901032838
horseshoe,1002,pre_retrain,5,3250,4,0.46082181818181817,395,0.632,230,228.73029254273888
horseshoe,1002,pre_retrain,6,3500,4,0.47976,423,0.6768,202,228.73029254273888
horseshoe,1002,pre_retrain,7,3750,7,0.46908363636363637,475,0.76,150,259.4504222611861
horseshoe,1002,pre_retrain,8,4000,4,0.5186836363636363,487,0.7792,138,259.4504222611861
horseshoe,1002,pre_retrain,9,4250,5,0.5370618181818182,503,0.8048,122,259.4504222611861
horseshoe,1002,pre_retrain,10,4500,4,0.6443272727272727,507,0.8112,118,267.8613155219692
horseshoe,1002,pre_retrain,11,4750,6,0.5279636363636364,488,0.7808,137,252.89359363331897
horseshoe,1002,pre_retrain,12,5000,5,0.5408945454545454,479,0.7664,146,252.89359363331897
horseshoe,1002,pre_retrain,13,5250,4,0.5415927272727272,474,0.7584,151,223.90691901032838
horseshoe,1002,pre_retrain,14,5500,5,0.5213890909090909,484,0.7744,141,248.4079911161315
horseshoe,1002,pre_retrain,15,5750,4,0.5393745454545454,475,0.76,150,248.4079911161315
horseshoe,1002,pre_retrain,16,6000,3,0.5705527272727273,474,0.7584,151,248.4079911161315
horseshoe,1002,pre_retrain,17,6250,2,0.5603854545454545,472,0.7552,153,248.4079911161315
horseshoe,1002,pre_retrain,18,6500,2,0.6292509090909091,459,0.7344,166,243.42412816589746
horseshoe,1002,pre_retrain,19,6750,1,0.634109090909091,447,0.7152,178,243.01678218665063
horseshoe,1002,pre_retrain,20,7000,1,0.6397818181818182,451,0.7216,174,245.70306050833898
horseshoe,1002,pre_retrain,21,7250,1,0.6426181818181819,453,0.7248,172,228.33133281632098
horseshoe,1002,pre_retrain,22,7500,3,0.5392072727272728,454,0.7264,171,228.79931681034114
horseshoe,1002,pre_retrain,23,7750,3,0.5463854545454545,463,0.7408,162,228.79931681034114
horseshoe,1002,pre_retrain,24,8000,5,0.5748581818181818,469,0.7504,156,228.79931681034114
