snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,10,1625,1000,625,4,0.995,0.526516862447897,8.734848683088034,9.821592817863053,1.1244147636900816,0.990024024024024,1.106279597989429,0.08755897435897436,1.1906549400617792
2000,pre_retrain_encoder,15,1625,1000,625,3,0.997,0.5797286851079955,10.034062704986294,10.739296408203606,1.0702839641281945,0.994008008008008,1.0384150238923247,0.14923589743589744,1.1371401834236092
2000,pre_retrain_encoder,20,1625,1000,625,3,0.997,0.6102447896930655,10.747228705223018,11.287069527104192,1.050230700089114,0.994008008008008,1.02181796567143,0.19204615384615384,1.1068617452414438
2000,pre_retrain_encoder,25,1625,1000,625,3,0.997,0.6306851079954529,11.166158116335062,11.623170046852128,1.0409283054883935,0.994008008008008,1.0147782171168591,0.22296410256410257,1.0885257942574253
2000,pre_retrain_encoder,30,1625,1000,625,3,0.997,0.6497074649488442,11.595967515595918,12.02832804043535,1.0372854204927644,0.994008008008008,1.0121292593352862,0.2544205128205128,1.0851517942101137
2000,pre_retrain_encoder,40,1625,1000,625,3,0.997,0.6612913982569155,11.875821778228358,12.14432053062346,1.022608856667699,0.994008008008008,1.006111481244217,0.2763897435897436,1.0669788183202653
10000,final_one_retrain_encoder,10,1625,1000,625,3,0.997,0.6088980674497916,16.65271407368805,18.62653300849139,1.118528362768328,0.994008008008008,1.0903408446548226,0.18826666666666667,1.2103959680143714
10000,final_one_retrain_encoder,15,1625,1000,625,2,0.999,0.6410026525198939,17.340512229360417,18.532104040381093,1.068717220994378,0.998,1.0477719930138094,0.23377948717948718,1.1414628164807619
10000,final_one_retrain_encoder,20,1625,1000,625,2,0.999,0.6621250473664266,17.80775463149292,18.66500504749303,1.0481391637373567,0.998,1.0296220536880474,0.26905128205128204,1.1060521802261307
10000,final_one_retrain_encoder,25,1625,1000,625,2,0.999,0.7040007578628268,18.637836690985118,19.364965090176472,1.039013562102036,0.998,1.0203333344367005,0.3423282051282051,1.096958986954189
10000,final_one_retrain_encoder,30,1625,1000,625,2,0.999,0.7364501705191361,19.301956062681665,19.95896233838163,1.034038326145101,0.998,1.0148363731834114,0.4030717948717949,1.0922292379898666
10000,final_one_retrain_encoder,40,1625,1000,625,2,0.999,0.7860697233800682,20.274931595267418,20.810787299083195,1.0264294703682677,0.998,1.0089430083269564,0.5031230769230769,1.0702771479307818
20000,final_one_retrain_encoder,10,1625,1000,625,5,0.994,0.6264478969306555,18.183012980739427,20.290638434742668,1.1159117829501506,0.988034034034034,1.0973880552240425,0.21921538461538462,1.1779585501801924
20000,final_one_retrain_encoder,15,1625,1000,625,1,1.0,0.6880469874952634,19.777357651865646,21.192576650347434,1.071557536825365,1.0,1.0467527561880727,0.3096307692307692,1.1288321783522286
20000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,0.7117355058734369,20.37445720183579,21.370145893164118,1.0488694585315683,1.0,1.0287210951953605,0.35197435897435897,1.0979272998022385
20000,final_one_retrain_encoder,25,1625,1000,625,1,1.0,0.7635392194012883,21.334771608680107,22.196773377130388,1.0404036089188586,1.0,1.020095818300102,0.4512307692307692,1.086881083922662
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.79945282303903,22.092033915158737,22.845228357962014,1.0340934857195951,1.0,1.0152924116594448,0.5250153846153847,1.0781632050344923
20000,final_one_retrain_encoder,40,1625,1000,625,1,1.0,0.8486214475179993,22.98411246579433,23.62998351855062,1.0281007610677808,1.0,1.009795484514951,0.6320820512820513,1.0702629167938542
