cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
2,16,7.337999999999997,-12.619476318359375,9.722760200500488,191,1,8,3
3,5,21.984999999999914,-11.081467628479004,-16.204753875732422,280,4,13,0
3,10,10.580999999999952,-11.103667259216309,-2.729121208190918,242,2,8,0
3,11,10.671999999999942,-11.574017524719238,-1.0277502536773682,224,2,11,2
3,13,15.13800000000002,-11.751758575439453,3.8562588691711426,246,3,22,9
3,14,10.665999999999979,-11.64211654663086,6.859285354614258,232,2,12,1
3,15,11.948999999999996,-11.636346817016602,7.341967582702637,233,2,8,0
3,16,7.945999999999997,-12.440425872802734,9.885672569274902,197,1,7,0
3,17,2.678999999999999,-11.588297843933105,12.237434387207031,138,0,3,3
3,18,2.7039999999999975,-12.058231353759766,14.790092468261719,143,0,21,0
4,2,24.834999999999894,-9.773544311523438,-21.289222717285156,280,5,11,2
4,4,21.089999999999897,-10.26750373840332,-17.560701370239258,280,4,21,4
4,7,17.28999999999994,-10.785787582397461,-11.023324012756348,280,4,15,0
4,10,12.809999999999933,-9.869384765625,-3.7662253379821777,245,3,14,15
4,11,10.277999999999928,-9.640424728393555,-1.7731876373291016,246,2,6,0
4,12,14.883999999999986,-9.74392318725586,1.7074214220046997,258,3,26,4
4,13,18.90999999999995,-9.617570877075195,3.010549306869507,280,3,51,3
4,14,10.81999999999999,-9.75155258178711,5.874314785003662,230,2,4,3
4,15,7.509999999999998,-10.84100341796875,8.158753395080566,200,1,6,0
4,16,6.468999999999998,-10.090353012084961,9.500506401062012,188,1,11,5
4,17,5.178999999999993,-10.02994155883789,12.943604469299316,208,1,50,0
4,18,6.445999999999998,-10.098274230957031,14.472002029418945,187,1,14,5
5,3,28.659999999999872,-8.433480262756348,-20.583187103271484,280,5,20,3
5,4,25.79999999999995,-8.216312408447266,-17.286819458007812,280,5,9,3
5,5,21.439999999999944,-8.816581726074219,-14.931933403015137,280,4,17,0
5,6,20.69999999999992,-8.832900047302246,-13.905486106872559,280,4,21,8
5,10,12.08099999999994,-8.10648250579834,-3.1756808757781982,242,3,13,17
5,11,15.134999999999915,-8.861381530761719,-1.4824422597885132,280,3,10,0
5,12,9.815999999999962,-8.265467643737793,0.03143677860498428,212,2,11,6
5,13,18.839999999999943,-9.337003707885742,3.0058658123016357,280,3,53,3
5,14,11.02999999999998,-9.36034107208252,5.32693338394165,240,2,5,0
5,15,14.694999999999977,-8.230252265930176,7.527246952056885,280,3,6,0
5,16,7.502999999999998,-8.843433380126953,10.437772750854492,201,1,9,0
5,17,7.818999999999997,-9.450424194335938,12.876075744628906,198,1,7,0
