evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
2000,bootstrap,153,0.2448,1636.0709999999985,871.0709999999983,-5.0,16.504999999999896,5.693274509803911,0.7813967041736396,19.605498859507417,19.765155042002057,20,1.0,0
2100,log,163,0.2608,1791.709999999998,976.709999999998,-5.0,16.504999999999896,5.99208588957054,0.7912312369203198,nan,nan,20,nan,-1
2200,log,169,0.2704,1928.3469999999975,1083.3469999999975,-5.0,16.504999999999896,6.410337278106494,0.7968463205835412,nan,nan,20,nan,-1
2300,log,177,0.2832,2099.5179999999973,1214.517999999997,-5.0,16.504999999999896,6.861683615819192,0.8040306638398781,nan,nan,20,nan,-1
2400,log,184,0.2944,2248.8179999999966,1328.8179999999966,-5.0,20.48499999999995,7.22183695652172,0.8100554419216398,nan,nan,20,nan,-1
2500,log,189,0.3024,2337.980999999996,1392.9809999999966,-5.0,20.48499999999995,7.370269841269823,0.814220134645031,nan,nan,20,nan,-1
2600,log,193,0.3088,2434.7959999999966,1469.7959999999962,-5.0,20.48499999999995,7.6155233160621565,0.8174733160326821,nan,nan,20,nan,-1
2700,log,199,0.3184,2538.585999999996,1543.5859999999961,-5.0,20.48499999999995,7.756713567839177,0.8222288017185675,nan,nan,20,nan,-1
2800,log,203,0.3248,2614.149999999996,1599.149999999996,-5.0,20.48499999999995,7.877586206896532,0.8253201223224168,nan,nan,20,nan,-1
2900,log,209,0.3344,2726.9489999999955,1681.9489999999955,-5.0,20.48499999999995,8.047602870813376,0.8298447257100322,nan,nan,20,nan,-1
3000,log,213,0.3408,2810.1319999999955,1745.1319999999953,-5.0,20.48499999999995,8.193107981220635,0.8327895292340064,20.974907552176624,21.14641292941438,20,1.0,0
3100,log,219,0.3504,2923.982999999995,1828.9829999999952,-5.0,20.48499999999995,8.351520547945183,0.8371046326456475,nan,nan,20,nan,-1
3200,log,224,0.3584,3035.266999999995,1915.2669999999948,-5.0,20.48499999999995,8.550299107142834,0.8406111863722832,nan,nan,20,nan,-1
3300,log,225,0.36,3057.417999999994,1932.4179999999947,-5.0,20.48499999999995,8.58852444444442,0.8413030972429927,nan,nan,20,nan,-1
3400,log,229,0.3664,3155.782999999994,2010.7829999999944,-5.0,20.48499999999995,8.780711790392989,0.8440403263733741,nan,nan,20,nan,-1
3500,log,234,0.3744,3284.1179999999945,2114.117999999994,-5.0,20.48499999999995,9.034692307692282,0.8473953970531116,nan,nan,20,nan,-1
3600,log,236,0.3776,3337.1029999999937,2157.1029999999937,-5.0,20.48499999999995,9.140266949152515,0.8487173942550784,nan,nan,20,nan,-1
3700,log,240,0.384,3412.7029999999936,2212.7029999999936,-5.0,20.48499999999995,9.219595833333306,0.8513281066948895,nan,nan,20,nan,-1
3800,log,242,0.3872,3475.7769999999937,2265.776999999993,-5.0,20.48499999999995,9.36271487603303,0.8526171907208374,nan,nan,20,nan,-1
3900,log,245,0.392,3536.6189999999933,2311.6189999999933,-5.0,20.48499999999995,9.435179591836707,0.8545309775610839,nan,nan,20,nan,-1
4000,log,249,0.3984,3645.309999999993,2400.309999999993,-5.0,20.48499999999995,9.639799196787122,0.85704655859016,23.27401790615161,23.464755600760093,20,1.0,0
4100,log,253,0.4048,3720.032999999993,2455.032999999993,-5.0,20.599999999999913,9.703687747035545,0.8595220489678395,nan,nan,20,nan,-1
4200,log,258,0.4128,3837.027999999993,2547.027999999993,-5.0,20.599999999999913,9.872201550387569,0.8625619450773606,nan,nan,20,nan,-1
4300,log,261,0.4176,3942.2579999999925,2637.2579999999925,-5.0,20.599999999999913,10.104436781609166,0.8643577307848677,nan,nan,20,nan,-1
4400,log,264,0.4224,3995.7809999999927,2675.780999999992,-5.0,20.599999999999913,10.135534090909061,0.8661329927777857,nan,nan,20,nan,-1
4500,log,266,0.4256,4059.281999999992,2729.281999999992,-5.0,20.599999999999913,10.260458646616511,0.8673053284076778,nan,nan,20,nan,-1
