dataset,condition,seed,elite_count,old_k,new_k,old_euclidean,new_euclidean,old_geodesic,new_geodesic,finite_fraction,disconnected_pairs
phase5,baseline_a_handcrafted_map_elites,1001,614,5,20,1.0451162084162224,1.0451162084162224,1.2374053191362555,1.0572657307895648,1.0,0
phase5,baseline_a_handcrafted_map_elites,1002,614,5,20,1.044467373842255,1.044467373842255,1.2523070385524986,1.0562101059441087,1.0,0
phase5,baseline_a_handcrafted_map_elites,1003,614,5,20,1.0445511491267927,1.0445511491267927,1.3018929909095367,1.0565872476172495,1.0,0
phase5,baseline_a_handcrafted_map_elites,1004,614,5,20,1.046594145147127,1.046594145147127,1.3250557964826202,1.0582161017373992,1.0,0
phase5,baseline_a_handcrafted_map_elites,1005,614,5,20,1.0465628096255495,1.0465628096255495,1.3147534212247738,1.0583396457170127,1.0,0
phase5,baseline_b_learned_bd_euclidean,1001,264,5,20,16.4447542015096,16.4447542015096,18.821653399819166,16.59062432086169,1.0,0
phase5,baseline_b_learned_bd_euclidean,1002,272,5,20,22.140593953745817,22.140593953745817,24.479866049647537,22.339948102990583,1.0,0
phase5,baseline_b_learned_bd_euclidean,1003,240,5,20,16.46486677896307,16.46486677896307,18.315972256388005,16.6249919488709,1.0,0
phase5,baseline_b_learned_bd_euclidean,1004,308,5,20,18.27918737708726,18.27918737708726,20.76370509003071,18.430168781147326,1.0,0
phase5,baseline_b_learned_bd_euclidean,1005,151,5,20,28.21300088418465,28.21300088418465,31.457333357463835,28.43877503059519,1.0,0
phase5,contribution_geodesic_niching,1001,192,20,20,20.990144539071395,20.990144539071395,21.17310239911723,21.17310239911723,1.0,0
phase5,contribution_geodesic_niching,1002,208,20,20,22.28665512266376,22.28665512266376,22.483133390978786,22.483133390978786,1.0,0
phase5,contribution_geodesic_niching,1003,212,20,20,23.526442629068445,23.526442629068445,23.787752349544267,23.787752349544267,1.0,0
phase5,contribution_geodesic_niching,1004,177,20,20,24.174058480370167,24.174058480370167,24.36650865237578,24.36650865237578,1.0,0
phase5,contribution_geodesic_niching,1005,192,20,20,22.899543538523286,22.899543538523286,23.103423470238518,23.103423470238518,1.0,0
phase6_open_robustness,baseline_a_handcrafted_map_elites,1001,617,5,20,1.0450003904216163,1.0450003904216163,1.149206403169167,1.0550402100627152,1.0,0
phase6_open_robustness,baseline_a_handcrafted_map_elites,1002,617,5,20,1.0447223320275247,1.0447223320275247,1.1474132216307396,1.0541037470592465,1.0,0
phase6_open_robustness,baseline_a_handcrafted_map_elites,1003,617,5,20,1.0438261925421408,1.0438261925421408,1.1436321922157724,1.0533515826356064,1.0,0
phase6_open_robustness,baseline_b_learned_bd_euclidean,1001,277,5,20,20.056991790470086,20.056991790470086,22.412245835651206,20.228955809813804,1.0,0
phase6_open_robustness,baseline_b_learned_bd_euclidean,1002,258,5,20,19.950477409540028,19.950477409540028,22.269075863532603,20.11291012286861,1.0,0
phase6_open_robustness,baseline_b_learned_bd_euclidean,1003,285,5,20,20.146506431715135,20.146506431715135,22.27441480460021,20.327294894066917,1.0,0
phase6_open_robustness,contribution_geodesic_niching,1001,264,20,20,17.001114284508883,17.001114284508883,17.153662601959848,17.153662601959848,1.0,0
phase6_open_robustness,contribution_geodesic_niching,1002,196,20,20,25.835785405514102,25.835785405514102,26.089257111930298,26.089257111930298,1.0,0
phase6_open_robustness,contribution_geodesic_niching,1003,198,20,20,19.085162105568173,19.085162105568173,19.280477228587127,19.280477228587127,1.0,0
