snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,3,1625,1000,625,46,0.76,0.2423236074270557,3.2694568227986793,5.050758473669325,1.544831067487791,0.5803103103103103,1.5424766550889004,0.005912820512820513,1.516660432325454
2000,pre_retrain_encoder,5,1625,1000,625,24,0.914,0.4041614247821144,7.169018275451448,9.354440912100038,1.3048426650176128,0.8362982982982983,1.2901376768171964,0.038564102564102566,1.3943170233245812
2000,pre_retrain_encoder,10,1625,1000,625,7,0.981,0.5298757104964001,9.943086033971305,11.276541701493379,1.1341088333105258,0.9624284284284285,1.0979521580202656,0.10701538461538461,1.242068226244464
2000,pre_retrain_encoder,20,1625,1000,625,3,0.998,0.6782015915119364,13.362003575262564,14.542041425700805,1.0883129422763274,0.996002002002002,1.0430411577208376,0.29753846153846153,1.1773436077775172
2000,pre_retrain_encoder,30,1625,1000,625,1,1.0,0.7485524820007579,15.168433548575115,16.059349844517893,1.0587348913181922,1.0,1.0194757529043312,0.4216153846153846,1.129775441140628
10000,final_one_retrain_encoder,3,1625,1000,625,53,0.74,0.25264266767715043,6.639113339858853,14.788830786047244,2.2275310013553185,0.5496496496496497,2.286276523107127,0.015794871794871795,1.8959396862371292
10000,final_one_retrain_encoder,5,1625,1000,625,19,0.912,0.40135884804850325,6.962350663613806,9.08742290531927,1.305223385660734,0.8326706706706707,1.3123291706460307,0.03815897435897436,1.3211020595259362
10000,final_one_retrain_encoder,10,1625,1000,625,4,0.997,0.5822864721485411,9.653826700456092,10.617430597857519,1.0998157442950474,0.994006006006006,1.0800643650544697,0.1513846153846154,1.168857649347601
10000,final_one_retrain_encoder,20,1625,1000,625,2,0.999,0.6590253884046987,10.822715877620322,11.453802778355145,1.0583113247978553,0.998,1.032411126657571,0.2634666666666667,1.1232822676181073
10000,final_one_retrain_encoder,30,1625,1000,625,2,0.999,0.7100954907161804,11.630390017203743,12.189488558949696,1.0480722091794799,0.998,1.019755107436732,0.35284615384615386,1.110824544748411
20000,final_one_retrain_encoder,3,1625,1000,625,34,0.665,0.23229859795377036,7.181920089847258,15.723250779848728,2.1892823344102568,0.46688088088088087,2.2008579584639927,0.026384615384615385,2.2043067270437207
20000,final_one_retrain_encoder,5,1625,1000,625,9,0.978,0.5302963243652898,10.169981672489838,12.63358474343472,1.2422426264158388,0.9565705705705706,1.2361091290243051,0.10856410256410257,1.2798887030264998
20000,final_one_retrain_encoder,10,1625,1000,625,4,0.993,0.5929950738916256,11.147333078406586,12.07214104061902,1.0829622615299683,0.986062062062062,1.073062113058722,0.17216923076923077,1.1225287543520288
20000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,0.7003561955286093,13.477198300205579,14.093693168863547,1.0457435480969783,1.0,1.0249908339052776,0.3313846153846154,1.0955783671770614
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,0.7496180371352785,14.118926269380909,14.604244510089591,1.0343735940997987,1.0,1.0138734290741394,0.4236974358974359,1.0807040405004846
