map,snapshot_evaluation,k,seed_count,component_count_mean,component_count_std,component_count_min,component_count_max,support_finite_pair_fraction_mean,support_finite_pair_fraction_std,support_finite_pair_fraction_min,support_finite_pair_fraction_max,support_geodesic_to_euclidean_ratio_mean,support_geodesic_to_euclidean_ratio_std,support_geodesic_to_euclidean_ratio_min,support_geodesic_to_euclidean_ratio_max,reachable_centroid_fraction_mean,reachable_centroid_fraction_std,reachable_centroid_fraction_min,reachable_centroid_fraction_max,archive_elite_point_count_mean,archive_elite_point_count_std,archive_elite_point_count_min,archive_elite_point_count_max,rolling_point_count_mean,rolling_point_count_std,rolling_point_count_min,rolling_point_count_max
horseshoe,2000,3,5,52.6,11.696153213770756,34.0,62.0,0.11883939963921922,0.040114906482119225,0.08232464963738102,0.18211176635776466,1.5377414093070967,0.20204872425674011,1.3048889314904637,1.8476643407947266,0.32832,0.04685842506956459,0.2688,0.3856,110.6,14.099645385611653,89.0,125.0,465.4,6.841052550594828,456.0,474.0
horseshoe,2000,5,5,24.0,5.244044240850758,17.0,30.0,0.25233442171997056,0.0317423098771385,0.21257749977636026,0.290702650233442,1.596627956964237,0.5190821859088312,1.2403810809880562,2.4833045448498225,0.37792,0.046225880197136325,0.3152,0.432,110.6,14.099645385611653,89.0,125.0,465.4,6.841052550594828,456.0,474.0
horseshoe,2000,10,5,7.0,2.23606797749979,4.0,10.0,0.4208314481131927,0.031148146754892362,0.3770632469031795,0.45084191959859554,1.1762085947203407,0.03801573820012276,1.141833764183358,1.237089799741985,0.43552,0.04630887603904893,0.3744,0.4864,110.6,14.099645385611653,89.0,125.0,465.4,6.841052550594828,456.0,474.0
horseshoe,2000,20,5,3.0,1.224744871391589,2.0,5.0,0.5457385473904661,0.06029555314898578,0.47207401166963087,0.6106851633946451,1.079152076768133,0.015258577218805386,1.0659471350948027,1.1017217393631606,0.5728,0.046989360497882944,0.5216,0.6352,110.6,14.099645385611653,89.0,125.0,465.4,6.841052550594828,456.0,474.0
horseshoe,2000,30,5,1.8,0.4472135954999579,1.0,2.0,0.6473814452288777,0.042479678721057734,0.5930464430885661,0.6883716479024397,1.0712091972743891,0.00871555326520058,1.0622304089198824,1.0809202925998393,0.66688,0.03665012960413647,0.6304,0.7168,110.6,14.099645385611653,89.0,125.0,465.4,6.841052550594828,456.0,474.0
horseshoe,10000,3,5,43.8,6.058052492344383,35.0,51.0,0.09766561118451082,0.049901188228837975,0.06198965414048138,0.17748496460019794,1.6935799450554598,0.054191886370320866,1.6419528076417005,1.7651546012197883,0.33184,0.052075022803643595,0.24,0.3664,127.6,20.268201696253172,93.0,143.0,490.4,3.7815340802378077,485.0,494.0
horseshoe,10000,5,5,12.6,1.51657508881031,11.0,14.0,0.33769568696589514,0.042194035370991326,0.28443013487001756,0.39239348339127567,1.3327562530733217,0.052771312020103905,1.2566233009876682,1.4021829244460906,0.36288,0.04317628978965191,0.2864,0.3888,127.6,20.268201696253172,93.0,143.0,490.4,3.7815340802378077,485.0,494.0
horseshoe,10000,10,5,4.6,1.51657508881031,2.0,6.0,0.4514599471403917,0.044087310867812715,0.38276288716171414,0.505408937498414,1.1294352682227007,0.02954387827506901,1.0968204110383157,1.1610614637174606,0.40928000000000003,0.03275899876369851,0.352,0.4352,127.6,20.268201696253172,93.0,143.0,490.4,3.7815340802378077,485.0,494.0
horseshoe,10000,20,5,2.6,0.5477225575051661,2.0,3.0,0.5432385645136572,0.04682176073808653,0.46667760392100566,0.5891973507244905,1.0516696357327586,0.00789300366154378,1.0435419766105583,1.063688530654572,0.536,0.0447857120072909,0.4624,0.5808,127.6,20.268201696253172,93.0,143.0,490.4,3.7815340802378077,485.0,494.0
horseshoe,10000,30,5,2.4,0.5477225575051661,2.0,3.0,0.5995025386036661,0.050856973496504136,0.515974543540526,0.6395830689978937,1.0366982220914316,0.0065705309546354234,1.0306276541499924,1.0469436735639732,0.6192,0.04909419517621203,0.5456,0.6816,127.6,20.268201696253172,93.0,143.0,490.4,3.7815340802378077,485.0,494.0
horseshoe,20000,3,5,53.4,8.792041856133306,41.0,63.0,0.07098137727646306,0.013096507227721687,0.06064694434904904,0.09297501807486856,1.6443483806588606,0.12016161187892656,1.480519590309337,1.7580956073584393,0.40864,0.043208887974582263,0.3472,0.4688,196.2,14.078352176302452,177.0,212.0,489.6,1.816590212458495,488.0,492.0
horseshoe,20000,5,5,10.0,4.06201920231798,5.0,14.0,0.41054104080354553,0.020910512544038105,0.3753368052591138,0.42710545435855746,1.401407815837766,0.08791018328534661,1.2989225028865083,1.475244294282827,0.44352,0.03509803413298243,0.3968,0.4896,196.2,14.078352176302452,177.0,212.0,489.6,1.816590212458495,488.0,492.0
horseshoe,20000,10,5,2.8,1.9235384061671346,1.0,6.0,0.5455520269777179,0.01572298041138759,0.5304601724579527,0.5719312733695777,1.1125076399863016,0.024206164122826515,1.0921354921699333,1.1537392041365584,0.48735999999999996,0.0329964846612484,0.4528,0.5248,196.2,14.078352176302452,177.0,212.0,489.6,1.816590212458495,488.0,492.0
horseshoe,20000,20,5,1.4,0.5477225575051661,1.0,2.0,0.6542471888818601,0.031247022092286393,0.6153030111678424,0.6968564842482712,1.0489249363801816,0.009113967166747498,1.0401211135712343,1.0641800525353375,0.6096,0.038082016753318064,0.5552,0.6496,196.2,14.078352176302452,177.0,212.0,489.6,1.816590212458495,488.0,492.0
horseshoe,20000,30,5,1.0,0.0,1.0,1.0,0.7332432387916791,0.04064968726768869,0.6712685153445072,0.7816943087192898,1.038081308711239,0.00574508742124739,1.0293637603347825,1.0454594149785654,0.6985600000000001,0.046874811999623005,0.6272,0.7552,196.2,14.078352176302452,177.0,212.0,489.6,1.816590212458495,488.0,492.0
open,2000,3,3,44.333333333333336,7.023769168568493,37.0,51.0,0.1257276498475903,0.024485848454011867,0.09805195614857835,0.14457536278529548,1.4770138545099571,0.031201745787688556,1.4409959193604365,1.495784531263633,0.29760000000000003,0.03420409332229114,0.2704,0.336,106.33333333333333,10.408329997330664,98.0,118.0,469.6666666666667,9.451631252505218,459.0,477.0
open,2000,5,3,17.666666666666668,2.886751345948129,16.0,21.0,0.28385943515816986,0.006441139285321923,0.27662361287975257,0.28896745778961236,1.4250714498837613,0.1340275277919171,1.2910651076726325,1.5591201532148848,0.32746666666666663,0.054782965722324065,0.2768,0.3856,106.33333333333333,10.408329997330664,98.0,118.0,469.6666666666667,9.451631252505218,459.0,477.0
open,2000,10,3,7.333333333333333,2.516611478423583,5.0,10.0,0.3944302387892278,0.021893072611448638,0.37898154237975956,0.41948404061507255,1.115897489111622,0.026823673047429095,1.0952165747046683,1.1462062779986564,0.3834666666666666,0.05734015463297367,0.3312,0.4448,106.33333333333333,10.408329997330664,98.0,118.0,469.6666666666667,9.451631252505218,459.0,477.0
open,2000,20,3,3.0,1.0,2.0,4.0,0.4968372634184335,0.03289497781316931,0.46463105749989503,0.5303802571622926,1.062432164337778,0.006573439916869812,1.0559584134346014,1.0691009524154995,0.5232,0.08747479637015455,0.432,0.6064,106.33333333333333,10.408329997330664,98.0,118.0,469.6666666666667,9.451631252505218,459.0,477.0
open,2000,30,3,2.6666666666666665,0.5773502691896258,2.0,3.0,0.5591609714232121,0.05845223231501369,0.5070989770644128,0.6223917672599512,1.0512482719617322,0.016312785655383733,1.0337940628486382,1.0661088839989776,0.6085333333333334,0.0955232606925315,0.5088,0.6992,106.33333333333333,10.408329997330664,98.0,118.0,469.6666666666667,9.451631252505218,459.0,477.0
open,10000,3,3,49.333333333333336,1.1547005383792517,48.0,50.0,0.08561764305389775,0.035093505921442746,0.04515555555555555,0.10776408867100991,1.7020888376375052,0.2603623214423658,1.5037823701094926,1.9969317418730999,0.3616,0.03772744359216511,0.3296,0.4032,148.66666666666666,10.598742063723098,139.0,160.0,486.0,1.0,485.0,487.0
