map,seed,snapshot_evaluation,encoder_space,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction,support_finite_pair_fraction,support_mean_euclidean_finite,support_mean_geodesic_finite,support_geodesic_to_euclidean_ratio
horseshoe,1001,2000,pre_retrain_encoder,3,584,115,469,56,0.6695205479452054,226,0.3616,0.12660427587793535,3.386025572912268,5.298497950498297,1.5648133294932978
horseshoe,1001,2000,pre_retrain_encoder,5,584,115,469,28,0.833904109589041,253,0.4048,0.22727857843217808,6.372170918733158,7.903920252418889,1.2403810809880562
horseshoe,1001,2000,pre_retrain_encoder,10,584,115,469,4,0.9828767123287672,281,0.4496,0.45084191959859554,14.038212344635895,16.670727104635414,1.187524928058623
horseshoe,1001,2000,pre_retrain_encoder,20,584,115,469,2,0.9982876712328768,379,0.6064,0.6034583340180435,17.25747182646685,19.0129318776658,1.1017217393631606
horseshoe,1001,2000,pre_retrain_encoder,30,584,115,469,2,0.9982876712328768,428,0.6848,0.6498638796224782,18.177588776896,19.308787559659702,1.0622304089198824
horseshoe,1001,10000,final_one_retrain_encoder,3,618,133,485,41,0.36084142394822005,225,0.36,0.06198965414048138,5.44364839428889,9.446498517977732,1.7353248839304836
horseshoe,1001,10000,final_one_retrain_encoder,5,618,133,485,11,0.8851132686084142,235,0.376,0.31520540793338025,11.948537799594467,15.79737951544265,1.3221182190157872
horseshoe,1001,10000,final_one_retrain_encoder,10,618,133,485,5,0.9902912621359223,262,0.4192,0.4601212846691877,14.927012472777383,17.331178950571697,1.1610614637174606
horseshoe,1001,10000,final_one_retrain_encoder,20,618,133,485,2,0.9919093851132686,335,0.536,0.5360880836063598,16.171067591881297,17.200979125923986,1.063688530654572
horseshoe,1001,10000,final_one_retrain_encoder,30,618,133,485,2,0.9919093851132686,385,0.616,0.5876683987495839,17.14934848767929,17.954401904919724,1.0469436735639732
horseshoe,1001,20000,final_one_retrain_encoder,3,683,192,491,48,0.45241581259150804,253,0.4048,0.09297501807486856,6.985155308180839,12.104040805309166,1.7328234335939843
horseshoe,1001,20000,final_one_retrain_encoder,5,683,192,491,5,0.9355783308931186,266,0.4256,0.41945861966498904,13.897530223873861,20.380994856685106,1.4665191964593558
horseshoe,1001,20000,final_one_retrain_encoder,10,683,192,491,2,0.9956076134699854,290,0.464,0.5397822592532798,17.723639182503952,19.64958137673947,1.1086651660194442
horseshoe,1001,20000,final_one_retrain_encoder,20,683,192,491,1,1.0,372,0.5952,0.650443740947942,20.35976458307908,21.29312014077521,1.0458431409600795
horseshoe,1001,20000,final_one_retrain_encoder,30,683,192,491,1,1.0,439,0.7024,0.7357243635189488,22.443822779720115,23.298276170189506,1.0380707599973327
horseshoe,1002,2000,pre_retrain_encoder,3,563,89,474,34,0.8099467140319716,168,0.2688,0.18211176635776466,5.391359251171967,8.325683856170848,1.5442643437943817
horseshoe,1002,2000,pre_retrain_encoder,5,563,89,474,17,0.9129662522202486,197,0.3152,0.26532099994610525,8.640140820537978,11.491071618257584,1.329963464361926
horseshoe,1002,2000,pre_retrain_encoder,10,563,89,474,7,0.9857904085257548,234,0.3744,0.3770632469031795,14.225940519415287,16.243659212332513,1.141833764183358
horseshoe,1002,2000,pre_retrain_encoder,20,563,89,474,5,0.9911190053285968,326,0.5216,0.47207401166963087,17.397763161722537,18.553774089953333,1.0664459515562426
horseshoe,1002,2000,pre_retrain_encoder,30,563,89,474,2,0.9982238010657194,394,0.6304,0.5930464430885661,21.424310465084886,22.919996986621868,1.0698125862194956
