map,seed,k,refresh_count,mean_reachable_centroid_fraction,min_refresh_reachable_centroid_fraction,final_reachable_centroid_fraction,never_reachable_centroids,unreachable_more_than_half_centroids,unreachable_at_least_90_percent_centroids,connected_refresh_count,connected_refresh_fraction,component_count_mean,component_count_max
horseshoe,1001,3,41,0.3909073170731707,0.36,0.4048,331,382,362,0,0.0,50.31707317073171,67
horseshoe,1001,5,41,0.41342439024390243,0.376,0.4256,316,368,346,0,0.0,9.609756097560975,16
horseshoe,1001,10,41,0.45346341463414636,0.4192,0.464,296,341,326,0,0.0,3.2439024390243905,6
horseshoe,1001,20,41,0.5802926829268292,0.5328,0.5952,221,262,249,28,0.6829268292682927,1.3902439024390243,3
horseshoe,1001,30,41,0.6787512195121951,0.6096,0.7024,158,205,177,29,0.7073170731707317,1.3658536585365855,3
horseshoe,1002,3,41,0.39590243902439026,0.3456,0.416,323,374,354,0,0.0,54.609756097560975,65
horseshoe,1002,5,41,0.4389073170731707,0.3872,0.4608,297,356,323,0,0.0,11.804878048780488,18
horseshoe,1002,10,41,0.4866341463414634,0.4352,0.52,264,324,285,2,0.04878048780487805,2.8292682926829267,5
horseshoe,1002,20,41,0.6144390243902439,0.56,0.6416,190,240,209,23,0.5609756097560976,1.4390243902439024,2
horseshoe,1002,30,41,0.7055609756097561,0.6368,0.7552,125,192,143,39,0.9512195121951219,1.048780487804878,2
horseshoe,1003,3,41,0.4275121951219512,0.3568,0.4688,302,363,320,0,0.0,52.707317073170735,63
horseshoe,1003,5,41,0.4448780487804878,0.3632,0.4896,290,352,304,0,0.0,13.707317073170731,21
horseshoe,1003,10,41,0.4875707317073171,0.4048,0.5248,268,327,282,0,0.0,4.975609756097561,7
horseshoe,1003,20,41,0.6075707317073171,0.5392,0.6496,203,247,219,8,0.1951219512195122,2.4390243902439024,4
horseshoe,1003,30,41,0.6977560975609756,0.64,0.7184,162,189,174,15,0.36585365853658536,1.829268292682927,3
horseshoe,1004,3,41,0.31324878048780486,0.24,0.3472,380,429,395,0,0.0,39.51219512195122,52
horseshoe,1004,5,41,0.362380487804878,0.2864,0.3968,359,393,367,0,0.0,9.487804878048781,14
horseshoe,1004,10,41,0.4212682926829268,0.352,0.4528,315,358,330,2,0.04878048780487805,3.1463414634146343,6
horseshoe,1004,20,41,0.524019512195122,0.4624,0.5552,259,295,267,22,0.5365853658536586,1.5853658536585367,3
horseshoe,1004,30,41,0.5970731707317073,0.5456,0.6272,222,250,228,32,0.7804878048780488,1.2439024390243902,3
horseshoe,1005,3,41,0.3845073170731707,0.3472,0.4064,348,384,361,0,0.0,49.24390243902439,62
horseshoe,1005,5,41,0.42314146341463416,0.3888,0.4448,329,355,338,0,0.0,13.414634146341463,21
horseshoe,1005,10,41,0.4527609756097561,0.4176,0.4752,311,339,320,1,0.024390243902439025,3.4634146341463414,6
horseshoe,1005,20,41,0.5842731707317074,0.5408,0.6064,232,255,241,7,0.17073170731707318,2.073170731707317,4
horseshoe,1005,30,41,0.6653658536585366,0.616,0.6896,180,205,194,33,0.8048780487804879,1.1951219512195121,2
open,1001,3,41,0.4849951219512195,0.4032,0.5152,279,319,292,0,0.0,65.95121951219512,82
open,1001,5,41,0.5323317073170731,0.4496,0.5632,249,290,262,0,0.0,18.414634146341463,25
open,1001,10,41,0.5832195121951219,0.4992,0.624,216,258,229,7,0.17073170731707318,3.292682926829268,6
open,1001,20,41,0.7358829268292683,0.64,0.7664,124,160,133,38,0.926829268292683,1.1219512195121952,3
open,1001,30,41,0.8224780487804878,0.7344,0.8352,83,106,91,40,0.975609756097561,1.024390243902439,2
open,1002,3,41,0.37162926829268295,0.352,0.3808,368,394,379,0,0.0,51.951219512195124,60
open,1002,5,41,0.41186341463414633,0.4,0.4224,340,367,353,0,0.0,10.731707317073171,17
open,1002,10,41,0.47399024390243905,0.4592,0.488,306,328,315,32,0.7804878048780488,1.2682926829268293,3
open,1002,20,41,0.5809560975609757,0.5712,0.5888,241,263,248,41,1.0,1.0,1
open,1002,30,41,0.654009756097561,0.64,0.6592,193,217,204,41,1.0,1.0,1
open,1003,3,41,0.36050731707317074,0.3296,0.3632,367,398,380,0,0.0,52.5609756097561,63
open,1003,5,41,0.4158439024390244,0.3904,0.4256,338,364,350,0,0.0,10.75609756097561,15
open,1003,10,41,0.4866341463414634,0.4688,0.496,293,320,305,28,0.6829268292682927,1.8048780487804879,5
open,1003,20,41,0.569170731707317,0.5536,0.5728,243,269,254,38,0.926829268292683,1.0731707317073171,2
open,1003,30,41,0.6691512195121951,0.6592,0.6752,183,207,195,39,0.9512195121951219,1.048780487804878,2
