map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1001,10000,3,618,133,485,41,0.36084142394822005,225,0.36
horseshoe,1001,10000,5,618,133,485,11,0.8851132686084142,235,0.376
horseshoe,1001,10000,10,618,133,485,5,0.9902912621359223,262,0.4192
horseshoe,1001,10000,20,618,133,485,2,0.9919093851132686,335,0.536
horseshoe,1001,10000,30,618,133,485,2,0.9919093851132686,385,0.616
horseshoe,1001,10250,3,624,133,491,47,0.38782051282051283,229,0.3664
horseshoe,1001,10250,5,624,133,491,14,0.8990384615384616,237,0.3792
horseshoe,1001,10250,10,624,133,491,5,0.9903846153846154,262,0.4192
horseshoe,1001,10250,20,624,133,491,2,0.9919871794871795,333,0.5328
horseshoe,1001,10250,30,624,133,491,2,0.9919871794871795,381,0.6096
horseshoe,1001,10500,3,623,134,489,46,0.46869983948635635,231,0.3696
horseshoe,1001,10500,5,623,134,489,13,0.9293739967897271,243,0.3888
horseshoe,1001,10500,10,623,134,489,6,0.9887640449438202,274,0.4384
horseshoe,1001,10500,20,623,134,489,3,0.9903691813804173,352,0.5632
horseshoe,1001,10500,30,623,134,489,3,0.9903691813804173,417,0.6672
horseshoe,1001,10750,3,624,135,489,52,0.2516025641025641,229,0.3664
horseshoe,1001,10750,5,624,135,489,9,0.9743589743589743,243,0.3888
horseshoe,1001,10750,10,624,135,489,6,0.9903846153846154,273,0.4368
horseshoe,1001,10750,20,624,135,489,3,0.9919871794871795,350,0.56
horseshoe,1001,10750,30,624,135,489,3,0.9919871794871795,417,0.6672
horseshoe,1001,11000,3,624,138,486,41,0.4407051282051282,231,0.3696
horseshoe,1001,11000,5,624,138,486,9,0.9519230769230769,248,0.3968
horseshoe,1001,11000,10,624,138,486,5,0.9919871794871795,280,0.448
horseshoe,1001,11000,20,624,138,486,3,0.9919871794871795,353,0.5648
horseshoe,1001,11000,30,624,138,486,3,0.9919871794871795,423,0.6768
horseshoe,1001,11250,3,622,144,478,40,0.7122186495176849,237,0.3792
horseshoe,1001,11250,5,622,144,478,12,0.8971061093247589,252,0.4032
horseshoe,1001,11250,10,622,144,478,6,0.9903536977491961,284,0.4544
horseshoe,1001,11250,20,622,144,478,2,0.9983922829581994,356,0.5696
horseshoe,1001,11250,30,622,144,478,2,0.9983922829581994,424,0.6784
horseshoe,1001,11500,3,625,150,475,45,0.4384,239,0.3824
horseshoe,1001,11500,5,625,150,475,14,0.9328,254,0.4064
horseshoe,1001,11500,10,625,150,475,5,0.9888,282,0.4512
horseshoe,1001,11500,20,625,150,475,2,0.9984,355,0.568
horseshoe,1001,11500,30,625,150,475,2,0.9984,424,0.6784
horseshoe,1001,11750,3,631,155,476,46,0.48811410459587956,239,0.3824
horseshoe,1001,11750,5,631,155,476,12,0.9001584786053882,251,0.4016
horseshoe,1001,11750,10,631,155,476,4,0.993660855784469,274,0.4384
horseshoe,1001,11750,20,631,155,476,2,0.9984152139461173,352,0.5632
horseshoe,1001,11750,30,631,155,476,2,0.9984152139461173,418,0.6688
horseshoe,1001,12000,3,632,156,476,46,0.21835443037974683,234,0.3744
horseshoe,1001,12000,5,632,156,476,11,0.9335443037974683,245,0.392
horseshoe,1001,12000,10,632,156,476,4,0.9936708860759493,270,0.432
horseshoe,1001,12000,20,632,156,476,2,0.9984177215189873,349,0.5584
horseshoe,1001,12000,30,632,156,476,2,0.9984177215189873,410,0.656
horseshoe,1001,12250,3,637,157,480,40,0.4427001569858713,234,0.3744
horseshoe,1001,12250,5,637,157,480,11,0.9309262166405023,247,0.3952
horseshoe,1001,12250,10,637,157,480,5,0.989010989010989,270,0.432
horseshoe,1001,12250,20,637,157,480,2,0.9984301412872841,352,0.5632
horseshoe,1001,12250,30,637,157,480,2,0.9984301412872841,412,0.6592
horseshoe,1001,12500,3,641,162,479,45,0.5195007800312013,244,0.3904
horseshoe,1001,12500,5,641,162,479,16,0.8486739469578783,259,0.4144
horseshoe,1001,12500,10,641,162,479,5,0.984399375975039,279,0.4464
horseshoe,1001,12500,20,641,162,479,1,1.0,361,0.5776
horseshoe,1001,12500,30,641,162,479,1,1.0,420,0.672
horseshoe,1001,12750,3,646,164,482,53,0.5247678018575851,243,0.3888
horseshoe,1001,12750,5,646,164,482,15,0.9210526315789473,258,0.4128
horseshoe,1001,12750,10,646,164,482,5,0.9845201238390093,281,0.4496
horseshoe,1001,12750,20,646,164,482,1,1.0,361,0.5776
horseshoe,1001,12750,30,646,164,482,1,1.0,420,0.672
horseshoe,1001,13000,3,652,171,481,39,0.6702453987730062,245,0.392
horseshoe,1001,13000,5,652,171,481,11,0.9125766871165644,257,0.4112
horseshoe,1001,13000,10,652,171,481,6,0.9846625766871165,285,0.456
horseshoe,1001,13000,20,652,171,481,2,0.9969325153374233,361,0.5776
horseshoe,1001,13000,30,652,171,481,1,1.0,422,0.6752
horseshoe,1001,13250,3,654,176,478,48,0.41743119266055045,245,0.392
horseshoe,1001,13250,5,654,176,478,9,0.9403669724770642,258,0.4128
horseshoe,1001,13250,10,654,176,478,4,0.9785932721712538,284,0.4544
horseshoe,1001,13250,20,654,176,478,1,1.0,364,0.5824
horseshoe,1001,13250,30,654,176,478,1,1.0,423,0.6768
horseshoe,1001,13500,3,654,176,478,51,0.40214067278287463,245,0.392
horseshoe,1001,13500,5,654,176,478,12,0.8241590214067278,259,0.4144
horseshoe,1001,13500,10,654,176,478,4,0.9801223241590215,282,0.4512
horseshoe,1001,13500,20,654,176,478,1,1.0,363,0.5808
horseshoe,1001,13500,30,654,176,478,1,1.0,424,0.6784
horseshoe,1001,13750,3,660,179,481,47,0.5454545454545454,249,0.3984
horseshoe,1001,13750,5,660,179,481,12,0.896969696969697,267,0.4272
horseshoe,1001,13750,10,660,179,481,5,0.9787878787878788,293,0.4688
horseshoe,1001,13750,20,660,179,481,2,0.9954545454545455,377,0.6032
horseshoe,1001,13750,30,660,179,481,2,0.9954545454545455,443,0.7088
horseshoe,1001,14000,3,669,181,488,45,0.6083707025411061,248,0.3968
horseshoe,1001,14000,5,669,181,488,9,0.905829596412556,265,0.424
horseshoe,1001,14000,10,669,181,488,5,0.9790732436472347,290,0.464
horseshoe,1001,14000,20,669,181,488,2,0.9955156950672646,378,0.6048
horseshoe,1001,14000,30,669,181,488,2,0.9955156950672646,441,0.7056
horseshoe,1001,14250,3,671,182,489,51,0.4903129657228018,247,0.3952
horseshoe,1001,14250,5,671,182,489,6,0.9612518628912071,258,0.4128
horseshoe,1001,14250,10,671,182,489,2,0.9955290611028316,285,0.456
horseshoe,1001,14250,20,671,182,489,1,1.0,367,0.5872
horseshoe,1001,14250,30,671,182,489,1,1.0,427,0.6832
horseshoe,1001,14500,3,666,184,482,52,0.5540540540540541,252,0.4032
horseshoe,1001,14500,5,666,184,482,5,0.9594594594594594,263,0.4208
horseshoe,1001,14500,10,666,184,482,2,0.9954954954954955,286,0.4576
horseshoe,1001,14500,20,666,184,482,1,1.0,367,0.5872
horseshoe,1001,14500,30,666,184,482,1,1.0,424,0.6784
horseshoe,1001,14750,3,669,184,485,53,0.40657698056801195,254,0.4064
horseshoe,1001,14750,5,669,184,485,11,0.8490284005979073,264,0.4224
horseshoe,1001,14750,10,669,184,485,2,0.9955156950672646,288,0.4608
horseshoe,1001,14750,20,669,184,485,1,1.0,368,0.5888
horseshoe,1001,14750,30,669,184,485,1,1.0,425,0.68
horseshoe,1001,15000,3,677,185,492,56,0.5110782865583456,249,0.3984
horseshoe,1001,15000,5,677,185,492,11,0.896602658788774,264,0.4224
horseshoe,1001,15000,10,677,185,492,2,0.9940915805022157,288,0.4608
horseshoe,1001,15000,20,677,185,492,1,1.0,368,0.5888
horseshoe,1001,15000,30,677,185,492,1,1.0,425,0.68
horseshoe,1001,15250,3,674,186,488,59,0.37388724035608306,242,0.3872
horseshoe,1001,15250,5,674,186,488,11,0.6097922848664689,259,0.4144
horseshoe,1001,15250,10,674,186,488,2,0.9940652818991098,284,0.4544
horseshoe,1001,15250,20,674,186,488,1,1.0,362,0.5792
horseshoe,1001,15250,30,674,186,488,1,1.0,419,0.6704
horseshoe,1001,15500,3,675,187,488,49,0.5555555555555556,245,0.392
horseshoe,1001,15500,5,675,187,488,7,0.8918518518518519,262,0.4192
horseshoe,1001,15500,10,675,187,488,2,0.9955555555555555,287,0.4592
horseshoe,1001,15500,20,675,187,488,1,1.0,365,0.584
horseshoe,1001,15500,30,675,187,488,1,1.0,427,0.6832
horseshoe,1001,15750,3,676,188,488,51,0.39349112426035504,250,0.4
horseshoe,1001,15750,5,676,188,488,6,0.9482248520710059,264,0.4224
horseshoe,1001,15750,10,676,188,488,2,0.992603550295858,290,0.464
horseshoe,1001,15750,20,676,188,488,1,1.0,375,0.6
horseshoe,1001,15750,30,676,188,488,1,1.0,430,0.688
horseshoe,1001,16000,3,677,189,488,60,0.2688330871491876,252,0.4032
horseshoe,1001,16000,5,677,189,488,6,0.7828655834564254,265,0.424
horseshoe,1001,16000,10,677,189,488,2,0.9926144756277696,290,0.464
horseshoe,1001,16000,20,677,189,488,1,1.0,375,0.6
horseshoe,1001,16000,30,677,189,488,1,1.0,427,0.6832
horseshoe,1001,16250,3,678,189,489,67,0.29056047197640117,248,0.3968
horseshoe,1001,16250,5,678,189,489,8,0.9410029498525073,262,0.4192
horseshoe,1001,16250,10,678,189,489,2,0.995575221238938,288,0.4608
horseshoe,1001,16250,20,678,189,489,1,1.0,366,0.5856
horseshoe,1001,16250,30,678,189,489,1,1.0,425,0.68
horseshoe,1001,16500,3,677,189,488,60,0.5155096011816839,246,0.3936
horseshoe,1001,16500,5,677,189,488,9,0.9217134416543574,264,0.4224
horseshoe,1001,16500,10,677,189,488,2,0.9955686853766618,286,0.4576
horseshoe,1001,16500,20,677,189,488,1,1.0,365,0.584
horseshoe,1001,16500,30,677,189,488,1,1.0,424,0.6784
horseshoe,1001,16750,3,676,189,487,56,0.5177514792899408,249,0.3984
horseshoe,1001,16750,5,676,189,487,5,0.9689349112426036,267,0.4272
