map,k,seed_count,component_count_mean,component_count_std,component_count_min,component_count_max,finite_pair_fraction_mean,finite_pair_fraction_std,finite_pair_fraction_min,finite_pair_fraction_max,ratio_mean_geodesic_to_mean_euclidean_mean,ratio_mean_geodesic_to_mean_euclidean_std,ratio_mean_geodesic_to_mean_euclidean_min,ratio_mean_geodesic_to_mean_euclidean_max
horseshoe,3,5,2.4,1.3416407864998738,1.0,4.0,0.948827067669173,0.054227404916919936,0.8711027568922306,1.0,1.7804839301491886,0.22991205300214546,1.5113393011517136,2.1324334576823167
horseshoe,5,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1926520446628095,0.021137886018889017,1.161662937641285,1.2189070014825927
horseshoe,10,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0619332058876665,0.014712771054638365,1.043419146528329,1.0798853125573722
horseshoe,20,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.018856069342005,0.004277432623981251,1.0146697409743326,1.0254500607514698
horseshoe,30,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0086784072209667,0.002049566703324432,1.0065214852809492,1.0117861711572922
open,3,3,2.6666666666666665,1.1547005383792515,2.0,4.0,0.7341269841269842,0.28559501652900954,0.40557644110275687,0.9230075187969925,1.7597814961094824,0.05337992783118007,1.7039133046979271,1.8102649950571057
open,5,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.1713280093167044,0.016066777451815274,1.1617517724350133,1.189877054436937
open,10,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.048423128986884,0.006547382846292918,1.0443842887857324,1.0559773525625709
open,20,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0127560885310727,0.0006795965055640313,1.0122405699658616,1.0135262264501053
open,30,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0060512340491468,0.0002964037468345653,1.0057388215375263,1.0063284940040942
