map,snapshot_evaluation,k,seed_count,connected_seed_count,component_count_mean,component_count_min,component_count_max,support_finite_pair_fraction_mean,support_finite_pair_fraction_min,support_finite_pair_fraction_max,support_geodesic_to_euclidean_ratio_mean,support_geodesic_to_euclidean_ratio_std,support_geodesic_to_euclidean_ratio_min,support_geodesic_to_euclidean_ratio_max
horseshoe,2000,3,5,0,44.0,29,54,0.25649079196665403,0.21025994694960212,0.3591193633952255,1.7113205047304008,0.16784058872735902,1.544831067487791,1.9133507412771813
horseshoe,2000,5,5,0,20.4,13,28,0.4054773777946192,0.3926441834028041,0.4149511178476696,1.3192062386535652,0.11158997683192992,1.2025083952908038,1.468891458446719
horseshoe,2000,10,5,0,7.6,4,10,0.5261430845017052,0.4937362637362637,0.5567237589996211,1.1423300500996263,0.04195376495691856,1.0969370077094507,1.2076613264342382
horseshoe,2000,20,5,0,3.2,2,4,0.6380438044713908,0.5902569154982948,0.6782015915119364,1.0689924907424273,0.016507243635633766,1.0522900341413388,1.0883129422763274
horseshoe,2000,30,5,1,2.0,1,3,0.7049053429329291,0.6507343690791967,0.7533027661993179,1.0520554615400415,0.00806007340614965,1.039060978007505,1.0587348913181922
horseshoe,10000,3,5,0,34.8,24,43,0.18424691170898067,0.05921864342553998,0.284454717696097,1.7622103802891644,0.1272836986785184,1.6277909030911704,1.95631675955623
horseshoe,10000,5,5,0,10.4,8,12,0.4359236074270557,0.2914861690034104,0.48315877226222054,1.3061118991716063,0.044875086290343764,1.2601617981889022,1.3804162739651025
horseshoe,10000,10,5,0,5.2,3,7,0.5441135278514588,0.5105441455096628,0.5674331186055324,1.107538816889204,0.017501210444447593,1.0802366859191361,1.1284015425631828
horseshoe,10000,20,5,0,2.2,2,3,0.631071921182266,0.5703630162940507,0.6569124668435014,1.053589374501174,0.010706537352064886,1.0361634924080338,1.0651501461007191
horseshoe,10000,30,5,1,1.8,1,2,0.6793797650625237,0.6487957559681697,0.6996741189844639,1.03685348358471,0.008718784679859428,1.026212951521915,1.048768807885745
horseshoe,20000,3,5,0,39.2,28,44,0.20383751420992802,0.17166654035619552,0.22099658961727928,1.8620978909076196,0.10324585195102773,1.72657395781495,1.9752829075205343
horseshoe,20000,5,5,0,11.2,5,17,0.4884018188707843,0.452101553618795,0.5215930276619932,1.322664653091654,0.04322020374081628,1.2751239725524652,1.3932892619411092
horseshoe,20000,10,5,1,3.4,1,7,0.5852371352785146,0.5598006820765441,0.6360356195528609,1.0981784195338724,0.015771935538743835,1.082207946613804,1.1230933261743843
horseshoe,20000,20,5,3,1.6,1,3,0.6846717696097006,0.6657635467980295,0.7212519893899204,1.046307746391254,0.0059767006120185736,1.0374856389866893,1.0521806177039283
horseshoe,20000,30,5,5,1.0,1,1,0.751295339143615,0.7200689655172414,0.8005539977264116,1.0406223798990115,0.0121565927024094,1.028133847789026,1.060980046336297
open,2000,3,3,0,40.0,33,49,0.24300442086648985,0.21899886320575976,0.2722000757862827,1.613199318775134,0.08486708583328882,1.5317164327833346,1.7010876251414677
open,2000,5,3,0,17.0,14,21,0.43259618542377165,0.42854187192118226,0.4371239105721864,1.390879601693328,0.17782285704959166,1.2690338472352038,1.5949324114301553
open,2000,10,3,0,6.666666666666667,4,9,0.523158267020336,0.5027821144372868,0.5401758241758242,1.1084589970058822,0.027231230623355633,1.0770162451706091,1.1244147636900816
open,2000,20,3,0,3.0,2,4,0.6065888594164456,0.5852428950359985,0.6242788935202729,1.0479220593897667,0.006325133085002844,1.0407669105861221,1.0527685674940637
open,2000,30,3,0,3.0,2,4,0.6414268030819755,0.6189511178476695,0.6556218264494127,1.0321328082966577,0.005053385337917961,1.027184868997436,1.0372854204927644
open,10000,3,3,0,45.333333333333336,41,51,0.22825363142604524,0.13821523304281924,0.29321485411140585,1.7680396478994573,0.19988538295339459,1.5685675688841836,1.9683357867925786
open,10000,5,3,0,14.0,9,19,0.4712977137804724,0.4359969685486927,0.5150458507010232,1.3003118446997917,0.03918059130895847,1.2635545498989347,1.3415333179873954
open,10000,10,3,0,3.6666666666666665,2,6,0.5978979411393205,0.580773020083365,0.6126654035619553,1.1253833008718488,0.05961898589726786,1.084815448505133,1.1938347523724044
open,10000,20,3,1,2.0,1,3,0.6810771756978653,0.6439946949602122,0.7101682455475559,1.0469258780596313,0.010249450278994524,1.0352826915747222,1.0545855103059705
open,10000,30,3,3,1.0,1,1,0.7538592901351522,0.7274005305039788,0.7983524062144752,1.0394279171240535,0.012192601123658433,1.0290065326096438,1.0528365103786328
open,20000,3,3,0,46.333333333333336,39,56,0.14281798661109005,0.11827661993179235,0.1646305418719212,1.8189354799473285,0.17042327165753016,1.6524145656192255,1.993009924695649
open,20000,5,3,0,10.333333333333334,6,16,0.5225623342175066,0.4987305797650625,0.5453868889730958,1.3333763508152117,0.10270467180457257,1.2346458090470998,1.439640300964399
open,20000,10,3,1,1.6666666666666667,1,2,0.6303748894783378,0.6116968548692686,0.658101553618795,1.0963047029211397,0.00842542925511231,1.0873213706661544,1.1040309732485782
open,20000,20,3,2,1.3333333333333333,1,2,0.6994166982442844,0.669787798408488,0.7546381205001894,1.0402079939219524,0.003364661466927255,1.0377713828246036,1.0440470134109936
open,20000,30,3,3,1.0,1,1,0.7716683087027915,0.7295020841227737,0.8486214475179993,1.031248872849815,0.0032646083424451235,1.0279916922580858,1.034520858586287
