map,k,point_count,total_pair_count,finite_pair_count,disconnected_pair_count,finite_pair_fraction,component_count,largest_component_fraction,mean_euclidean_all_pairs,mean_euclidean_finite_pairs,mean_knn_geodesic_finite_pairs,ratio_mean_geodesic_to_mean_euclidean,mean_per_pair_geodesic_to_euclidean_ratio,median_per_pair_geodesic_to_euclidean_ratio,p90_per_pair_geodesic_to_euclidean_ratio,p95_per_pair_geodesic_to_euclidean_ratio,max_per_pair_geodesic_to_euclidean_ratio
horseshoe,3,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,17.236309720601618,2.1324334576823167,2.1474208862619575,1.635920629629855,3.5376811185173898,4.629354801348268,55.344947258592356
horseshoe,5,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,9.617589246396449,1.1898642704678437,1.2098081188367216,1.1664102876790885,1.391788212164989,1.5144482588280472,4.280877807132134
horseshoe,10,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.614320583173448,1.0657423615917327,1.0717282467589055,1.0461963798130292,1.1504067555662802,1.2214628517509105,2.777013048982946
horseshoe,20,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.241870186112788,1.0196637228985603,1.019149158205388,1.0097435585817955,1.0412611521201809,1.0670715788792002,2.1389148765566115
horseshoe,30,400,79800,79800,0,1.0,1,1.0,8.082929696355116,8.082929696355116,8.158194369100459,1.0093115585032593,1.0086097449871918,1.0038061340462066,1.0191447046113922,1.031196480254731,1.526183809427273
open,3,400,79800,32365,47435,0.40557644110275687,4,0.48,10.25074689855642,8.015392833011177,14.509985067231739,1.8102649950571057,1.934183249683778,1.4810023667593541,3.326581880391649,4.3042219014181935,20.94244829921566
open,5,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,11.908823378180635,1.1617517724350133,1.1820991967225456,1.1412750905201396,1.339375875986107,1.465060551428646,4.484988586766099
open,10,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.705719009171398,1.0443842887857324,1.0502872798103529,1.0368370956633988,1.103429845959575,1.1393447694693615,2.134395613029722
open,20,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.389400822389009,1.0135262264501053,1.0148846241840608,1.008455271842374,1.0340889765060963,1.051849601392099,1.583559325021894
open,30,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.309574105633587,1.0057388215375263,1.00622469873482,1.0032176674975242,1.015338573328721,1.0228148073322265,1.245435338682372
