map,k,seed_count,mean_reachable_centroid_fraction_mean,mean_reachable_centroid_fraction_std,mean_reachable_centroid_fraction_min,mean_reachable_centroid_fraction_max,min_refresh_reachable_centroid_fraction_mean,min_refresh_reachable_centroid_fraction_std,min_refresh_reachable_centroid_fraction_min,min_refresh_reachable_centroid_fraction_max,final_reachable_centroid_fraction_mean,final_reachable_centroid_fraction_std,final_reachable_centroid_fraction_min,final_reachable_centroid_fraction_max,never_reachable_centroids_mean,never_reachable_centroids_std,never_reachable_centroids_min,never_reachable_centroids_max,unreachable_more_than_half_centroids_mean,unreachable_more_than_half_centroids_std,unreachable_more_than_half_centroids_min,unreachable_more_than_half_centroids_max,unreachable_at_least_90_percent_centroids_mean,unreachable_at_least_90_percent_centroids_std,unreachable_at_least_90_percent_centroids_min,unreachable_at_least_90_percent_centroids_max,connected_refresh_fraction_mean,connected_refresh_fraction_std,connected_refresh_fraction_min,connected_refresh_fraction_max,component_count_mean_mean,component_count_mean_std,component_count_mean_min,component_count_mean_max,component_count_max_mean,component_count_max_std,component_count_max_min,component_count_max_max
horseshoe,3,5,0.38241560975609756,0.04205987154955447,0.31324878048780486,0.4275121951219512,0.32992,0.050639431276427276,0.24,0.36,0.40864,0.043208887974582263,0.3472,0.4688,336.8,29.26943798572156,302.0,380.0,386.4,25.205158202241062,363.0,429.0,358.4,26.707676799002943,320.0,395.0,0.0,0.0,0.0,0.0,49.278048780487815,5.844647535870779,39.51219512195122,54.609756097560975,61.8,5.805170109479997,52.0,67.0
horseshoe,5,5,0.41654634146341457,0.03274859075306478,0.362380487804878,0.4448780487804878,0.36032000000000003,0.04257924376970544,0.2864,0.3888,0.44352,0.03509803413298243,0.3968,0.4896,318.2,27.526351011349107,290.0,359.0,364.8,16.90266251216062,352.0,393.0,335.6,23.754999473794985,304.0,367.0,0.0,0.0,0.0,0.0,11.604878048780488,2.0123355457284013,9.487804878048781,13.707317073170731,18.0,3.082207001484488,14.0,21.0
horseshoe,10,5,0.46033951219512187,0.027677708673340462,0.4212682926829268,0.4875707317073171,0.40576000000000007,0.03193192759605973,0.352,0.4352,0.48735999999999996,0.0329964846612484,0.4528,0.5248,290.8,23.763417262674995,264.0,315.0,337.8,13.479614237803693,324.0,358.0,308.6,23.21206582792665,282.0,330.0,0.024390243902439025,0.024390243902439025,0.0,0.04878048780487805,3.531707317073171,0.8387903814337183,2.8292682926829267,4.975609756097561,6.0,0.7071067811865476,5.0,7.0
horseshoe,20,5,0.5821190243902439,0.03562267884461563,0.524019512195122,0.6144390243902439,0.5270400000000001,0.03753355831785739,0.4624,0.56,0.6096,0.038082016753318064,0.5552,0.6496,221.0,26.692695630078276,190.0,259.0,259.8,21.34713095476767,240.0,295.0,237.0,23.280893453645632,209.0,267.0,0.4292682926829269,0.23177149303813854,0.17073170731707318,0.6829268292682927,1.7853658536585364,0.4544708175161801,1.3902439024390243,2.4390243902439024,3.2,0.8366600265340756,2.0,4.0
horseshoe,30,5,0.6689014634146341,0.043143167498969515,0.5970731707317073,0.7055609756097561,0.6096,0.03808201675331811,0.5456,0.64,0.6985600000000001,0.046874811999623005,0.6272,0.7552,169.4,35.47957158704146,125.0,222.0,208.2,24.488772937817853,189.0,250.0,183.2,31.075713990188543,143.0,228.0,0.7219512195121951,0.21788011155246143,0.36585365853658536,0.9512195121951219,1.3365853658536586,0.29792061433370676,1.048780487804878,1.829268292682927,2.6,0.5477225575051661,2.0,3.0
open,3,3,0.40571056910569103,0.0688872607211874,0.36050731707317074,0.4849951219512195,0.3616,0.03772744359216511,0.3296,0.4032,0.41973333333333335,0.08314357060731353,0.3632,0.5152,338.0,51.09794516416487,279.0,368.0,370.3333333333333,44.50093631973751,319.0,398.0,350.3333333333333,50.520622851795224,292.0,380.0,0.0,0.0,0.0,0.0,56.82113821138211,7.912757992269176,51.951219512195124,65.95121951219512,68.33333333333333,11.930353445448855,60.0,82.0
open,5,3,0.4533463414634146,0.06843228101611408,0.41186341463414633,0.5323317073170731,0.41333333333333333,0.03177252481836048,0.3904,0.4496,0.4704,0.08038308279731503,0.4224,0.5632,309.0,51.97114584074513,249.0,340.0,340.3333333333333,43.61574639202376,290.0,367.0,321.6666666666667,51.69461609619839,262.0,353.0,0.0,0.0,0.0,0.0,13.300813008130083,4.428715806665919,10.731707317073171,18.414634146341463,19.0,5.291502622129181,15.0,25.0
open,10,3,0.5146146341463415,0.05974896682192857,0.47399024390243905,0.5832195121951219,0.47573333333333334,0.02088189008048201,0.4592,0.4992,0.536,0.07631513611335565,0.488,0.624,271.6666666666667,48.6449723335653,216.0,306.0,302.0,38.31448812133603,258.0,328.0,283.0,47.031904065219386,229.0,315.0,0.5447154471544716,0.32753231021924695,0.17073170731707318,0.7804878048780488,2.121951219512195,1.048780487804878,1.2682926829268293,3.292682926829268,4.666666666666667,1.5275252316519465,3.0,6.0
open,20,3,0.628669918699187,0.09303599059665996,0.569170731707317,0.7358829268292683,0.5882666666666667,0.04565844208175892,0.5536,0.64,0.6426666666666666,0.10745442444745275,0.5728,0.7664,202.66666666666666,68.13467056743822,124.0,243.0,230.66666666666666,61.27261487266015,160.0,269.0,211.66666666666666,68.19335255971313,133.0,254.0,0.9512195121951219,0.04224514164802137,0.926829268292683,1.0,1.0650406504065042,0.061380767766428916,1.0,1.1219512195121952,2.0,1.0,1.0,3.0
open,30,3,0.7152130081300813,0.09320224078789198,0.654009756097561,0.8224780487804878,0.6778666666666666,0.04989161586211992,0.64,0.7344,0.7232,0.09732420048477154,0.6592,0.8352,153.0,60.8276253029822,83.0,193.0,176.66666666666666,61.40304009846201,106.0,217.0,163.33333333333334,62.80392769033902,91.0,204.0,0.975609756097561,0.024390243902439046,0.9512195121951219,1.0,1.024390243902439,0.024390243902439046,1.0,1.048780487804878,1.6666666666666667,0.5773502691896257,1.0,2.0
