euclidean_final_xy,maze_geodesic_shortest_path,ratio,shortest_path_touches_horseshoe_region
0.24215064,0.25754669,1.06358047,false
0.53437038,0.57366989,1.07354358,true
0.18126917,0.18560424,1.02391510,false
0.78059801,2.79707870,3.58325115,true
1.53638692,1.63245819,1.06253064,true
0.43937974,0.48631640,1.10682481,true
0.64526909,2.80695340,4.35005089,true
0.73680611,0.76012125,1.03164352,true
0.72158278,2.84271284,3.93955195,true
1.26770559,1.65076147,1.30216470,true
1.03621315,1.23494140,1.19178318,true
0.01805717,0.02034840,1.12688707,false
0.14309573,0.15333603,1.07156261,false
0.02224996,0.02034840,0.91453622,false
0.51990592,0.57264734,1.10144416,false
0.01155937,0.01438849,1.24474702,false
0.56747191,0.59257218,1.04423174,true
0.23967515,0.24562687,1.02483246,false
0.02062074,0.02034840,0.98679279,false
0.12749028,0.12949640,1.01573549,false
0.02833432,0.02034840,0.71815373,false
0.54979377,0.58252203,1.05952826,false
0.02974196,0.02034840,0.68416470,false
0.35207568,0.36277991,1.03040320,false
1.74116959,1.82197722,1.04640997,false
0.00829954,0.02034840,2.45175081,false
0.01048404,0.00000000,0.00000000,false
0.86843524,0.94981573,1.09370934,true
1.54559897,1.63492686,1.05779500,false
0.72408708,0.78847467,1.08892245,false
0.57663549,0.59853208,1.03797302,true
0.71903896,0.78455988,1.09112291,false
0.21158072,0.22630104,1.06957306,false
0.01979370,0.01438849,0.72692281,false
0.34174258,0.33996283,0.99479214,false
1.14300657,1.21766068,1.06531381,false
0.34864991,0.36277991,1.04052776,false
0.01930896,0.02034840,1.05383157,false
0.01296032,0.01438849,1.11019575,false
0.02093995,0.02034840,0.97174983,false
0.08223623,0.08982217,1.09224573,false
0.01700668,0.02034840,1.19649444,false
0.02945085,0.02034840,0.69092724,false
0.02138940,0.01438849,0.67269246,false
1.87138990,2.05339105,1.09725454,true
0.15840579,0.17019320,1.07441275,false
0.02615641,0.02034840,0.77795059,false
0.07846766,0.08386226,1.06874938,false
0.32650247,0.31961444,0.97890358,false
0.24213793,0.25056422,1.03479956,false
0.00695304,0.01438849,2.06938094,false
1.29633646,1.36997415,1.05680446,false
0.11808164,0.12455905,1.05485541,false
2.08363069,2.40918849,1.15624544,true
0.01871940,0.02034840,1.08702173,false
1.64471766,1.77736564,1.08065091,false
0.35761138,0.37469972,1.04778466,false
0.00884327,0.00000000,0.00000000,false
0.01953397,0.02034840,1.04169271,false
0.01127492,0.00000000,0.00000000,false
0.06340927,0.06104519,0.96271707,false
0.01831358,0.01438849,0.78567325,false
1.74128395,1.82197722,1.04634125,false
0.40275954,0.41479751,1.02988875,false
0.72523140,0.75186812,1.03672857,true
0.01455462,0.02034840,1.39807152,false
0.26376447,0.27193518,1.03097730,false
1.10996508,1.18292379,1.06573063,false
0.00955101,0.00000000,0.00000000,false
0.50775412,0.54983027,1.08286716,false
0.01318267,0.00000000,0.00000000,false
0.00613693,0.00000000,0.00000000,false
0.01048257,0.01438849,1.37261122,false
1.56549477,1.66966375,1.06654061,false
0.16826270,0.18560424,1.10306234,false
0.30222184,0.30769462,1.01810849,false
0.01020722,0.01438849,1.40963825,false
0.01738242,0.02034840,1.17063057,false
0.01684207,0.01438849,0.85431814,false
0.68946217,0.90460515,1.31204464,false
0.70670394,0.76914884,1.08836076,false
1.10402471,1.17449521,1.06383054,false
0.52072988,0.56072752,1.07681073,false
0.22483490,0.23370706,1.03946079,false
0.14812945,0.14737612,0.99491439,false
0.01938687,0.02034840,1.04959665,false
1.67540063,1.73462373,1.03534862,false
0.01459705,0.01438849,0.98571191,false
0.01540281,0.00000000,0.00000000,false
0.32453319,0.31961444,0.98484360,false
0.00527863,0.02034840,3.85486148,false
0.61899377,0.63820632,1.03103836,true
0.26050312,0.29228358,1.12199646,false
0.80787279,2.97118669,3.67779026,true
1.50298303,1.62113737,1.07861323,true
0.51549550,0.54242424,1.05223856,true
0.67056005,2.98106138,4.44562927,true
0.67517751,0.72496081,1.07373365,true
0.73468565,3.01682083,4.10627432,true
1.31615721,1.63944065,1.24562677,true
1.02463852,1.22362058,1.19419733,true
0.23492177,0.24911811,1.06043007,false
0.18119743,0.19403283,1.07083650,false
0.22005964,0.23719829,1.07788185,false
0.38881148,0.39444912,1.01449965,false
0.23159021,0.25158678,1.08634465,false
0.70812786,0.76668016,1.08268605,true
0.17290804,0.17266187,0.99857627,false
0.22154495,0.23719829,1.07065536,false
0.36598862,0.38704309,1.05752767,false
0.22705410,0.24911811,1.09717510,false
0.76913737,0.76854984,0.99923611,false
0.22760248,0.24911811,1.09453161,false
0.18487894,0.17266187,0.93391853,false
1.97698646,2.07952391,1.05186553,false
0.24393263,0.26597527,1.09036365,false
0.24458043,0.25754669,1.05301430,false
1.04150950,1.12392372,1.07912959,true
1.78239886,1.89247355,1.06175649,false
0.96551600,1.04602136,1.08338066,false
0.70029759,0.75578291,1.07923106,true
0.89659405,0.95866787,1.06923292,false
0.05674472,0.05508528,0.97075616,false
0.23147966,0.24315820,1.05045171,false
0.57317371,0.59750952,1.04245801,false
1.38205381,1.47520737,1.06740226,false
0.17656883,0.17266187,0.97787287,false
0.22284198,0.23719829,1.06442372,false
0.22924188,0.25158678,1.09747303,false
0.23765120,0.24911811,1.04825101,false
0.30631364,0.33051169,1.07899762,false
0.22556852,0.23719829,1.05155763,false
0.22883292,0.24911811,1.08864629,false
0.22454007,0.24315820,1.08291676,false
1.89663827,2.04207024,1.07667881,true
0.39889058,0.42773989,1.07232387,false
0.23055120,0.24911811,1.08053269,false
0.32061396,0.34140895,1.06485990,false
0.32823680,0.33093525,1.00822107,false
0.28396034,0.28981490,1.02061753,false
0.24092741,0.25158678,1.04424308,false
1.18684345,1.17985612,0.99411268,false
0.12654920,0.13298764,1.05087695,false
2.22803234,2.58329648,1.15945197,true
0.25254199,0.27789509,1.10039160,false
1.86340709,1.96339344,1.05365782,false
0.49295504,0.53195054,1.07910561,false
0.23475594,0.25754669,1.09708275,false
0.23429914,0.24911811,1.06324806,false
0.23847347,0.25754669,1.07998048,false
0.29521007,0.31859188,1.07920398,false
0.23019137,0.24315820,1.05633064,false
1.97714601,2.07952391,1.05178065,false
0.63754997,0.67234420,1.05457491,false
0.86822329,0.92597610,1.06651839,true
0.22786657,0.23719829,1.04095259,false
0.34726502,0.37861451,1.09027541,false
0.99728164,0.99280576,0.99551192,false
0.24737418,0.25754669,1.04112195,false
0.36546992,0.35971223,0.98424578,false
0.23401878,0.25754669,1.10053858,false
0.24482806,0.25754669,1.05194924,false
0.24875826,0.27193518,1.09317047,false
1.78874471,1.92721044,1.07740944,false
0.32959067,0.33442648,1.01467218,false
0.32499339,0.34285507,1.05496011,false
0.23313845,0.25158678,1.07913035,false
0.25233406,0.27789509,1.10129836,false
0.24284707,0.26350660,1.08507218,false
0.90223853,1.07871313,1.19559639,false
0.89991894,0.94325682,1.04815754,false
1.34353999,1.43204190,1.06587218,false
0.76284006,0.81827421,1.07266812,false
0.05652068,0.05755396,1.01828147,false
0.09494425,0.11017056,1.16037105,false
0.22277255,0.23719829,1.06475549,false
1.57775493,1.59218495,1.00914592,false
0.24075340,0.26350660,1.09450831,false
0.23533433,0.25754669,1.09438641,false
0.32716341,0.33093525,1.01152893,false
0.24328070,0.26597527,1.09328554,false
0.71464207,0.75927414,1.06245373,true
0.27550338,2.33298037,8.46806451,true
1.05547239,1.40471104,1.33088374,true
0.10354758,0.09578208,0.92500544,true
0.17559455,2.34285507,13.34241371,true
0.40762434,0.55621373,1.36452533,true
0.24875999,2.37861451,9.56188527,true
0.73416955,1.42301432,1.93826386,true
0.55386826,1.00719424,1.81847257,true
0.55167161,0.59401829,1.07676067,true
0.65874014,0.68486302,1.03965582,true
0.54062725,0.56524131,1.04552871,true
0.47527774,0.48673996,1.02411688,true
0.53154038,0.55928141,1.05218988,true
0.16995783,0.18807292,1.10658580,true
0.73570415,0.73501095,0.99905777,true
0.53859910,0.56524131,1.04946576,true
0.49282923,0.52003073,1.05519457,true
0.55988753,0.59401829,1.06096003,true
0.47011040,0.48733896,1.03664791,true
0.56172264,0.59401829,1.05749395,true
