evaluation,source,fitness,descriptor_x,descriptor_y,cell_x,cell_y,inserted,replaced,steps,food_collected,wall_collisions,hazard_contacts
1,random_init,1.9710000000000012,-0.20657140636778543,0.879508603357196,9,23,True,False,152,0,8,0
2,random_init,1.7100000000000006,-0.49863915055987046,-0.9135428793772257,6,1,True,False,155,0,2,0
3,random_init,1.296000000000001,-0.7256380911100965,-0.7640290828486178,3,2,True,False,162,0,0,0
4,random_init,1.296000000000001,-0.7546360928988921,-0.7702641084420598,3,2,False,False,162,0,0,0
5,random_init,-3.4620000000000046,-0.34981802853943367,-0.9731581802298127,8,0,True,False,156,0,141,0
6,random_init,1.2480000000000016,-0.6701643444348376,-0.9749587125961935,4,0,True,False,161,0,5,0
7,random_init,7.504999999999998,-0.9529549615280266,0.07520659670708787,0,13,True,False,230,2,10,0
8,random_init,5.747999999999997,-0.5789072803835951,0.23472221462457463,5,15,True,False,176,1,14,0
9,random_init,1.296000000000001,-0.7277623593499336,-0.7495532647337169,3,3,True,False,162,0,0,0
10,random_init,-0.19299999999999962,-0.9743158421933399,-0.972723320620381,0,0,True,False,159,0,47,0
11,random_init,1.296000000000001,-0.7708375403199367,-0.7215893671197304,2,3,True,False,162,0,0,0
12,random_init,1.378000000000001,-0.5415296700348499,-0.7767110793961024,5,2,True,False,161,0,0,0
13,random_init,1.296000000000001,-0.7274249417302118,-0.7705844988826598,3,2,False,False,162,0,0,0
14,random_init,1.3330000000000009,-0.8156507636387442,-0.744648047425521,2,3,True,True,161,0,0,0
15,random_init,1.1620000000000008,-0.6702959439533884,-0.944427284342031,4,0,False,False,159,0,7,0
16,random_init,1.3410000000000009,-0.7388946327444149,-0.6984850077394673,3,3,True,True,162,0,0,0
17,random_init,1.296000000000001,-0.7262140628596789,-0.7546818668068769,3,3,False,False,162,0,0,0
18,random_init,1.296000000000001,-0.742437737241215,-0.7500685422336589,3,3,False,False,162,0,0,0
19,random_init,1.296000000000001,-0.7499402683595321,-0.7665155145529389,3,2,False,False,162,0,0,0
20,random_init,1.296000000000001,-0.7263070717297435,-0.7662036338835594,3,2,False,False,162,0,0,0
21,random_init,1.296000000000001,-0.7505606835361408,-0.7689539104558538,3,2,False,False,162,0,0,0
22,random_init,1.296000000000001,-0.7363186441303077,-0.7627847979266956,3,2,False,False,162,0,0,0
23,random_init,1.296000000000001,-0.7529042992582743,-0.7748930738457844,3,2,False,False,162,0,0,0
24,random_init,0.9860000000000015,-0.9424252408700822,-0.9744727989804752,0,0,True,True,157,0,18,0
25,random_init,5.034999999999999,0.5389008547584804,-0.5700909361482562,19,5,True,False,180,1,2,4
26,random_init,1.317000000000001,-0.7609354186052282,-0.8165871904386934,2,2,True,False,159,0,0,0
27,random_init,1.403000000000001,-0.9363895649095431,0.053158834879521055,0,13,False,False,156,0,11,0
28,random_init,4.212000000000001,-0.6636479882553163,-0.5412337086343966,4,5,True,False,204,1,0,0
29,random_init,1.333000000000001,-0.7174519612964166,-0.8633924364790937,3,1,True,False,161,0,0,0
30,random_init,1.288000000000001,-0.7225747064146478,-0.7722516739434127,3,2,False,False,161,0,0,0
31,random_init,1.296000000000001,-0.7547332532592267,-0.7533765109503077,3,3,False,False,162,0,0,0
32,random_init,6.581999999999999,-0.4176560064659575,0.2834709554273286,7,16,True,False,194,1,5,0
33,random_init,7.931999999999998,-0.46304946399540853,-0.7310073541919582,6,3,True,False,224,2,8,0
34,random_init,1.296000000000001,-0.7343845201473471,-0.7475939373154686,3,3,False,False,162,0,0,0
35,random_init,2.364,-0.6762356749192753,0.029747193535274736,4,12,True,False,148,0,1,0
36,random_init,7.885999999999998,-0.6205667702141517,-0.21201649710881457,4,9,True,False,227,2,10,0
37,random_init,1.296000000000001,-0.7387411768593123,-0.7586315496654132,3,3,False,False,162,0,0,0
38,random_init,1.296000000000001,-0.7261631733519489,-0.7459840836765187,3,3,False,False,162,0,0,0
39,random_init,-2.9970000000000026,0.44499695810285006,-0.9703927117074097,18,0,True,False,156,0,138,0
40,random_init,1.6159999999999999,0.970077219261446,-0.4572171524428047,24,6,True,False,137,0,4,6
41,random_init,0.9440000000000007,-0.9749905676443144,-0.6820600626171864,0,3,True,False,158,0,13,0
42,random_init,7.930999999999998,-0.579169502101495,-0.9299780155046624,5,0,True,False,222,2,5,0
43,random_init,4.478,-0.9582981895670379,-0.26228745674634424,0,9,True,False,201,1,2,0
44,random_init,0.44000000000000117,-0.9748569243079267,-0.7237006308923454,0,3,False,False,160,0,33,0
45,random_init,1.296000000000001,-0.7350864743586076,-0.7602024176654639,3,2,False,False,162,0,0,0
46,random_init,-2.4429999999999996,0.0005437685448791254,-0.9719723452873037,12,0,True,False,154,0,123,0
47,random_init,1.296000000000001,-0.7533041191313887,-0.749455683668779,3,3,False,False,162,0,0,0
48,random_init,1.296000000000001,-0.7535474240241233,-0.7520677314848031,3,3,False,False,162,0,0,0
49,random_init,1.2590000000000015,0.06483759728990875,-0.9749401262674708,13,0,True,False,158,0,13,0
50,random_init,1.4810000000000008,-0.5642947355995629,-0.3863777249466284,5,7,True,False,157,0,9,0
51,random_init,4.352000000000001,-0.7274538174898082,-0.7680508993592646,3,2,True,True,199,1,0,0
52,random_init,1.296000000000001,-0.7441615785787454,-0.7641544519004126,3,2,False,False,162,0,0,0
53,random_init,1.296000000000001,-0.7482765883463007,-0.75775336343627,3,3,False,False,162,0,0,0
54,random_init,12.519999999999953,0.380989372299309,0.38141148940634795,17,17,True,False,280,3,6,0
55,random_init,7.766999999999993,-0.04021565721381266,0.6144783366456008,11,20,True,False,199,2,11,13
56,random_init,1.378000000000001,-0.7960782706735625,-0.5983892733828858,2,5,True,False,161,0,0,0
