pair_index,rollout_i,rollout_j,rollout_i_name,rollout_j_name,euclidean_final_xy,maze_geodesic_shortest_path,latent_euclidean_distance,shortest_path_touches_horseshoe_region
0,0,1,stay_still,random_action,0.24215064,0.25754669,0.2863309246098692,False
1,0,2,stay_still,seek_nearest_food,0.53437038,0.57366989,4.1179643164559065,True
2,0,3,stay_still,safe_corner,0.18126917,0.18560424,0.22125617287467775,False
3,0,4,stay_still,inside_horseshoe_route,0.78059801,2.78022154,19.860782924138903,True
4,0,5,stay_still,right_field_route,1.53638692,1.63245819,11.520329592645757,True
5,0,6,stay_still,diag_left_of_u_wall,0.43937974,0.4863164,0.8837854221075825,True
6,0,7,stay_still,diag_inside_left_wall,0.64526909,2.79009623,6.038519428349728,True
7,0,8,stay_still,diag_below_u_bottom,0.73680611,0.76012125,2.406005686354662,True
8,0,9,stay_still,diag_inside_bottom,0.72158278,2.82585568,3.1668235302779144,True
9,0,10,stay_still,diag_right_outer_wall,1.26770559,1.64233289,9.164782501192812,True
10,0,11,stay_still,diag_inside_right_wall,1.03621315,1.22651282,8.727265774163632,True
11,0,12,stay_still,random_mlp_000,0.01805717,0.0203484,165.17010130616097,False
12,0,13,stay_still,random_mlp_001,0.14309573,0.15333603,165.17010130616097,False
13,0,14,stay_still,random_mlp_002,0.02224996,0.0203484,165.17010130616097,False
14,0,15,stay_still,random_mlp_003,0.51990592,0.57264734,165.17010130616097,False
15,0,16,stay_still,random_mlp_004,0.01155937,0.01438849,165.17010130616097,False
16,0,17,stay_still,random_mlp_005,0.56747191,0.59257218,165.17010130616097,True
17,0,18,stay_still,random_mlp_006,0.23967515,0.24562687,165.17010130616097,False
18,0,19,stay_still,random_mlp_007,0.02062074,0.0203484,165.17010130616097,False
19,0,20,stay_still,random_mlp_008,0.12749028,0.1294964,165.17010130616097,False
20,0,21,stay_still,random_mlp_009,0.02833432,0.0203484,165.17010130616097,False
21,0,22,stay_still,random_mlp_010,0.54979377,0.58252203,165.17010130616097,False
22,0,23,stay_still,random_mlp_011,0.02974196,0.0203484,165.17010130616097,False
23,0,24,stay_still,random_mlp_012,0.35207568,0.36277991,165.17010130616097,False
24,0,25,stay_still,random_mlp_013,1.74116959,1.82197722,165.17010130616097,False
25,0,26,stay_still,random_mlp_014,0.00829954,0.0203484,165.17010130616097,False
26,0,27,stay_still,random_mlp_015,0.01048404,0.0,165.17010130616097,False
27,0,28,stay_still,random_mlp_016,0.86843524,0.94981573,165.17010130616097,True
28,0,29,stay_still,random_mlp_017,1.54559897,1.63492686,165.17010130616097,False
29,0,30,stay_still,random_mlp_018,0.72408708,0.78847467,165.17010130616097,False
30,0,31,stay_still,random_mlp_019,0.57663549,0.59853208,165.17010130616097,True
31,0,32,stay_still,random_mlp_020,0.71903896,0.78455988,165.17010130616097,False
32,0,33,stay_still,random_mlp_021,0.21158072,0.22630104,165.17010130616097,False
33,0,34,stay_still,random_mlp_022,0.0197937,0.01438849,165.17010130616097,False
34,0,35,stay_still,random_mlp_023,0.34174258,0.33996283,165.17010130616097,False
35,0,36,stay_still,random_mlp_024,1.14300657,1.21766068,165.17010130616097,False
36,0,37,stay_still,random_mlp_025,0.34864991,0.36277991,165.17010130616097,False
37,0,38,stay_still,random_mlp_026,0.01930896,0.0203484,165.17010130616097,False
38,0,39,stay_still,random_mlp_027,0.01296032,0.01438849,165.17010130616097,False
39,0,40,stay_still,random_mlp_028,0.02093995,0.0203484,165.17010130616097,False
40,0,41,stay_still,random_mlp_029,0.08223623,0.08982217,165.17010130616097,False
41,0,42,stay_still,random_mlp_030,0.01700668,0.0203484,165.17010130616097,False
42,0,43,stay_still,random_mlp_031,0.02945085,0.0203484,165.17010130616097,False
43,0,44,stay_still,random_mlp_032,0.0213894,0.01438849,165.17010130616097,False
44,0,45,stay_still,random_mlp_033,1.8713899,2.04496247,165.17010130616097,True
45,0,46,stay_still,random_mlp_034,0.15840579,0.1701932,165.17010130616097,False
46,0,47,stay_still,random_mlp_035,0.02615641,0.0203484,165.17010130616097,False
47,0,48,stay_still,random_mlp_036,0.07846766,0.08386226,165.17010130616097,False
48,0,49,stay_still,random_mlp_037,0.32650247,0.31961444,165.17010130616097,False
49,0,50,stay_still,random_mlp_038,0.24213793,0.25056422,165.17010130616097,False
50,0,51,stay_still,random_mlp_039,0.00695304,0.01438849,165.17010130616097,False
51,0,52,stay_still,random_mlp_040,1.29633646,1.36997415,165.17010130616097,False
52,0,53,stay_still,random_mlp_041,0.11808164,0.12455905,165.17010130616097,False
53,0,54,stay_still,random_mlp_042,2.08363069,2.40075991,165.17010130616097,True
54,0,55,stay_still,random_mlp_043,0.0187194,0.0203484,165.17010130616097,False
55,0,56,stay_still,random_mlp_044,1.64471766,1.77736564,165.17010130616097,False
56,0,57,stay_still,random_mlp_045,0.35761138,0.37469972,165.17010130616097,False
57,0,58,stay_still,random_mlp_046,0.00884327,0.0,165.17010130616097,False
58,0,59,stay_still,random_mlp_047,0.01953397,0.0203484,165.17010130616097,False
59,0,60,stay_still,random_mlp_048,0.01127492,0.0,165.17010130616097,False
60,0,61,stay_still,random_mlp_049,0.06340927,0.06104519,165.17010130616097,False
61,0,62,stay_still,random_mlp_050,0.01831358,0.01438849,165.17010130616097,False
62,0,63,stay_still,random_mlp_051,1.74128395,1.82197722,165.17010130616097,False
63,0,64,stay_still,random_mlp_052,0.40275954,0.41479751,165.17010130616097,False
64,0,65,stay_still,random_mlp_053,0.7252314,0.75186812,165.17010130616097,True
65,0,66,stay_still,random_mlp_054,0.01455462,0.0203484,165.17010130616097,False
66,0,67,stay_still,random_mlp_055,0.26376447,0.27193518,165.17010130616097,False
67,0,68,stay_still,random_mlp_056,1.10996508,1.18292379,165.17010130616097,False
68,0,69,stay_still,random_mlp_057,0.00955101,0.0,165.17010130616097,False
69,0,70,stay_still,random_mlp_058,0.50775412,0.54983027,165.17010130616097,False
70,0,71,stay_still,random_mlp_059,0.01318267,0.0,165.17010130616097,False
71,0,72,stay_still,random_mlp_060,0.00613693,0.0,165.17010130616097,False
72,0,73,stay_still,random_mlp_061,0.01048257,0.01438849,165.17010130616097,False
73,0,74,stay_still,random_mlp_062,1.56549477,1.66966375,165.17010130616097,False
74,0,75,stay_still,random_mlp_063,0.1682627,0.18560424,165.17010130616097,False
75,0,76,stay_still,random_mlp_064,0.30222184,0.30769462,165.17010130616097,False
76,0,77,stay_still,random_mlp_065,0.01020722,0.01438849,165.17010130616097,False
77,0,78,stay_still,random_mlp_066,0.01738242,0.0203484,165.17010130616097,False
78,0,79,stay_still,random_mlp_067,0.01684207,0.01438849,165.17010130616097,False
79,0,80,stay_still,random_mlp_068,0.68946217,0.89617656,165.17010130616097,False
80,0,81,stay_still,random_mlp_069,0.70670394,0.76914884,165.17010130616097,False
81,0,82,stay_still,random_mlp_070,1.10402471,1.17449521,165.17010130616097,False
82,0,83,stay_still,random_mlp_071,0.52072988,0.56072752,165.17010130616097,False
83,0,84,stay_still,random_mlp_072,0.2248349,0.23370706,165.17010130616097,False
84,0,85,stay_still,random_mlp_073,0.14812945,0.14737612,165.17010130616097,False
85,0,86,stay_still,random_mlp_074,0.01938687,0.0203484,165.17010130616097,False
86,0,87,stay_still,random_mlp_075,1.67540063,1.73462373,165.17010130616097,False
87,0,88,stay_still,random_mlp_076,0.01459705,0.01438849,165.17010130616097,False
88,0,89,stay_still,random_mlp_077,0.01540281,0.0,165.17010130616097,False
89,0,90,stay_still,random_mlp_078,0.32453319,0.31961444,165.17010130616097,False
90,0,91,stay_still,random_mlp_079,0.00527863,0.0203484,165.17010130616097,False
91,1,2,random_action,seek_nearest_food,0.61899377,0.63820632,4.287253412354087,True
92,1,3,random_action,safe_corner,0.26050312,0.29228358,0.43221214686571086,False
93,1,4,random_action,inside_horseshoe_route,0.80787279,2.95432952,20.05032426259297,True
94,1,5,random_action,right_field_route,1.50298303,1.62113737,11.798654407838134,True
95,1,6,random_action,diag_left_of_u_wall,0.5154955,0.54242424,1.1010606167474988,True
96,1,7,random_action,diag_inside_left_wall,0.67056005,2.96420422,6.306653002923958,True
97,1,8,random_action,diag_below_u_bottom,0.67517751,0.72496081,2.126297156480756,True
98,1,9,random_action,diag_inside_bottom,0.73468565,2.99996366,3.450268391610441,True
99,1,10,random_action,diag_right_outer_wall,1.31615721,1.63101207,9.440720144078131,True
100,1,11,random_action,diag_inside_right_wall,1.02463852,1.215192,9.010708832478615,True
101,1,12,random_action,random_mlp_000,0.23492177,0.24911811,165.37440590187802,False
102,1,13,random_action,random_mlp_001,0.18119743,0.19403283,165.37440590187802,False
103,1,14,random_action,random_mlp_002,0.22005964,0.23719829,165.37440590187802,False
104,1,15,random_action,random_mlp_003,0.38881148,0.39444912,165.37440590187802,False
105,1,16,random_action,random_mlp_004,0.23159021,0.25158678,165.37440590187802,False
106,1,17,random_action,random_mlp_005,0.70812786,0.76668016,165.37440590187802,True
107,1,18,random_action,random_mlp_006,0.17290804,0.17266187,165.37440590187802,False
108,1,19,random_action,random_mlp_007,0.22154495,0.23719829,165.37440590187802,False
109,1,20,random_action,random_mlp_008,0.36598862,0.38704309,165.37440590187802,False
110,1,21,random_action,random_mlp_009,0.2270541,0.24911811,165.37440590187802,False
111,1,22,random_action,random_mlp_010,0.76913737,0.76854984,165.37440590187802,False
112,1,23,random_action,random_mlp_011,0.22760248,0.24911811,165.37440590187802,False
113,1,24,random_action,random_mlp_012,0.18487894,0.17266187,165.37440590187802,False
114,1,25,random_action,random_mlp_013,1.97698646,2.07952391,165.37440590187802,False
115,1,26,random_action,random_mlp_014,0.24393263,0.26597527,165.37440590187802,False
116,1,27,random_action,random_mlp_015,0.24458043,0.25754669,165.37440590187802,False
117,1,28,random_action,random_mlp_016,1.0415095,1.12392372,165.37440590187802,True
118,1,29,random_action,random_mlp_017,1.78239886,1.89247355,165.37440590187802,False
119,1,30,random_action,random_mlp_018,0.965516,1.04602136,165.37440590187802,False
120,1,31,random_action,random_mlp_019,0.70029759,0.75578291,165.37440590187802,True
121,1,32,random_action,random_mlp_020,0.89659405,0.95866787,165.37440590187802,False
122,1,33,random_action,random_mlp_021,0.05674472,0.05508528,165.37440590187802,False
123,1,34,random_action,random_mlp_022,0.23147966,0.2431582,165.37440590187802,False
124,1,35,random_action,random_mlp_023,0.57317371,0.59750952,165.37440590187802,False
125,1,36,random_action,random_mlp_024,1.38205381,1.47520737,165.37440590187802,False
126,1,37,random_action,random_mlp_025,0.17656883,0.17266187,165.37440590187802,False
