evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
1,bootstrap_random,1.296000000000001,-0.7366221521429015,-0.7745289859653901,0.9068083167076111,0.40369027853012085,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
2,bootstrap_random,1.296000000000001,-0.7476952626386072,-0.7574704183468783,0.9054021835327148,0.36338335275650024,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
3,bootstrap_random,1.296000000000001,-0.7414914397462251,-0.7512220741740686,0.8960828185081482,0.3584185242652893,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
4,bootstrap_random,1.1180000000000012,-0.5901489265315415,-0.9749479568338406,0.9547260403633118,0.7980260252952576,21,15,False,False,False,161,0,10,0,0.3020020127296448,0.27411705255508423,0.3769050545449546,0.03523670509457588,False,False
5,bootstrap_random,1.4140000000000013,-0.08242976145125747,-0.9308820098146425,0.39502131938934326,1.310775637626648,19,16,False,False,False,158,0,6,0,1.1141804456710815,0.6626868844032288,4.925035397902201,0.15332767367362976,True,False
6,bootstrap_random,1.296000000000001,-0.7258702617356024,-0.7476926974529556,0.8804208636283875,0.36718690395355225,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
7,bootstrap_random,9.556999999999936,-0.09650427414500747,-0.0965733248525049,-3.501075267791748,-1.8634790182113647,11,7,False,False,False,244,2,4,4,4.4141716957092285,0.9238111972808838,3.163156227281285,1.4722790718078613,True,False
8,bootstrap_random,-2.7980000000000014,-0.9738366962589879,-0.9746263609199864,1.2583900690078735,0.6982325911521912,21,15,False,False,False,159,0,124,0,0.5331979990005493,0.3027653694152832,0.5126689523502703,0.06363722681999207,False,False
9,bootstrap_random,1.378000000000001,-0.8307817950053722,-0.696888059859084,0.9202249050140381,0.21063143014907837,21,13,False,False,False,161,0,0,0,0.1395159661769867,0.10739871859550476,0.37031976560218216,0.00604445394128561,False,False
10,bootstrap_random,1.5410000000000004,-0.8794298551879068,-0.3432806065271423,0.755532443523407,-0.27640751004219055,20,12,False,False,False,152,0,19,0,2.6867501735687256,0.43824464082717896,1.5676284388437716,0.28698331117630005,True,False
11,bootstrap_random,5.661999999999996,0.3755457552429566,0.24916520878337575,-4.699739933013916,-1.0320711135864258,8,9,False,False,False,189,1,13,0,4.6856818199157715,1.5042697191238403,4.042892788605932,2.959481954574585,True,False
12,bootstrap_random,1.296000000000001,-0.7339880954469666,-0.7717368646519591,0.9027624130249023,0.4013396203517914,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
13,bootstrap_random,1.296000000000001,-0.753423891819533,-0.7657131664011707,0.9155890345573425,0.3722783327102661,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
14,bootstrap_random,1.296000000000001,-0.7489003427304773,-0.7674585396060266,0.9128233194351196,0.3796405792236328,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
15,bootstrap_random,1.296000000000001,-0.7521191578933699,-0.746346174173539,0.9024251699447632,0.3395266532897949,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
16,bootstrap_random,1.296000000000001,-0.7272168192386425,-0.7727692964467706,0.8976120352745056,0.4096061885356903,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
17,bootstrap_random,1.296000000000001,-0.7386911932965072,-0.7531363237412941,0.8949040174484253,0.36442938446998596,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
18,bootstrap_random,1.550000000000001,-0.49358998188983366,-0.7989684266508404,0.694788932800293,0.6547570824623108,20,14,False,False,False,160,0,0,0,0.5551648139953613,0.23449255526065826,4.680599623525416,0.032277464866638184,False,False
19,bootstrap_random,1.296000000000001,-0.7483319407608626,-0.7592633188511743,0.9070950746536255,0.36590003967285156,21,14,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
