evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
2000,bootstrap,122,0.1952,1229.7069999999985,619.7069999999985,-5.0,16.504999999999896,5.07956557377048,0.7462265253630841,2.9527249902404424,3.0617095517199586,10,1.0,0
2100,log,135,0.216,1399.6229999999985,724.6229999999982,-5.0,16.504999999999896,5.367577777777765,0.761954645864489,nan,nan,10,nan,-1
2200,log,143,0.2288,1512.1549999999982,797.1549999999979,-5.0,16.504999999999896,5.574510489510475,0.770897185893015,nan,nan,10,nan,-1
2300,log,147,0.2352,1650.2989999999977,915.2989999999976,-5.0,17.969999999999956,6.226523809523793,0.7751825261825801,nan,nan,10,nan,-1
2400,log,151,0.2416,1739.8349999999975,984.8349999999973,-5.0,19.19499999999991,6.522086092715214,0.7793528097686653,nan,nan,10,nan,-1
2500,log,160,0.256,1868.5479999999973,1068.547999999997,-5.0,19.19499999999991,6.678424999999981,0.7883456975917413,nan,nan,10,nan,-1
2600,log,165,0.264,1982.7039999999965,1157.7039999999965,-5.0,19.19499999999991,7.0163878787878575,0.7931255742227409,nan,nan,10,nan,-1
2700,log,166,0.2656,2018.5709999999967,1188.5709999999967,-5.0,19.19499999999991,7.160066265060221,0.794064149487012,nan,nan,10,nan,-1
2800,log,171,0.2736,2086.370999999997,1231.3709999999967,-5.0,19.19499999999991,7.200999999999981,0.7986737973517803,nan,nan,10,nan,-1
2900,log,176,0.2816,2167.279999999996,1287.2799999999966,-5.0,19.19499999999991,7.31409090909089,0.8031505836746375,nan,nan,10,nan,-1
3000,log,180,0.288,2232.4329999999964,1332.432999999996,-5.0,19.19499999999991,7.402405555555533,0.8066413762796892,3.0427217865022342,3.1261629576609766,10,1.0,0
3100,log,185,0.296,2347.5549999999957,1422.5549999999957,-5.0,19.944999999999876,7.689486486486463,0.8108973612382323,nan,nan,10,nan,-1
3200,log,187,0.2992,2384.185999999995,1449.1859999999958,-5.0,19.944999999999876,7.749657754010673,0.8125676325318916,nan,nan,10,nan,-1
3300,log,191,0.3056,2453.0629999999946,1498.0629999999956,-5.0,19.944999999999876,7.843261780104688,0.8158552416761352,nan,nan,10,nan,-1
3400,log,196,0.3136,2523.6069999999954,1543.6069999999954,-5.0,19.944999999999876,7.875545918367323,0.8198692565977803,nan,nan,10,nan,-1
3500,log,203,0.3248,2614.0099999999948,1599.0099999999952,-5.0,19.944999999999876,7.876896551724115,0.8253201223224168,nan,nan,10,nan,-1
3600,log,206,0.3296,2672.8089999999947,1642.808999999995,-5.0,19.944999999999876,7.974800970873762,0.8275988976691475,nan,nan,10,nan,-1
