snapshot_evaluation,encoder_space,k,support_point_count,rolling_buffer_points,centroid_points,component_count,largest_component_fraction,support_finite_pair_fraction,support_mean_euclidean,support_mean_geodesic,support_geodesic_to_euclidean_ratio,rolling_finite_pair_fraction,rolling_geodesic_to_euclidean_ratio,centroid_finite_pair_fraction,centroid_geodesic_to_euclidean_ratio
2000,pre_retrain_encoder,3,1625,1000,625,2,0.9803076923076923,0.9613671845395984,21.722300254507225,41.87660058667304,1.9278161196572146,0.937985985985986,2.167258115902474,1.0,1.8663150655325496
2000,pre_retrain_encoder,5,1625,1000,625,1,1.0,1.0,21.428578725729793,32.55637362738242,1.5192969185721694,1.0,1.5671565458118837,1.0,1.5209518587989845
2000,pre_retrain_encoder,10,1625,1000,625,1,1.0,1.0,21.428578725729793,28.91198563522262,1.3492255368531432,1.0,1.22206067387433,1.0,1.429468071600873
2000,pre_retrain_encoder,20,1625,1000,625,1,1.0,1.0,21.428578725729793,24.583458691913204,1.1472276816191862,1.0,1.111475465080764,1.0,1.1955880347490662
2000,pre_retrain_encoder,30,1625,1000,625,1,1.0,1.0,21.428578725729793,23.37056548761095,1.0906260180265417,1.0,1.0676423877154588,1.0,1.13537822952427
10000,final_one_retrain_encoder,3,1625,1000,625,6,0.968,0.9372482000757862,16.50409666686896,40.29687260320832,2.4416284887680044,0.903045045045045,2.445333948790429,0.9936051282051283,2.461165608610536
10000,final_one_retrain_encoder,5,1625,1000,625,1,1.0,1.0,16.16594555684123,24.762911305824197,1.5317947978208324,1.0,1.537823921081313,1.0,1.5731397348522216
10000,final_one_retrain_encoder,10,1625,1000,625,1,1.0,1.0,16.16594555684123,21.510402277189502,1.330599698084877,1.0,1.2251651297708996,1.0,1.41031181841777
10000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,1.0,16.16594555684123,18.33756800664477,1.1343331537377679,1.0,1.1092500690773264,1.0,1.180828691696987
10000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,1.0,16.16594555684123,17.46792737582567,1.0805385502757343,1.0,1.0742695889993512,1.0,1.108894139017491
20000,final_one_retrain_encoder,3,1625,1000,625,2,0.9969230769230769,0.9938613111026904,17.267382692761355,41.347233778351104,2.3945281409489025,0.992024024024024,2.2876623642059677,0.9968,2.440121816552794
20000,final_one_retrain_encoder,5,1625,1000,625,1,1.0,1.0,17.250199868354063,25.70590138715396,1.490179915788228,1.0,1.4624667530994049,1.0,1.524214008133759
20000,final_one_retrain_encoder,10,1625,1000,625,1,1.0,1.0,17.250199868354063,22.422458060600896,1.2998375805335145,1.0,1.2306172641122606,1.0,1.3750309430165837
20000,final_one_retrain_encoder,20,1625,1000,625,1,1.0,1.0,17.250199868354063,19.645221689589125,1.1388402360269918,1.0,1.1236795886932938,1.0,1.172951611297332
20000,final_one_retrain_encoder,30,1625,1000,625,1,1.0,1.0,17.250199868354063,18.625947231946192,1.079752546294607,1.0,1.0815970735345182,1.0,1.099070486021495
