evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
1,1,0.0016,6.296000000000001,1.296000000000001,-5.0,1.296000000000001,1.296000000000001,0.0,nan,nan,5,nan,-1
25,15,0.024,100.68199999999997,25.681999999999988,-5.0,5.310999999999991,1.7121333333333326,0.42065154862149634,nan,nan,5,nan,-1
50,32,0.0512,208.98899999999998,48.98899999999997,-5.0,7.772999999999999,1.530906249999999,0.5383456975917413,nan,nan,5,nan,-1
75,40,0.064,276.91099999999994,76.91099999999996,-5.0,7.772999999999999,1.922774999999999,0.5730074185550448,nan,nan,5,nan,-1
100,47,0.0752,347.75199999999995,112.75199999999995,-5.0,8.176999999999989,2.3989787234042543,0.5980578020383415,nan,nan,5,nan,-1
125,54,0.0864,401.936,131.93599999999992,-5.0,8.176999999999989,2.443259259259258,0.6196237853828372,nan,nan,5,nan,-1
150,64,0.1024,480.2269999999999,160.22699999999992,-5.0,9.720000000000038,2.5035468749999987,0.6460148371100896,nan,nan,5,nan,-1
175,69,0.1104,523.208,178.2079999999999,-5.0,9.720000000000038,2.5827246376811583,0.6576995719880913,nan,nan,5,nan,-1
200,77,0.1232,600.5529999999998,215.5529999999998,-5.0,19.789999999999942,2.799389610389608,0.6747395143817865,nan,nan,5,nan,-1
225,83,0.1328,645.9109999999997,230.9109999999998,-5.0,19.789999999999942,2.782060240963853,0.6863950099686636,nan,nan,5,nan,-1
250,90,0.144,710.6969999999998,260.6969999999998,-5.0,19.789999999999942,2.8966333333333307,0.6989722367613409,nan,nan,5,nan,-1
275,97,0.1552,769.9419999999998,284.9419999999998,-5.0,19.789999999999942,2.937546391752575,0.7106069366143843,nan,nan,5,nan,-1
300,102,0.1632,798.5469999999997,288.5469999999998,-5.0,19.789999999999942,2.828892156862743,0.7184142950704916,nan,nan,5,nan,-1
325,113,0.1808,894.9179999999998,329.9179999999998,-5.0,19.789999999999942,2.919628318584069,0.7343228002443846,nan,nan,5,nan,-1
350,124,0.1984,995.2539999999997,375.25399999999973,-5.0,19.789999999999942,3.0262419354838688,0.7487523327810273,nan,nan,5,nan,-1
375,139,0.2224,1109.4179999999997,414.4179999999997,-5.0,19.789999999999942,2.981424460431653,0.7664902595819671,nan,nan,5,nan,-1
400,151,0.2416,1223.6229999999996,468.62299999999965,-5.0,19.789999999999942,3.103463576158938,0.7793528097686653,nan,nan,5,nan,-1
425,165,0.264,1340.9699999999998,515.9699999999998,-5.0,19.789999999999942,3.127090909090908,0.7931255742227409,nan,nan,5,nan,-1
450,175,0.28,1457.1469999999995,582.1469999999996,-5.0,19.789999999999942,3.3265542857142836,0.802265488780542,nan,nan,5,nan,-1
475,184,0.2944,1563.6559999999995,643.6559999999996,-5.0,19.789999999999942,3.4981304347826065,0.8100554419216398,nan,nan,5,nan,-1
500,190,0.304,1646.7959999999994,696.7959999999994,-5.0,19.789999999999942,3.667347368421049,0.8150398396271359,nan,nan,5,nan,-1
525,200,0.32,1765.3359999999993,765.3359999999993,-5.0,19.789999999999942,3.8266799999999965,0.8230074185550448,nan,nan,5,nan,-1
550,207,0.3312,1838.864999999999,803.8649999999992,-5.0,19.789999999999942,3.8834057971014455,0.8283511206095876,nan,nan,5,nan,-1
575,216,0.3456,1938.886999999999,858.8869999999993,-5.0,19.789999999999942,3.9763287037037003,0.8349620644195339,nan,nan,5,nan,-1
600,223,0.3568,2033.289999999999,918.2899999999989,-5.0,19.789999999999942,4.11789237668161,0.8399161796931883,nan,nan,5,nan,-1
625,231,0.3696,2129.941999999999,974.9419999999989,-5.0,19.789999999999942,4.220528138528134,0.8453910630032827,nan,nan,5,nan,-1
650,237,0.3792,2227.388999999999,1042.3889999999988,-5.0,21.179999999999954,4.398265822784805,0.8493741974900547,nan,nan,5,nan,-1
675,242,0.3872,2313.5509999999986,1103.5509999999988,-5.0,21.179999999999954,4.560128099173549,0.8526171907208374,nan,nan,5,nan,-1
700,248,0.3968,2417.3979999999983,1177.3979999999985,-5.0,21.179999999999954,4.747572580645156,0.8564214722993756,nan,nan,5,nan,-1
725,259,0.4144,2557.7859999999987,1262.7859999999985,-5.0,21.179999999999954,4.875621621621615,0.8631628500187742,nan,nan,5,nan,-1
750,269,0.4304,2687.0539999999983,1342.0539999999983,-5.0,21.179999999999954,4.98904832713754,0.8690474072312061,nan,nan,5,nan,-1
775,274,0.4384,2776.585999999998,1406.585999999998,-5.0,21.179999999999954,5.133525547445248,0.8719081461643374,nan,nan,5,nan,-1
800,285,0.456,2910.9349999999977,1485.934999999998,-5.0,21.179999999999954,5.213807017543853,0.878022248730284,nan,nan,5,nan,-1
