evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
1,bootstrap_random,9.619999999999969,-0.8136087818859595,-0.5358779249689319,0.5585842132568359,-3.0066285133361816,10,16,False,False,False,280,3,0,0,0.4006706476211548,0.22007043659687042,6.114873475848098,0.021192427724599838,False,False
2,bootstrap_random,1.296000000000001,-0.72744247915656,-0.7535724781681226,-0.4530694782733917,1.6536498069763184,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
3,bootstrap_random,1.296000000000001,-0.7539810193841164,-0.7594021415792402,-0.0825875997543335,2.037627696990967,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
4,bootstrap_random,5.291,-0.8502392056964663,-0.8986197036681898,2.7811217308044434,-5.095349311828613,10,15,False,False,False,197,1,1,0,2.5393741130828857,0.18268178403377533,5.982984647922894,0.3813013434410095,True,False
5,bootstrap_random,1.272000000000001,-0.7595485620580443,-0.7639308329671461,0.09487274289131165,2.015807867050171,10,18,False,False,False,159,0,0,0,0.6241084337234497,0.008869422599673271,4.681935912091033,0.002569919917732477,False,False
6,bootstrap_random,1.378000000000001,-0.904375630275948,-0.7202598298298565,0.23778599500656128,2.342778444290161,10,18,False,False,False,161,0,0,0,0.22127941250801086,0.1656666398048401,3.580107098330474,0.008480684831738472,False,False
7,bootstrap_random,0.8980000000000008,-0.6942370627886173,-0.9743948638922362,-1.2799831628799438,2.3401310443878174,9,18,False,False,False,161,0,15,0,0.3206756114959717,0.20419526100158691,5.51637708735186,0.01261079404503107,False,False
8,bootstrap_random,1.296000000000001,-0.7278213309392594,-0.747429654715974,-0.3344708979129791,1.5912266969680786,10,17,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
9,bootstrap_random,1.296000000000001,-0.7480278446951835,-0.770767235428171,-0.37724825739860535,2.0573861598968506,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
10,bootstrap_random,1.296000000000001,-0.739325084302134,-0.7570895966620473,-0.2732512652873993,1.8231922388076782,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
11,bootstrap_random,1.296000000000001,-0.7535937289285095,-0.7477587419918894,0.1167154610157013,1.9261633157730103,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
12,bootstrap_random,-0.12299999999999969,-0.96188181473374,-0.972978874799265,-0.45908406376838684,3.7478530406951904,10,18,False,False,False,159,0,45,0,0.49582257866859436,0.3090096116065979,6.855431120673413,0.05140985548496246,False,False
13,bootstrap_random,1.296000000000001,-0.7533311011415005,-0.7695715092663535,-0.28420743346214294,2.1116604804992676,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
14,bootstrap_random,1.317000000000001,-0.8211655303560782,-0.742096758650179,-0.24027502536773682,2.38957142829895,10,18,False,False,False,159,0,0,0,0.6842520236968994,0.08644155412912369,7.435224933402341,0.003483072156086564,False,False
15,bootstrap_random,1.4990000000000006,0.10917895536554041,-0.9674053067574647,-9.543048858642578,1.06511390209198,7,17,False,False,False,158,0,10,0,1.0197283029556274,0.8597386479377747,0.7393637277583968,0.25125205516815186,False,False
16,bootstrap_random,4.954999999999999,-0.6658495063666172,-0.6545984529826363,3.293459415435791,-6.345695495605469,11,14,False,False,False,195,1,5,0,3.1121907234191895,0.12187182903289795,5.426662400821761,0.4764575660228729,True,False
17,bootstrap_random,1.598000000000001,-0.015033598399177586,-0.9423125261616265,-3.541562557220459,0.7453159093856812,9,17,False,False,False,156,0,8,0,1.4418365955352783,0.7456274628639221,2.826588790100106,0.25950491428375244,True,False
18,bootstrap_random,1.296000000000001,-0.7350144652152596,-0.7552502520296841,-0.32997632026672363,1.7476491928100586,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
19,bootstrap_random,-1.1470000000000005,-0.9749729519269168,-0.25488541729431424,-9.222625732421875,6.896344184875488,7,20,False,False,False,151,0,102,0,2.5946638584136963,0.5593112707138062,1.0382232842427421,0.8248463869094849,True,False
20,bootstrap_random,-2.499,-0.3136842348829681,-0.972332649281965,-4.659475803375244,1.3788998126983643,8,17,False,False,False,157,0,115,0,0.5089329481124878,0.4672422707080841,2.325470256818758,0.09088823944330215,False,False
21,bootstrap_random,1.0800000000000005,-0.12608029901733023,-0.9051285535823117,-3.290458917617798,1.2679908275604248,9,17,False,False,False,155,0,20,0,1.6713112592697144,0.6398460268974304,6.073118859850013,0.14768092334270477,True,False
22,bootstrap_random,1.296000000000001,-0.7494088437664175,-0.753025390394739,-0.03907370567321777,1.9215177297592163,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
23,bootstrap_random,1.296000000000001,-0.7280982947582941,-0.7715440237113796,-0.7300269603729248,1.8721603155136108,9,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
24,bootstrap_random,1.296000000000001,-0.7470539228971288,-0.7513654973528296,-0.04490393400192261,1.874434232711792,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
25,bootstrap_random,-3.3350000000000044,-0.2784386058142529,-0.4753380166133596,-7.410427570343018,2.9689841270446777,8,18,False,False,False,155,0,141,0,0.6082054972648621,0.5448493361473083,0.20643474575532375,0.13381509482860565,False,False
26,bootstrap_random,5.869999999999998,-0.6982485565134594,0.9598215132275467,3.6238961219787598,-7.424724102020264,11,14,False,False,False,190,1,6,0,4.67240047454834,1.7273054122924805,2.9711019325592356,1.2285677194595337,True,False
27,bootstrap_random,1.309000000000001,-0.8393112295820332,-0.7456539435637433,0.4078011214733124,2.5536108016967773,10,18,False,False,False,158,0,0,0,0.9096770882606506,0.09118252247571945,4.142679727432076,0.011814704164862633,False,False
28,bootstrap_random,5.575999999999999,-0.9376406369000789,-0.19428086790391744,2.365445613861084,-4.553645133972168,10,15,False,False,False,187,1,6,0,5.1927714347839355,0.5987699627876282,4.782785931915995,0.527299165725708,True,False
29,bootstrap_random,1.296000000000001,-0.7471910204130151,-0.7561957652433204,-0.13043373823165894,1.9161059856414795,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
30,bootstrap_random,1.296000000000001,-0.7336435189593303,-0.7650201292868083,-0.5419565439224243,1.832353949546814,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
31,bootstrap_random,1.3910000000000011,-0.8029693601992179,-0.7200777750689559,0.22800025343894958,2.4131546020507812,10,18,False,False,False,157,0,0,0,1.3056734800338745,0.08920491486787796,7.9238742733349135,0.010994469746947289,False,False
32,bootstrap_random,1.470000000000001,-0.6263623752549765,-0.9583928050044221,-2.5767600536346436,2.457432270050049,9,18,False,False,False,160,0,1,0,0.4088073670864105,0.22158567607402802,0.5451318548924609,0.03757816553115845,False,False
33,bootstrap_random,1.296000000000001,-0.7342529772575681,-0.7527732866702981,-0.2972470819950104,1.7162305116653442,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
34,bootstrap_random,8.010999999999997,-0.5538925407139583,-0.6309002687259362,-0.36766114830970764,-0.41193997859954834,10,17,False,False,False,227,2,9,0,6.292311668395996,0.21873171627521515,13.230883902456576,0.496903657913208,True,False
35,bootstrap_random,7.864,-0.937385835063557,-0.8400400017079929,-0.9999172687530518,-9.129359245300293,9,13,False,False,False,233,2,3,0,4.907781600952148,0.21215049922466278,12.422037722745511,0.3051708936691284,True,False
36,bootstrap_random,1.505000000000001,-0.48969808746419413,-0.7921247264976728,-1.4105364084243774,1.3758598566055298,9,17,False,False,False,160,0,0,0,0.49739041924476624,0.23722925782203674,2.1894081833106753,0.01689576543867588,False,False
37,bootstrap_random,1.296000000000001,-0.7461726534549857,-0.7641634716416776,-0.28279080986976624,1.974133849143982,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
38,bootstrap_random,1.296000000000001,-0.7300098535594456,-0.7565052272957002,-0.4594602882862091,1.704900860786438,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
39,bootstrap_random,1.9570000000000005,-0.7080034801214719,-0.8497575113194545,-6.167215824127197,4.514068603515625,8,19,False,False,False,144,0,13,0,4.698723316192627,0.08215606212615967,4.37961322202452,0.5424972772598267,True,False
40,bootstrap_random,-3.495000000000005,-0.2774979697464568,-0.583450402312192,-7.181662082672119,2.5729079246520996,8,18,False,False,False,155,0,143,0,0.5081121325492859,0.4842663109302521,1.7438966485741063,0.07838030904531479,False,False
41,bootstrap_random,4.779000000000001,-0.7814362394302402,-0.6225432204573729,1.2700058221817017,-3.4001755714416504,10,16,False,False,False,198,1,3,0,2.3497726917266846,0.14735813438892365,7.708003260759011,0.17747972905635834,True,False
42,bootstrap_random,7.8889999999999985,-0.4385546080376722,-0.52313808993349,-0.35459819436073303,-13.715696334838867,10,11,False,False,False,228,2,5,0,6.11313009262085,0.3662988841533661,9.950356793785902,0.36246803402900696,True,False
43,bootstrap_random,1.296000000000001,-0.7481257633486074,-0.7558649516694909,-0.11030983924865723,1.9268769025802612,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
44,bootstrap_random,1.8860000000000008,0.4001212551530955,-0.6992411909801165,-6.509017467498779,-0.5848802328109741,8,17,False,False,False,157,0,0,0,1.1932018995285034,1.133068561553955,0.3894919927659218,0.14848698675632477,False,False
45,bootstrap_random,1.330000000000001,-0.3910662643136047,-0.9749813749392925,-2.0718212127685547,1.3398164510726929,9,17,False,False,False,160,0,5,0,0.42371484637260437,0.4164464771747589,0.7011905593971033,0.07469023019075394,False,False
46,bootstrap_random,1.296000000000001,-0.7445071039794535,-0.74920237252593,-0.04453611373901367,1.8202799558639526,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
47,bootstrap_random,1.296000000000001,-0.725894208815069,-0.7608801308378467,-0.5962773561477661,1.733426809310913,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
48,bootstrap_random,1.296000000000001,-0.7491878256025469,-0.7583963294904157,-0.1400308907032013,1.9628092050552368,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
49,bootstrap_random,3.9959999999999978,-0.9535346490224026,-0.255877256300417,0.13451525568962097,-14.1797513961792,10,11,False,False,False,192,1,15,0,3.7033579349517822,0.5371574759483337,10.209910053525649,0.14873622357845306,True,False
50,bootstrap_random,1.296000000000001,-0.7509441093673231,-0.7490102783415037,0.061922281980514526,1.9048494100570679,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
51,bootstrap_random,1.378000000000001,-0.8562063342742282,-0.8234556126170408,0.027850866317749023,2.3192763328552246,10,18,False,False,False,161,0,0,0,0.12314550578594208,0.12208016961812973,0.1739877992939443,0.0066266474314033985,False,False
52,bootstrap_random,1.296000000000001,-0.7505581570348311,-0.7537203410977249,-0.03262093663215637,1.9425852298736572,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
53,bootstrap_random,6.214999999999998,0.11231374111611744,0.062087056344381025,8.249850273132324,-7.68181848526001,12,14,False,False,False,185,1,25,0,8.042749404907227,1.1736124753952026,5.957311029306687,1.8095248937606812,True,False
54,bootstrap_random,1.296000000000001,-0.7327213000288664,-0.7576147318222963,-0.42346975207328796,1.7438433170318604,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
55,bootstrap_random,1.296000000000001,-0.7501866686764458,-0.7585841650634905,-0.1282375156879425,1.978676438331604,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
56,bootstrap_random,1.296000000000001,-0.7467756786414592,-0.7724934842887221,-0.4297806918621063,2.0579986572265625,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
57,bootstrap_random,1.724000000000001,0.11911208643245662,-0.9726499102356762,-8.807560920715332,0.4251652956008911,7,17,False,False,False,158,0,1,0,0.9647336006164551,0.890694260597229,0.29120162427791785,0.20798274874687195,False,False
58,bootstrap_random,-2.837000000000002,-0.276421596382576,0.43500573531656694,13.157379150390625,-1.044216513633728,13,16,False,False,False,156,0,136,0,1.4675827026367188,1.2876412868499756,0.18632562533768302,0.5574677586555481,False,False
59,bootstrap_random,6.964000000000001,-0.6387801462397367,-0.5064226689304026,1.5570430755615234,-5.907032012939453,10,15,False,False,False,248,2,0,0,1.011042594909668,0.2689429223537445,13.131174068877062,0.044509392231702805,True,False
60,bootstrap_random,1.296000000000001,-0.7392039116075568,-0.7514325505248275,-0.17067492008209229,1.7710994482040405,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
61,bootstrap_random,2.750999999999999,-0.9236219796637427,0.500225226742328,10.556828498840332,5.67854118347168,13,19,False,False,False,142,0,13,0,5.124049186706543,1.273871898651123,2.8786469741341274,1.0233196020126343,True,False
62,bootstrap_random,2.1889999999999987,0.014741103627983896,-0.7285239132023235,-2.297097682952881,0.504281759262085,9,17,False,False,False,153,0,11,0,2.3763420581817627,0.7442129850387573,1.1521389247130027,0.5613640546798706,True,False
63,bootstrap_random,1.296000000000001,-0.7277894382275353,-0.7609156686188497,-0.5673664808273315,1.7463334798812866,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
64,bootstrap_random,1.4000000000000012,-0.4587430166891085,-0.9716879660163432,-1.2329063415527344,1.632269024848938,9,18,False,False,False,160,0,3,0,0.38801735639572144,0.3386130630970001,1.0831748082273471,0.05620361119508743,False,False
65,bootstrap_random,2.359999999999997,-0.14367366410447252,0.1695698339664042,24.848148345947266,3.3432724475860596,17,18,False,False,False,130,0,24,3,5.766119480133057,1.1044176816940308,3.1333073899164403,1.804200291633606,True,False
66,bootstrap_random,1.296000000000001,-0.734079649683595,-0.774454223795877,-0.6820957660675049,1.9435123205184937,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
67,bootstrap_random,3.883999999999999,-0.9603915082674673,-0.615428160699829,-0.37999042868614197,-11.416438102722168,10,12,False,False,False,193,1,12,0,3.294055223464966,0.27243471145629883,9.584100193884474,0.09987656772136688,True,False
68,bootstrap_random,2.234000000000001,-0.2979540795107907,-0.2216158049291742,20.356388092041016,-5.5258708000183105,15,15,False,False,False,148,0,24,0,3.637329339981079,0.6969524025917053,1.6770354714429068,1.1821460723876953,True,False
69,bootstrap_random,1.296000000000001,-0.7372648225986892,-0.7710650752602433,-0.5832304954528809,1.930740237236023,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
70,bootstrap_random,1.296000000000001,-0.7372819355810797,-0.7559189571589994,-0.29211917519569397,1.7857123613357544,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
71,bootstrap_random,1.296000000000001,-0.7439747169415217,-0.7539098695459776,-0.13950616121292114,1.8516207933425903,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
72,bootstrap_random,1.296000000000001,-0.7523864976142425,-0.7649558245493125,-0.21064016222953796,2.062098979949951,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
73,bootstrap_random,5.145999999999995,-0.8265016409155281,-0.1354410474330271,3.701058864593506,-5.198318958282471,11,15,False,False,False,177,1,25,0,7.659216403961182,0.6160193681716919,6.031281067326035,0.6168439388275146,True,False
74,bootstrap_random,1.8070000000000006,-0.3602648146067036,-0.7754650166461766,-3.826063632965088,1.7915089130401611,9,18,False,False,False,149,0,3,0,3.3655385971069336,0.36020520329475403,8.607316358500766,0.122138112783432,True,False
75,bootstrap_random,1.296000000000001,-0.7403243917372654,-0.7555533393187616,-0.22221162915229797,1.8234752416610718,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
76,bootstrap_random,1.296000000000001,-0.745628468802931,-0.7487649986107691,-0.019526928663253784,1.8326752185821533,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
77,bootstrap_random,-0.24899999999999997,-0.9725670138119648,-0.15043673208500472,8.0709867477417,-1.0149601697921753,12,16,False,False,False,157,0,61,0,1.305593729019165,0.638302743434906,0.8977491362038039,0.39729541540145874,False,False
78,bootstrap_random,1.1450000000000007,-0.9374962885334717,-0.5668719059756577,2.0124003887176514,3.850588083267212,10,18,False,False,False,160,0,9,0,0.5730302929878235,0.28169387578964233,5.711470968036547,0.05436224862933159,False,False
79,bootstrap_random,0.2690000000000002,-0.755020418018449,-0.23037537784368892,3.4175686836242676,3.902456045150757,11,18,False,False,False,158,0,40,0,0.8754837512969971,0.5329504013061523,1.3267810940749296,0.12999987602233887,False,False
80,bootstrap_random,7.799999999999997,-0.805956982127753,-0.9046130990599544,0.5671718716621399,-4.090709686279297,10,15,False,False,False,225,2,12,0,6.60023307800293,0.16518984735012054,11.00477407709579,0.5149018168449402,True,False
81,bootstrap_random,1.054000000000002,0.7561876748127756,-0.829616185961849,-18.097736358642578,-0.9842745065689087,5,16,False,False,False,153,0,37,0,2.329294443130493,1.4899200201034546,1.132763195857492,0.665325939655304,True,False
82,bootstrap_random,1.296000000000001,-0.7299089396147532,-0.7652410592711676,-0.6037360429763794,1.8121510744094849,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
83,bootstrap_random,1.0490000000000028,-0.9741822932584575,0.04131947772842482,13.049328804016113,-1.7210451364517212,13,16,False,False,False,153,0,41,0,2.333876371383667,0.8447339534759521,0.828799135442433,0.8457150459289551,False,False
84,bootstrap_random,0.9970000000000024,-0.9441454130460479,-0.14815973019939155,8.249156951904297,4.7337541580200195,12,19,False,False,False,149,0,30,0,3.106793165206909,0.6544555425643921,5.150553976789756,0.42879706621170044,True,False
85,bootstrap_random,1.296000000000001,-0.7330911589899436,-0.750577210614721,-0.2796189486980438,1.6820884943008423,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
86,bootstrap_random,1.296000000000001,-0.7457722047654451,-0.7548841556214407,-0.1278597116470337,1.8849165439605713,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
87,bootstrap_random,1.296000000000001,-0.7335899225560746,-0.7642076145687694,-0.5941661596298218,1.812818169593811,10,18,False,False,False,162,0,0,0,0.0032808964606374502,0.003258797572925687,0.0566147170658233,2.7577659693633905e-06,False,True
88,bootstrap_random,1.296000000000001,-0.746677086327703,-0.7636291602130486,-0.2663131058216095,1.9751832485198975,10,18,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True
89,bootstrap_random,4.211999999999997,-0.9499550916249064,-0.6883350734509053,-1.7102515697479248,-8.929478645324707,9,13,False,False,False,194,1,17,0,3.4023420810699463,0.2065660059452057,6.016515109032357,0.19963352382183075,True,False
