sample_index,evaluation,source,fitness,final_x,final_y,latent_0,latent_1,path_length,loop_score,is_loop,is_near_still
0,23,bootstrap_random,1.296000000000001,-0.7280982947582941,-0.7715440237113796,-2.680678606033325,3.9165420532226562,0.0,0.0,False,True
1,37,bootstrap_random,1.296000000000001,-0.7461726534549857,-0.7641634716416776,-2.8289196491241455,4.0115532875061035,0.0,0.0,False,True
2,122,bootstrap_random,1.296000000000001,-0.7423008549693002,-0.7695808872483489,-2.8130810260772705,4.0116753578186035,0.0,0.0,False,True
3,161,bootstrap_random,1.296000000000001,-0.7437354921184833,-0.7675418812939095,-2.8192832469940186,4.011590003967285,0.0,0.0,False,True
4,196,bootstrap_random,8.204999999999975,-0.9689955219910444,-0.45076840235529747,3.3804233074188232,-2.5242669582366943,8.228201866149902,7.45890474390883,True,False
5,253,bootstrap_random,1.5620000000000012,-0.614521062077819,-0.20803334738326873,-2.5933117866516113,3.4345338344573975,0.8629165291786194,3.1670725059693887,False,False
6,345,bootstrap_random,2.677999999999999,-0.850425357510495,0.388508476047152,-1.1129695177078247,-2.893442153930664,2.9257242679595947,1.3960669883614836,True,False
7,365,bootstrap_random,1.5050000000000008,-0.3392551748120602,-0.8053624682633124,-2.1244254112243652,3.953223466873169,0.5043213367462158,2.047210171416217,False,False
8,370,bootstrap_random,1.296000000000001,-0.7507357246243729,-0.7494433880194455,-2.8422908782958984,3.9995405673980713,0.0,0.0,False,True
9,413,bootstrap_random,0.5400000000000003,-0.9666684247744314,-0.790146475610041,-3.7762508392333984,4.515571117401123,0.46138161420822144,7.009766682286948,False,False
10,422,bootstrap_random,1.296000000000001,-0.7312536018972842,-0.755260990140004,-2.6730473041534424,3.873290777206421,0.0,0.0,False,True
11,452,bootstrap_random,1.2980000000000012,-0.6946601722785599,-0.9181399799776738,-2.5835728645324707,4.241253852844238,1.5960800647735596,7.749090643166177,True,False
12,560,bootstrap_random,1.288000000000001,-0.7083259614768097,-0.7041961449880334,-2.7441658973693848,3.871232748031616,0.0979611948132515,2.9898980060271843,False,True
13,719,bootstrap_random,4.081999999999998,-0.6740590883543306,-0.9549927808404886,2.999037265777588,-2.106768846511841,3.1182823181152344,10.622788614009695,True,False
14,722,bootstrap_random,1.296000000000001,-0.7545401279112282,-0.7528579429859973,-2.883955955505371,4.040409564971924,0.0,0.0,False,True
15,727,bootstrap_random,1.317000000000001,-0.7068181198036407,-0.7839907353403397,-2.681004524230957,3.9924368858337402,0.835917055606842,8.541643330721186,False,False
16,759,bootstrap_random,-3.279000000000004,-0.3172755267563366,-0.9730239877473958,-1.3251314163208008,4.235999584197998,0.8048570156097412,1.363241250992384,False,False
17,778,bootstrap_random,1.296000000000001,-0.7446786661757818,-0.745583651898441,-2.7824649810791016,3.9438486099243164,0.0,0.0,False,True
18,832,bootstrap_random,1.296000000000001,-0.7462729315238208,-0.7746080787608077,-2.862842321395874,4.063906669616699,0.0,0.0,False,True
19,837,bootstrap_random,-3.145000000000003,0.470571519341882,-0.9705037604025687,1.2443926334381104,4.664984703063965,1.2598211765289307,0.15195125641076906,False,False
20,1031,bootstrap_random,-1.273,-0.2386559718321564,-0.755309500019916,0.37776872515678406,5.982239723205566,3.040565252304077,2.0435182264968526,True,False
21,1040,bootstrap_random,1.296000000000001,-0.7367270256868146,-0.7698708479194413,-2.7600204944610596,3.972167730331421,0.0,0.0,False,True
22,1109,bootstrap_random,1.7180000000000006,-0.41758558576471255,-0.5753361004838407,-1.4107708930969238,3.854724168777466,1.5652793645858765,4.64112871922182,True,False
23,1126,bootstrap_random,1.296000000000001,-0.7403335058229228,-0.7518756233809295,-2.7455379962921143,3.924933671951294,0.0,0.0,False,True
24,1140,bootstrap_random,1.5710000000000008,-0.46376304413160746,-0.6069997123945073,-2.1593754291534424,3.9369308948516846,1.3526325225830078,9.578679148631226,True,False
25,1228,bootstrap_random,1.296000000000001,-0.7542675379777931,-0.7660774054961323,-2.909482955932617,4.083169937133789,0.0,0.0,False,True
26,1310,bootstrap_random,1.296000000000001,-0.7430980002755434,-0.7614373924850961,-2.7924180030822754,3.9766929149627686,0.0,0.0,False,True
27,1311,bootstrap_random,2.9899999999999882,-0.2763246881996867,-0.30126374140601386,-0.22998866438865662,-10.446353912353516,4.631348609924316,1.5432138517645704,True,False
28,1337,bootstrap_random,1.296000000000001,-0.7415012652989191,-0.7573031189734613,-2.7673919200897217,3.950122594833374,0.0,0.0,False,True
29,1355,bootstrap_random,-1.5169999999999992,-0.9736688761532987,0.9749366853131541,-2.0829927921295166,-8.937671661376953,2.3425841331481934,0.5017355270363725,False,False
30,1424,bootstrap_random,0.01099999999999958,0.7868557235540068,-0.14420162462967312,1.8881741762161255,4.068096160888672,2.5333092212677,1.0240784937085812,True,False
31,1502,bootstrap_random,1.296000000000001,-0.7285912770291044,-0.755738857703885,-2.650982618331909,3.856762170791626,0.0,0.0,False,True
32,1574,bootstrap_random,-0.3590000000000005,-0.5993784040852259,-0.9700674256043677,-1.6270767450332642,-6.5236897468566895,3.550541877746582,1.1512063003273327,True,False
33,1625,bootstrap_random,2.5840000000000014,-0.27919522853721745,-0.511412721292384,-1.6580890417099,-4.165663719177246,4.844438076019287,1.8148780993766205,True,False
34,1719,bootstrap_random,1.296000000000001,-0.7279156230792713,-0.7664878349303222,-2.6673710346221924,3.8920414447784424,0.0,0.0,False,True
35,1843,bootstrap_random,1.296000000000001,-0.7448999904051614,-0.7719005315697677,-2.843428134918213,4.041391372680664,0.0,0.0,False,True
36,1852,bootstrap_random,6.077000000000001,0.2667975024234718,-0.7253179951728606,3.9278147220611572,3.9257590770721436,3.970459461212158,2.809231306253343,True,False
37,1871,bootstrap_random,1.296000000000001,-0.7454313422541812,-0.7679835292583024,-2.8357162475585938,4.025513172149658,0.0,0.0,False,True
