evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_cumulative_penalized_centroid_distances,geodesic_graph_refreshes_with_penalty,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
2000,bootstrap,125,0.2,1266.1509999999985,641.1509999999984,-5.0,17.80499999999991,5.129207999999987,0.7500000000000001,17.513854673050606,17.64261346688634,20,1.0,0,1625,2000,1000,1000,625,20,2,0.44771249230769233,4,0.997,560917,560917,1,170.44317542421894,rolling_recent_buffer,1004
2100,log,125,0.2,1325.1109999999983,700.1109999999983,-5.0,17.80499999999991,5.600887999999986,0.7500000000000001,nan,nan,20,nan,-1,1625,2100,1000,1000,625,20,2,0.44771249230769233,4,0.997,560917,560917,1,170.44317542421894,rolling_recent_buffer,1004
2200,log,125,0.2,1351.1979999999983,726.1979999999982,-5.0,17.80499999999991,5.809583999999985,0.7500000000000001,nan,nan,20,nan,-1,1625,2200,1000,1000,625,20,2,0.44771249230769233,4,0.997,560917,560917,1,170.44317542421894,rolling_recent_buffer,1004
2300,log,133,0.2128,1473.208999999998,808.2089999999982,-5.0,17.80499999999991,6.076759398496227,0.7596361888893296,nan,nan,20,nan,-1,1625,2300,1000,1000,625,20,3,0.5167783384615384,3,0.997,490772,1051689,2,176.80043733666807,rolling_recent_buffer,1004
2400,log,141,0.2256,1604.8409999999976,899.8409999999981,-5.0,21.819999999999943,6.381851063829774,0.7687093506598378,nan,nan,20,nan,-1,1625,2400,1000,1000,625,20,3,0.5167783384615384,3,0.997,490772,1051689,2,176.80043733666807,rolling_recent_buffer,1004
2500,log,153,0.2448,1785.3139999999976,1020.3139999999978,-5.0,21.819999999999943,6.668718954248352,0.7813967041736396,nan,nan,20,nan,-1,1625,2500,1000,1000,625,20,4,0.6129693538461538,1,1.0,393078,1444767,3,176.80043733666807,rolling_recent_buffer,1004
2600,log,159,0.2544,1875.8319999999974,1080.8319999999976,-5.0,21.819999999999943,6.79768553459118,0.7873718151938622,nan,nan,20,nan,-1,1625,2600,1000,1000,625,20,4,0.6129693538461538,1,1.0,393078,1444767,3,176.80043733666807,rolling_recent_buffer,1004
2700,log,163,0.2608,1959.290999999997,1144.2909999999974,-5.0,21.819999999999943,7.020190184049064,0.7912312369203198,nan,nan,20,nan,-1,1625,2700,1000,1000,625,20,4,0.6129693538461538,1,1.0,393078,1444767,3,176.80043733666807,rolling_recent_buffer,1004
2800,log,172,0.2752,2060.7369999999974,1200.7369999999974,-5.0,21.819999999999943,6.981029069767427,0.7995795359742125,nan,nan,20,nan,-1,1625,2800,1000,1000,625,20,5,0.6074633846153846,1,1.0,398670,1843437,4,176.80043733666807,rolling_recent_buffer,1004
2900,log,179,0.2864,2170.8229999999967,1275.8229999999971,-5.0,21.819999999999943,7.127502793296073,0.8057760050518812,nan,nan,20,nan,-1,1625,2900,1000,1000,625,20,5,0.6074633846153846,1,1.0,398670,1843437,4,176.80043733666807,rolling_recent_buffer,1004
