seed,window_start,window_end,window_midpoint,candidate_count,disagreement_count,disagreement_rate,mean_latent_0,mean_latent_1,mean_blowup_ratio_disagreements,mean_geodesic_gap_disagreements
1001,1,1000,500.5,1000,51,0.051,0.6854678189530968,-4.175772002309561,1.2226444383643724,0.4070034037298985
1001,1001,2000,1500.5,1000,53,0.053,0.7008490681275725,-3.915648274414241,1.1951638826426472,0.3770842733211788
1001,2001,3000,2500.5,1000,138,0.138,-0.6619634404331446,-1.5360340253040194,1.3809014218955946,1.7415686215220625
1001,3001,4000,3500.5,1000,117,0.117,-1.0410453781038522,-0.775486363388598,1.202769521744381,0.3956469544563493
1001,4001,5000,4500.5,1000,144,0.144,-1.8543124078810216,-0.3619784795120358,1.2252144882719778,0.4480928002236257
1001,5001,6000,5500.5,1000,146,0.146,-1.7774031885787844,-0.18959416719526054,1.2410872321669244,0.45794082919020346
1001,6001,7000,6500.5,1000,133,0.133,-2.277364378735423,0.316316146209836,1.2569669394346954,0.5013989745595133
1001,7001,8000,7500.5,1000,142,0.142,-2.502702774502337,0.5118112355694174,1.2381286591607188,0.5115502780043156
1001,8001,9000,8500.5,1000,135,0.135,-2.1657584853172303,0.9330901619642973,1.2234252755310115,0.4180117978393736
1001,9001,10000,9500.5,1000,5,0.005,-2.6436718992590906,0.8692015722766518,1.0634593711346894,0.11915726210470964
1001,10001,11000,10500.5,1000,142,0.142,-1.857529523342848,0.808171406827867,1.4157572523510487,1.7871187552416445
1001,11001,12000,11500.5,1000,148,0.148,-1.4939229763299227,0.7023138574287295,1.2351966767209381,0.451058610412268
1001,12001,13000,12500.5,1000,155,0.155,-2.0212047628238796,0.6603592242822051,1.3390295992792862,1.7788730642861699
1001,13001,14000,13500.5,1000,186,0.186,-1.99651531226933,0.6804927008450031,1.2241146746982754,0.4745273894246049
1001,14001,15000,14500.5,1000,158,0.158,-2.0779956179708243,0.5902930148988962,1.4099983626954171,1.7189864136840083
1001,15001,16000,15500.5,1000,148,0.148,-1.9968627943098545,1.039986465461552,1.2604939547400749,0.5225009876486688
1001,16001,17000,16500.5,1000,144,0.144,-1.8294687146544457,0.42692397118359804,1.2207139604255621,0.4620577801376502
1001,17001,18000,17500.5,1000,150,0.15,-2.3059546173885463,0.9649144773706794,1.2276111077719376,0.4224978552994942
1001,18001,19000,18500.5,1000,142,0.142,-2.1386995326429608,0.4804287593513727,1.24789640941682,0.5472386382856287
1001,19001,20000,19500.5,1000,135,0.135,-2.215362935334444,0.8680929650589824,1.262798687014121,0.5278204133284012
1002,1,1000,500.5,1000,84,0.084,4.997921955570579,-8.267690702630206,1.2283000832972322,0.4799522884370855
1002,1001,2000,1500.5,1000,83,0.083,4.854187784433365,-8.520297178566455,1.2072906115132167,0.49456283496663467
1002,2001,3000,2500.5,1000,147,0.147,1.099954331845045,-3.00253317816183,1.247719373702776,0.5788228291978478
1002,3001,4000,3500.5,1000,141,0.141,0.4706719323024154,-0.5563541758935898,1.298176980156557,0.7196365570938437
1002,4001,5000,4500.5,1000,137,0.137,0.3359005058258772,-0.828908822491765,1.2625581228164782,0.6395843341789302
1002,5001,6000,5500.5,1000,131,0.131,-0.8442870031520724,-1.6231550258509815,1.2974735013751681,0.729358860224294
1002,6001,7000,6500.5,1000,139,0.139,-1.2749596106559038,-1.8197512301802634,1.2291097909391442,0.5773897281498882
1002,7001,8000,7500.5,1000,104,0.104,-1.0284081096947193,-1.7960268496498466,1.2482680731642104,0.5472886201487814
1002,8001,9000,8500.5,1000,106,0.106,-0.13666134205460548,-0.6691752918846905,1.2771822199599916,0.6418073655397601
1002,9001,10000,9500.5,1000,8,0.008,-1.2056697321310639,-1.7047317484803497,1.0591333101463285,0.09874573824911817
1002,10001,11000,10500.5,1000,151,0.151,-1.1520246496498585,-1.9407308176960796,1.24215565100425,0.6222738488909689
1002,11001,12000,11500.5,1000,131,0.131,-0.2824760123938322,-2.4570649792216717,1.2168478130687728,0.5384454628807048
1002,12001,13000,12500.5,1000,154,0.154,-1.0494227237403393,-2.0534502886272965,1.4279222832909884,1.8643227698774194
1002,13001,14000,13500.5,1000,135,0.135,-0.8120838907510042,-2.033970933239907,1.274312349644367,0.7231395824942505
