comparison,left_condition,right_condition,metric,metric_label,left_mean,right_mean,mean_difference_right_minus_left,u_statistic,p_value,note
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,coverage_percent,Coverage (%),39.519999999999996,31.392000000000003,-8.127999999999993,20.0,0.15079365079365079,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,qd_score,Shifted QD-score,5175.16219999999,4139.200999999992,-1035.961199999998,20.0,0.15079365079365079,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,raw_qd_score,Raw QD-score,3940.16219999999,3158.200999999992,-781.9611999999984,20.0,0.15079365079365079,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,max_fitness,Max fitness,30.489999999999945,29.852999999999952,-0.6369999999999933,14.0,0.8412698412698413,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,occupancy_entropy,Occupancy entropy (coverage-derived),0.8515323735327727,0.8197043398554552,-0.03182803367731746,20.0,0.15079365079365079,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_euclidean,Mean pairwise elite descriptor distance (Euclidean),20.308480639098082,22.77536886193941,2.4668882228413267,6.0,0.2222222222222222,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_knn_geodesic,Mean pairwise elite descriptor distance (k-NN geodesic),20.484901636893134,22.982784052450917,2.4978824155577826,6.0,0.2222222222222222,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,elapsed_seconds,Wall-clock runtime (s),1044.08193486,984.4890201000004,-59.592914759999644,23.0,0.031746031746031744,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,evaluations_per_second,Throughput (eval/s),19.169319724519813,20.340112852846303,1.1707931283264905,2.0,0.031746031746031744,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,coverage_percent,Coverage (%),98.24000000000001,39.519999999999996,-58.72000000000001,25.0,0.007936507936507936,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,qd_score,Shifted QD-score,15083.669999999966,5175.16219999999,-9908.507799999976,25.0,0.007936507936507936,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,raw_qd_score,Raw QD-score,12013.669999999966,3940.16219999999,-8073.507799999976,25.0,0.007936507936507936,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,max_fitness,Max fitness,31.40999999999991,30.489999999999945,-0.9199999999999662,12.0,1.0,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,occupancy_entropy,Occupancy entropy (coverage-derived),0.9972417821383361,0.8515323735327727,-0.14570940860556347,25.0,0.007936507936507936,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,mean_pairwise_descriptor_euclidean,Mean pairwise elite descriptor distance (Euclidean),1.0454583372315893,20.308480639098082,19.263022301866492,0.0,0.007936507936507936,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
