map,condition,condition_label,seed,archive_cell_x,archive_cell_y,evaluation,fitness,common_cell_0,common_cell_1,common_cell_2,path_efficiency,loop_score_raw,loop_score_clipped,food_collected_raw,food_collected_clipped,path_length,displacement,bbox_area,is_loop,is_near_still,match_candidate_count,match_descriptor_distance,match_status
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,2,2,12377,24.584999999999912,0,4,5,0.09636404238954768,7.262799995226982,7.262799995226982,5.0,5.0,9.795570373535156,0.9439407587051392,2.14072847366333,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,2,6,17920,26.62999999999995,1,2,7,0.14979948811971197,4.363006755422495,4.363006755422495,7.0,7.0,13.123540878295898,1.9658997058868408,3.361060380935669,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,2,15,13853,6.964999999999997,3,3,1,0.4052156166929769,5.77910805465746,5.77910805465746,1.0,1.0,5.067672252655029,2.053499937057495,3.3228189945220947,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,2,16,12964,7.709999999999997,2,4,1,0.2571153527850104,6.91689128777293,6.91689128777293,1.0,1.0,6.274554252624512,1.6132842302322388,3.2890326976776123,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,2,18,15297,1.711000000000001,2,0,0,0.3125612040732598,0.8031598954450484,0.8031598954450484,0.0,0.0,5.209216117858887,1.6281988620758057,3.521821975708008,False,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,4,11296,20.599999999999973,0,5,5,0.08861526008278399,7.731371614639348,7.731371614639348,5.0,5.0,9.075942993164062,0.8042670488357544,3.7523858547210693,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,5,8817,21.984999999999914,0,6,4,0.09382747338926421,9.630467767866005,9.630467767866005,4.0,4.0,8.755660057067871,0.8215214610099792,2.062527656555176,True,False,1,nan,retained_from_retrain
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,6,18281,18.49999999999997,1,1,5,0.17671114305985383,2.596598714035916,2.596598714035916,5.0,5.0,12.024961471557617,2.1249446868896484,3.7568488121032715,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,10,2573,10.580999999999952,1,4,2,0.23903086242035107,6.1206727617993835,6.1206727617993835,2.0,2.0,5.878001689910889,1.4050238132476807,3.342902660369873,True,False,1,nan,retained_from_retrain
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,11,11411,10.867999999999972,1,6,2,0.22179120864088042,9.259118578919415,9.259118578919415,2.0,2.0,8.574777603149414,1.9018102884292603,3.3303487300872803,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,13,8846,15.13800000000002,0,3,3,0.10570416464671296,4.716040412654741,4.716040412654741,3.0,3.0,12.483819961547852,1.319591760635376,3.5970988273620605,True,False,1,nan,retained_from_retrain
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,14,15548,11.190999999999985,1,5,2,0.17849348037444987,7.515455067468979,7.515455067468979,2.0,2.0,8.524977684020996,1.5216529369354248,3.59209942817688,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,15,4342,11.948999999999996,1,3,2,0.17265633296503916,5.859434114936441,5.859434114936441,2.0,2.0,8.44156265258789,1.457489252090454,3.7562453746795654,True,False,1,nan,retained_from_retrain
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,16,4944,7.945999999999997,1,2,1,0.22397556458695622,3.2139145504252626,3.2139145504252626,1.0,1.0,6.1215996742248535,1.3710887432098389,3.7105607986450195,True,False,2,9.5367431640625e-07,verified_final_space_descriptor
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,17,13998,3.399999999999998,2,1,0,0.27670350585835646,2.062066439988921,2.062066439988921,0.0,0.0,5.051944255828857,1.3978906869888306,3.2142300605773926,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,18,11236,3.3409999999999984,2,0,0,0.2833581200850771,0.6546507128665072,0.6546507128665072,0.0,0.0,5.221400260925293,1.479526162147522,3.6243181228637695,False,False,3,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,3,19,16154,2.4349999999999983,2,0,0,0.3028319180025836,1.1732505840915675,1.1732505840915675,0.0,0.0,5.629181861877441,1.7046959400177002,3.79280424118042,True,False,1,nan,recorded_final_stage_insertion
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,4,2,8645,24.834999999999894,1,7,5,0.23286793463360367,10.861280605988753,10.861280605988753,5.0,5.0,8.073399543762207,1.8800358772277832,2.176985740661621,True,False,1,nan,retained_from_retrain
