term,n,coefficient,standard_error,t_value,p_value,dataset,depth_metric
intercept,981,-0.03312915697051914,0.030159378260000563,-1.0984694937977981,0.27227015741956434,horseshoe,home_depth
home_depth,981,0.5076988419575513,0.0339710052851561,14.94506381827312,1.232634841299732e-45,horseshoe,home_depth
high_blowup_target,981,0.2901759195364205,0.09016104525997973,3.2184178732588684,0.001331439947394363,horseshoe,home_depth
log_geodesic_assignment_count,981,0.16921368972948408,0.033652085888077825,5.028326930231469,5.88457660615167e-07,horseshoe,home_depth
intercept,981,-0.05447572429264383,0.03336201726075513,-1.6328666179525502,0.1028192647818069,horseshoe,bulk_depth
bulk_depth,981,0.0518786729673687,0.035205470166925865,1.4735969359700996,0.14091225392920256,horseshoe,bulk_depth
high_blowup_target,981,0.47714897795610295,0.09904332752533888,4.817578224378931,1.6836212199453983e-06,horseshoe,bulk_depth
log_geodesic_assignment_count,981,-0.07841277937628348,0.035098430203475625,-2.2340822344960216,0.02570324764207908,horseshoe,bulk_depth
intercept,658,-0.01784814947223556,0.036986211917484656,-0.4825622454133543,0.6295680663122696,open_robustness,home_depth
home_depth,658,0.523916887867471,0.04105487065282155,12.761382012330472,1.8383500340305863e-33,open_robustness,home_depth
high_blowup_target,658,0.15658776470307934,0.11056372866309795,1.416267039801295,0.15717343209632068,open_robustness,home_depth
log_geodesic_assignment_count,658,0.30874545517338,0.04072881443822842,7.580516630103252,1.1830373767963433e-13,open_robustness,home_depth
intercept,658,-0.038429581687773134,0.04128344542521656,-0.9308714738305189,0.35226353453528636,open_robustness,bulk_depth
bulk_depth,658,-0.030980267596589228,0.04294502748113147,-0.7213935911486111,0.4709251991780762,open_robustness,bulk_depth
high_blowup_target,658,0.33715553000739623,0.12259650550332618,2.750123493513841,0.006121990588957525,open_robustness,bulk_depth
log_geodesic_assignment_count,658,0.026767243552798897,0.04297380955320008,0.622873415950289,0.5335848386360798,open_robustness,bulk_depth
intercept,1639,-0.026451464684856856,0.02342565682784821,-1.129166404137347,0.2589932841023682,all_maps,home_depth
home_depth,1639,0.5142132425033025,0.02622819868598772,19.605358669866195,4.90884314786339e-77,all_maps,home_depth
high_blowup_target,1639,0.23183930812021425,0.07001243630121491,3.3114018075698817,0.0009485291694579288,all_maps,home_depth
log_geodesic_assignment_count,1639,0.2238981305891403,0.02599153055926179,8.614272640799014,1.6294213155188288e-17,all_maps,home_depth
intercept,1639,-0.04782009816085111,0.02600644107707004,-1.8387790170572105,0.06612896233692109,all_maps,bulk_depth
bulk_depth,1639,0.018710538428084733,0.02727853875595048,0.6859069173565339,0.4928690540550412,all_maps,bulk_depth
high_blowup_target,1639,0.41912909564510625,0.07718262787601297,5.430355342634872,6.470687872387039e-08,all_maps,bulk_depth
log_geodesic_assignment_count,1639,-0.03792977699672267,0.027232200000725012,-1.392828232596443,0.163861094770332,all_maps,bulk_depth
