dataset,seed,match_type,target_cell_x,target_cell_y,control_cell_x,control_cell_y,target_fitness,control_fitness,fitness_difference_target_minus_control,target_depth,control_depth,absolute_depth_difference,target_assignment_count,control_assignment_count,match_distance_standardized
horseshoe,1001,depth_only,4,16,5,15,27.189999999999948,23.514999999999905,3.6750000000000433,44.81893291187695,41.954749402727316,2.8641835091496333,3,2,0.11842715112066354
horseshoe,1001,depth_only,7,13,7,15,24.374999999999975,24.154999999999916,0.22000000000005926,33.932448960906754,33.92597312522064,0.006475835686117648,7,9,0.0002677603474018098
horseshoe,1001,depth_only,8,13,20,4,24.349999999999973,0.049999999999992044,24.29999999999998,30.33214545462989,30.372276955234838,0.040131500604946524,9,1,0.0016593417536476395
horseshoe,1001,depth_only,9,11,9,13,22.29999999999993,24.34999999999986,-2.0499999999999297,27.18840370645785,27.22205884849308,0.033655142035229346,12,8,0.0013915597862571444
horseshoe,1001,depth_only,9,12,19,18,23.079999999999966,19.83999999999996,3.2400000000000055,27.11674682779348,27.0237293232669,0.09301750452658197,24,27,0.003846051773654364
horseshoe,1001,depth_only,10,14,10,10,25.659999999999975,21.069999999999936,4.590000000000039,25.122073270211025,25.104627192423127,0.017446077787898417,4,11,0.0007213536716660004
horseshoe,1001,depth_only,10,16,10,9,24.39499999999995,10.690999999999947,13.704000000000002,25.82742678055406,25.72628108222577,0.10114569832828835,15,2,0.004182133184855043
horseshoe,1001,depth_only,10,17,13,2,24.334999999999905,10.157999999999975,14.17699999999993,26.527948995409304,26.46571888853961,0.06223010686969488,13,3,0.0025730663719589837
horseshoe,1001,depth_only,12,15,17,7,26.289999999999885,12.489999999999961,13.799999999999924,21.67298553256174,21.768719766203617,0.09573423364187761,28,94,0.003958382037571897
horseshoe,1001,depth_only,13,3,19,15,14.649999999999906,11.520000000000024,3.1299999999998818,25.15769129573921,25.142327107585203,0.015364188154006087,15,3,0.000635272504903501
horseshoe,1001,depth_only,13,4,11,16,13.222999999999946,28.909999999999876,-15.68699999999993,23.904571179876406,23.903661076974085,0.0009101029023206308,18,32,3.7630582539203166e-05
horseshoe,1001,depth_only,13,8,12,11,20.169999999999927,19.014999999999937,1.1549999999999905,20.81872700897231,20.85010888889263,0.031381879920321154,36,7,0.0012975658242225536
horseshoe,1001,depth_only,13,13,13,12,24.574999999999935,21.07499999999996,3.499999999999975,19.772612294978323,19.772342335545858,0.0002699594324653276,19,12,1.1162178122627297e-05
horseshoe,1001,depth_only,15,16,13,15,17.854999999999958,21.30499999999993,-3.449999999999971,20.5825430783717,20.61163817411799,0.02909509574628899,24,48,0.0012030127573211757
horseshoe,1001,depth_only,16,9,15,8,20.699999999999953,17.849999999999973,2.84999999999998,19.586339811003853,19.683130568917893,0.09679075791403946,80,126,0.0040020667942371945
horseshoe,1001,depth_only,17,8,12,14,13.014999999999976,24.72499999999994,-11.709999999999965,21.181791761686743,21.17924231974861,0.0025494419381324462,230,12,0.00010541333846664335
horseshoe,1001,depth_only,18,17,19,9,21.004999999999963,21.344999999999928,-0.33999999999996433,24.40916745331118,24.371127115038888,0.03804033827229247,50,104,0.0015728771829258469
horseshoe,1001,depth_only,18,19,19,6,21.594999999999974,16.324999999999896,5.270000000000078,26.11985407468237,26.06936707866996,0.05048699601240969,53,116,0.0020875167695400686
horseshoe,1001,depth_only,19,5,9,13,10.376999999999986,24.34999999999986,-13.972999999999873,27.160872572406944,27.22205884849308,0.06118627608613636,82,8,0.002529906460747294
horseshoe,1001,depth_only,20,12,20,11,10.99599999999996,10.78699999999998,0.2089999999999801,26.72312853806193,26.684176911895182,0.03895162616674597,27,20,0.0016105567620610945
horseshoe,1002,depth_only,3,8,3,10,19.999999999999922,21.024999999999917,-1.024999999999995,34.99550720511287,34.5835641641799,0.4119430409329752,20,8,0.08722672620149287
horseshoe,1002,depth_only,4,9,20,8,22.56999999999995,5.602999999999998,16.966999999999953,31.603796246317067,31.13796322507929,0.4658330212377777,11,3,0.09863764006571243
