dataset,seed,cell_x,cell_y,centroid_index,fitness,home_depth,bulk_depth,median_bulk_depth,centroid_to_home_euclidean,high_blowup_target,high_blowup_touch_count,any_disagreement_target,any_disagreement_touch_count,geodesic_assignment_count,log_geodesic_assignment_count
horseshoe,1001,2,18,68,28.769999999999932,190.45053937859396,190.45053937859402,190.45053937859396,56.60382917746814,False,0,True,1,3,1.3862943611198906
horseshoe,1001,3,17,92,28.564999999999923,190.45053937859396,190.45053937859402,190.45053937859396,52.67355327739196,False,0,True,2,2,1.0986122886681098
horseshoe,1001,4,16,116,27.189999999999948,51.46770566139616,44.81893291187695,45.05141829490119,48.74934409157702,True,2,True,3,3,1.3862943611198906
horseshoe,1001,4,17,117,26.66499999999992,190.45053937859396,190.45053937859402,190.45053937859396,49.21874717262208,False,0,True,1,1,0.6931471805599453
horseshoe,1001,4,18,118,26.46999999999994,190.45053937859396,190.45053937859402,190.45053937859396,49.738132015652006,False,0,True,2,2,1.0986122886681098
horseshoe,1001,5,15,140,23.514999999999905,48.52652797189303,41.954749402727316,42.110240605398076,44.8327947046598,False,0,True,2,2,1.0986122886681098
horseshoe,1001,5,16,141,25.074999999999907,47.86741370810374,41.31288943903721,41.45112634160878,45.28306334197451,False,0,True,1,1,0.6931471805599453
horseshoe,1001,5,17,142,26.849999999999934,48.19939562465796,41.636180729503636,41.783108258163,45.78801534808858,False,0,True,2,4,1.6094379124341003
horseshoe,1001,6,13,163,22.324999999999925,42.93999387361877,37.39883381843227,37.11836386150851,40.560942097510015,False,0,True,1,1,0.6931471805599453
horseshoe,1001,6,14,164,24.43499999999995,43.050412913031025,37.18316937524816,36.634125546536055,40.9261042597489,False,0,True,5,6,1.9459101490553132
horseshoe,1001,6,15,165,25.494999999999926,43.66175921118563,37.366174615746885,37.24547184469067,41.35350257478232,False,0,True,3,3,1.3862943611198906
horseshoe,1001,6,16,166,30.63499999999995,44.237715688435514,37.869235793237024,37.82142832194055,41.84122990311868,False,0,True,7,9,2.302585092994046
horseshoe,1001,6,17,167,29.739999999999952,45.242937560392875,38.83144380548003,38.826650193897905,42.387203772944865,False,0,True,2,2,1.0986122886681098
horseshoe,1001,7,13,188,24.374999999999975,39.051548702507105,33.932448960906754,33.304532492516785,37.032393062128364,True,2,True,7,7,2.0794415416798357
horseshoe,1001,7,14,189,24.67499999999994,39.75164906613054,34.17236275283903,33.33536169963556,37.43199329384223,False,0,True,3,6,1.9459101490553132
horseshoe,1001,7,15,190,24.154999999999916,39.884031118542296,33.92597312522064,33.467743752047326,37.89881643630762,False,0,True,4,9,2.302585092994046
horseshoe,1001,8,12,212,24.29499999999994,35.336497482113984,30.836603705176053,29.58948127212366,33.1562340912622,False,0,True,2,3,1.3862943611198906
horseshoe,1001,8,13,213,24.349999999999973,34.831464183306096,30.33214545462989,29.08444797331577,33.52136133686161,True,1,True,5,9,2.302585092994046
horseshoe,1001,8,14,214,23.699999999999914,36.14204798922641,31.06531867222693,29.725760622731453,33.96229750648088,False,0,True,1,2,1.0986122886681098
horseshoe,1001,8,15,215,21.85999999999994,36.00418974659719,30.75376064211425,29.587902380102225,34.47613402400867,False,0,True,3,4,1.6094379124341003
horseshoe,1001,8,16,216,21.03999999999995,36.45468265907833,31.052938400907188,29.920534946756487,35.05966574062727,False,0,True,1,1,0.6931471805599453
horseshoe,1001,9,11,236,22.29999999999993,30.188244731387446,27.18840370645785,23.55929689425724,29.304593146803004,True,1,True,7,12,2.5649493574615367
horseshoe,1001,9,12,237,23.079999999999966,30.3980413689717,27.11674682779348,24.21064059227849,29.62591444970269,True,1,True,15,24,3.2188758248682006
horseshoe,1001,9,13,238,24.34999999999986,30.756617392196446,27.22205884849308,24.77058393597341,30.03399097261244,False,0,True,5,8,2.1972245773362196
horseshoe,1001,9,14,239,22.124999999999954,31.512434802037365,27.646491773516484,25.767302924467796,30.52534356539239,False,0,True,4,4,1.6094379124341003
horseshoe,1001,9,15,240,25.704999999999956,32.697496739042194,28.16020100622312,26.281209372547227,31.096024908465928,False,0,True,4,5,1.791759469228055
horseshoe,1001,9,16,241,23.704999999999952,33.05984209897024,28.319922093883402,26.306543350760528,31.741756563098996,False,0,True,2,2,1.0986122886681098
horseshoe,1001,9,17,242,18.744999999999912,33.19979069544335,28.844146576557954,27.071285091028106,32.45805960920272,False,0,False,0,1,0.6931471805599453
horseshoe,1001,10,9,259,10.690999999999947,26.334019233162945,25.72628108222577,22.014439597874517,25.328893148785202,False,0,True,1,2,1.0986122886681098
horseshoe,1001,10,10,260,21.069999999999936,26.269690507230305,25.104627192423127,21.693430472779138,25.48858758470541,False,0,True,5,11,2.4849066497880004
horseshoe,1001,10,11,261,21.019999999999904,26.79532785508437,24.854837630466257,21.022944417570166,25.752544442525167,False,0,True,9,12,2.5649493574615367
horseshoe,1001,10,12,262,28.039999999999885,26.796972487061304,24.624787562702025,21.35501288131608,26.11760273734331,False,0,True,10,18,2.9444389791664403
horseshoe,1001,10,13,263,22.10499999999996,27.548357633920084,24.640567583262907,21.96277752401024,26.579597053144838,False,0,True,3,8,2.1972245773362196
horseshoe,1001,10,14,264,25.659999999999975,28.364676237536308,25.122073270211025,22.518150369150955,27.133576350157433,True,1,True,2,4,1.6094379124341003
horseshoe,1001,10,15,265,26.084999999999958,28.64496336972848,25.405665123992602,22.594171637384207,27.774036992711622,False,0,True,5,6,1.9459101490553132
horseshoe,1001,10,16,266,24.39499999999995,29.20094411155496,25.82742678055406,23.07243850713972,28.49514827958645,True,1,True,8,15,2.772588722239781
horseshoe,1001,10,17,267,24.334999999999905,30.022085376011937,26.527948995409304,24.11030301666811,29.290954224113925,True,1,True,7,13,2.6390573296152584
horseshoe,1001,11,9,284,18.899999999999928,22.739932898005804,23.316110069606506,19.617210772671108,21.72700190558316,False,0,True,6,11,2.4849066497880004
horseshoe,1001,11,10,285,20.274999999999938,22.683905202855858,22.852933371492576,19.13713621454349,21.912961477760945,False,0,True,15,55,4.02535169073515
horseshoe,1001,11,11,286,22.674999999999912,22.79153219692665,22.533230978021816,18.800205283191154,22.219435837277015,False,0,True,5,11,2.4849066497880004
horseshoe,1001,11,12,287,24.714999999999907,23.72557970085557,22.54951749593874,18.889936484732083,22.641531670987256,False,0,True,5,7,2.0794415416798357
horseshoe,1001,11,13,288,27.094999999999878,24.356946167138133,22.62619635023815,19.19576586606929,23.17293169131135,False,0,True,3,6,1.9459101490553132
horseshoe,1001,11,14,289,22.00499999999994,24.894408173243548,23.107425510851133,20.00694119612441,23.806317422324245,False,0,True,7,10,2.3978952727983707
horseshoe,1001,11,15,290,27.434999999999903,25.167138825673586,23.38996525727208,20.41616675907457,24.53379127927744,False,0,True,7,17,2.8903717578961645
horseshoe,1001,11,16,291,28.909999999999876,26.2139146736563,23.903661076974085,21.082324717580992,25.347253483134118,False,0,True,13,32,3.4965075614664802
horseshoe,1001,11,17,292,21.16999999999991,27.009782075490126,24.762049746675373,21.93342873752525,26.238707723929043,False,0,True,1,2,1.0986122886681098
horseshoe,1001,12,2,302,12.437999999999919,20.83780142982873,27.895646071749823,24.979786414880458,20.57488640972657,False,0,True,1,2,1.0986122886681098
horseshoe,1001,12,5,305,14.379999999999912,18.99387877151009,24.544367921568373,21.019509263341586,18.715996646921113,False,0,True,1,3,1.3862943611198906
horseshoe,1001,12,6,306,17.909999999999904,18.549728211870754,23.687931246053797,19.928705131171284,18.351105751058366,False,0,True,10,27,3.332204510175204
horseshoe,1001,12,7,307,14.394999999999952,18.24254462026566,22.750173234180934,18.777297178299442,18.12864620885703,False,0,True,4,10,2.3978952727983707
horseshoe,1001,12,8,308,13.853999999999951,18.2724852762736,21.97420759358544,18.302212364249932,18.053883895874023,False,0,True,3,4,1.6094379124341003
horseshoe,1001,12,9,309,17.76999999999996,19.137112837034323,21.413202190129656,17.568697381308475,18.12864620885703,False,0,True,7,18,2.9444389791664403
horseshoe,1001,12,10,310,20.079999999999984,19.148344563440162,21.024235480912896,17.22620426569821,18.351105751058366,False,0,True,16,50,3.9318256327243257
horseshoe,1001,12,11,311,19.014999999999937,19.283761179273558,20.85010888889263,16.76865304015444,18.715996646921113,False,0,True,3,7,2.0794415416798357
horseshoe,1001,12,12,312,21.24499999999996,19.883690236063572,20.919914036024323,17.108672845210968,19.215206425355188,False,0,True,2,7,2.0794415416798357
horseshoe,1001,12,13,313,26.824999999999864,20.61185643826081,21.0030566720562,17.62523151292463,19.83859785193687,False,0,True,2,4,1.6094379124341003
horseshoe,1001,12,14,314,24.72499999999994,21.19172021829834,21.17924231974861,18.237893210037925,20.57488640972657,False,0,True,6,12,2.5649493574615367
horseshoe,1001,12,15,315,26.289999999999885,22.018663640125137,21.67298553256174,18.603274702509566,21.41242900970934,True,1,True,13,28,3.367295829986474
horseshoe,1001,12,16,316,28.444999999999876,23.04263139515086,22.323783334349358,19.1987701477569,22.339840212028083,False,0,True,12,41,3.7376696182833684
horseshoe,1001,12,17,317,21.074999999999932,24.15363438995296,23.191053079443307,20.006391893929912,23.346412670525332,False,0,False,0,0,0.0
horseshoe,1001,13,2,327,10.157999999999975,17.660979617218082,26.46571888853961,24.125495866767075,17.492471815952694,False,0,True,1,3,1.3862943611198906
horseshoe,1001,13,3,328,14.649999999999906,16.871000435420108,25.15769129573921,22.586388757280954,16.6201860455779,True,1,True,8,15,2.772588722239781
horseshoe,1001,13,4,329,13.222999999999946,16.068124262161263,23.904571179876406,20.966500390123603,15.870878281549494,True,2,True,7,18,2.9444389791664403
horseshoe,1001,13,5,330,18.80499999999992,15.676620470558865,22.88087168152905,19.77751266051297,15.26267178269619,False,0,True,5,13,2.6390573296152584
horseshoe,1001,13,6,331,17.75999999999989,15.008564286957904,21.90713125521007,18.666674695162428,14.81295722485134,False,0,True,14,53,3.9889840465642745
horseshoe,1001,13,7,332,20.194999999999947,14.686899629373505,21.223118766417137,17.987779650053966,14.53645186504102,False,0,True,15,66,4.204692619390966
horseshoe,1001,13,8,333,20.169999999999927,14.568614151693263,20.81872700897231,16.968238288854145,14.443107116699217,True,1,True,10,36,3.6109179126442243
horseshoe,1001,13,9,334,18.164999999999974,15.171655583414893,20.023436973500175,15.537538560718403,14.53645186504102,False,0,True,7,16,2.833213344056216
