seed,category,baseline_fraction,contribution_fraction,absolute_difference
1001,near_still,0.003,0.003875,0.0008749999999999999
1001,loop,0.929375,0.93275,0.003375000000000017
1001,other,0.067625,0.063375,0.004250000000000004
1002,near_still,0.001,0.002,0.001
1002,loop,0.94425,0.942875,0.001375000000000015
1002,other,0.05475,0.055125,0.00037500000000000033
1003,near_still,0.003375,0.002,0.001375
1003,loop,0.942875,0.929625,0.013249999999999984
1003,other,0.05375,0.068375,0.014625000000000006
1004,near_still,0.002,0.002625,0.0006250000000000001
1004,loop,0.931,0.921,0.010000000000000009
1004,other,0.067,0.076375,0.009374999999999994
1005,near_still,0.002125,0.00225,0.00012499999999999968
1005,loop,0.908,0.9075,0.000500000000000056
1005,other,0.089875,0.09025,0.00037500000000000033
