seed,evaluation,fitness,source,blowup_ratio,geodesic_cell_x,geodesic_cell_y,geodesic_cell_arrival_rank,geodesic_cell_first_evaluation,evaluations_since_first_geodesic_cell_arrival,actual_run_inserted,actual_run_replaced
1001,10007,2.091999999999982,mutated_elite,1.0741591751176478,15,6,1,10007,0,False,False
1001,10008,9.609999999999973,mutated_elite,1.045514421014882,17,7,2,10005,3,False,False
1001,10019,10.73999999999999,mutated_elite,1.2725515230621216,12,10,1,10019,0,False,False
1001,10028,11.556999999999992,mutated_elite,1.344126020836046,18,19,1,10028,0,False,False
1001,10038,12.395999999999928,mutated_elite,1.2300508419846776,15,15,2,10001,37,False,False
1001,10045,14.049999999999915,mutated_elite,1.3386583579754467,13,7,1,10045,0,False,False
1001,10067,8.369999999999965,mutated_elite,1.062880647509307,15,4,1,10067,0,False,False
1001,10075,3.0409999999999986,mutated_elite,1.1093697425843616,17,19,1,10075,0,False,False
1001,10078,4.248999999999999,mutated_elite,1.3724862603443313,16,4,1,10078,0,False,False
1001,10082,7.043999999999994,mutated_elite,1.1090910617978882,19,13,2,10004,78,False,False
1001,10083,13.826999999999948,mutated_elite,1.6255593946014646,14,14,1,10083,0,False,False
1001,10093,9.704999999999949,mutated_elite,1.7884694044539842,15,15,3,10001,92,False,False
1001,10095,2.062,mutated_elite,1.0036706111760552,17,11,9,10031,64,False,False
1001,10096,1.203000000000001,mutated_elite,1.031295283440001,19,6,1,10096,0,False,False
1001,10099,-0.5800000000000003,mutated_elite,1.246790341520648,18,6,1,10099,0,False,False
1001,10115,5.742999999999997,mutated_elite,1.260836171072113,15,2,1,10115,0,False,False
1001,10120,-3.1480000000000032,mutated_elite,1.194809840153242,18,7,1,10120,0,False,False
1001,10128,15.42800000000001,mutated_elite,1.2592465678158362,13,9,1,10128,0,True,True
1001,10134,2.314999999999999,mutated_elite,1.0020659971030101,19,12,2,10132,2,False,False
1001,10141,1.0560000000000014,mutated_elite,1.1781113099842984,17,12,4,10020,121,False,False
1001,10162,8.002999999999991,mutated_elite,1.0515855892979553,17,8,4,10094,68,False,False
1001,10165,11.21499999999994,mutated_elite,1.125751267707681,12,10,4,10019,146,False,False
1001,10175,13.13999999999991,mutated_elite,1.3877758061551637,12,6,2,10058,117,False,False
1001,10176,5.2449999999999966,mutated_elite,1.0589438758324263,17,10,9,10012,164,False,False
1001,10177,10.272000000000002,mutated_elite,1.1635253928377896,19,6,3,10096,81,False,False
1001,10179,10.69500000000002,mutated_elite,1.1485758886690247,11,9,1,10179,0,False,False
1001,10183,16.609999999999935,mutated_elite,1.9566478094821484,9,12,1,10183,0,False,False
1001,10187,2.3240000000000003,mutated_elite,1.292313988171413,19,6,4,10096,91,False,False
1001,10205,0.43799999999999983,mutated_elite,1.0510814274062577,17,11,15,10031,174,False,False
