cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
0,0,21.749999999999954,-0.9743114413059101,-0.9724251419310884,280,5,14,0
0,1,23.059999999999945,-0.9351484675375329,-0.8563294576838122,280,6,6,10
0,2,20.389999999999905,-0.9718344181151695,-0.8168371112490393,280,5,5,3
0,3,25.18499999999994,-0.9737315526961234,-0.7505995788194556,280,6,10,5
0,4,22.809999999999963,-0.9625482621697315,-0.6076009377791767,280,6,12,5
0,5,27.744999999999944,-0.9601207791351921,-0.5607734368438195,280,7,4,3
0,6,24.694999999999943,-0.9565456979095436,-0.4895589579065702,280,6,5,6
0,7,20.499999999999957,-0.9745053069093197,-0.418805787060966,280,5,7,18
0,8,21.474999999999962,-0.960209135133532,-0.2999707901639965,280,5,8,7
0,9,24.364999999999927,-0.9443113953379804,-0.2444094438440853,280,6,3,4
0,10,21.069999999999936,-0.9426540974528037,-0.15308511582024079,280,5,5,4
0,11,25.469999999999953,-0.9386907571970595,-0.06059128202244896,280,6,4,4
0,12,23.469999999999935,-0.9216362677570147,-0.03561692687074483,280,5,8,0
0,13,25.669999999999945,-0.968439737496297,0.043536153088163214,280,6,4,2
0,14,21.20499999999996,-0.9708564339724629,0.13908012228078503,280,5,17,5
0,15,21.23499999999995,-0.9375160502984112,0.23167458844249278,280,5,13,1
0,16,26.32499999999993,-0.9274914322412068,0.35873927647304044,280,7,4,4
0,17,23.414999999999964,-0.9516137362773781,0.3974732651815576,280,5,13,0
0,18,26.949999999999914,-0.9346817945078701,0.4784748057805899,280,7,2,4
0,19,24.424999999999923,-0.95765728436001,0.5421523774358339,280,6,4,5
0,20,23.429999999999993,-0.953884018694304,0.6734194935540069,280,5,8,8
0,21,24.044999999999956,-0.950330624298229,0.7448793897615709,280,6,8,5
0,22,27.04499999999994,-0.9731663077557134,0.8264757627577498,280,7,11,2
0,23,24.384999999999938,-0.9589244109660491,0.8888649140591368,280,6,7,0
0,24,16.904999999999976,-0.9749868144367545,0.9724194866371785,280,4,43,0
1,0,21.294999999999934,-0.8482884350414288,-0.9551242775242934,280,5,6,3
1,1,19.36499999999991,-0.8505477289373065,-0.8797848333794263,280,5,5,17
1,2,21.134999999999927,-0.8744358038393921,-0.7961001562139376,280,5,6,3
1,3,20.234999999999953,-0.9030628218575729,-0.7382712434178371,280,5,9,6
