evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
1,1,0.0016,6.296000000000001,1.296000000000001,-5.0,1.296000000000001,1.296000000000001,0.0,nan,nan,5,nan,-1
25,11,0.0176,93.13299999999991,38.1329999999999,-5.0,12.419999999999936,3.4666363636363546,0.37247402560124454,nan,nan,5,nan,-1
50,25,0.04,213.06299999999987,88.06299999999985,-5.0,19.539999999999978,3.522519999999994,0.5,nan,nan,5,nan,-1
75,37,0.0592,331.5309999999998,146.53099999999975,-5.0,19.539999999999978,3.9602972972972905,0.5608973612382323,nan,nan,5,nan,-1
100,51,0.0816,443.9219999999997,188.92199999999974,-5.0,19.539999999999978,3.7043529411764653,0.6107451555521434,nan,nan,5,nan,-1
125,61,0.0976,531.2769999999997,226.27699999999973,-5.0,19.539999999999978,3.709459016393438,0.6385573858447358,nan,nan,5,nan,-1
150,73,0.1168,623.2099999999996,258.20999999999964,-5.0,19.539999999999978,3.537123287671228,0.666453084024151,nan,nan,5,nan,-1
175,82,0.1312,710.0689999999995,300.06899999999956,-5.0,19.539999999999978,3.6593780487804826,0.6845121537803792,nan,nan,5,nan,-1
200,91,0.1456,786.9739999999995,331.9739999999996,-5.0,19.539999999999978,3.6480659340659294,0.7006886490723124,nan,nan,5,nan,-1
225,100,0.16,857.7769999999994,357.7769999999995,-5.0,19.539999999999978,3.577769999999995,0.7153382790366967,nan,nan,5,nan,-1
250,111,0.1776,963.4469999999993,408.4469999999994,-5.0,19.539999999999978,3.679702702702697,0.7315489098597286,nan,nan,5,nan,-1
275,121,0.1936,1046.9539999999993,441.95399999999944,-5.0,19.539999999999978,3.65251239669421,0.7449480512024891,nan,nan,5,nan,-1
300,130,0.208,1131.4169999999995,481.41699999999935,-5.0,19.539999999999978,3.703207692307687,0.7560922998101188,nan,nan,5,nan,-1
325,147,0.2352,1287.0579999999993,552.0579999999993,-5.0,19.539999999999978,3.7554965986394513,0.7751825261825801,nan,nan,5,nan,-1
350,159,0.2544,1419.9539999999993,624.9539999999993,-5.0,19.539999999999978,3.930528301886788,0.7873718151938622,nan,nan,5,nan,-1
375,172,0.2752,1530.0849999999991,670.0849999999991,-5.0,19.539999999999978,3.895843023255809,0.7995795359742125,nan,nan,5,nan,-1
400,181,0.2896,1641.0499999999988,736.0499999999989,-5.0,19.539999999999978,4.066574585635353,0.8075019531824721,nan,nan,5,nan,-1
425,194,0.3104,1761.5759999999989,791.5759999999989,-5.0,19.539999999999978,4.080288659793808,0.8182760761327326,nan,nan,5,nan,-1
450,208,0.3328,1923.0029999999988,883.0029999999988,-5.0,19.539999999999978,4.245206730769225,0.8290997183651636,nan,nan,5,nan,-1
475,223,0.3568,2061.337999999999,946.3379999999986,-5.0,19.539999999999978,4.243668161434972,0.8399161796931883,nan,nan,5,nan,-1
500,232,0.3712,2184.7919999999986,1024.7919999999986,-5.0,19.539999999999978,4.4172068965517175,0.8460620520969198,nan,nan,5,nan,-1
525,242,0.3872,2309.6469999999986,1099.6469999999983,-5.0,19.539999999999978,4.543995867768588,0.8526171907208374,nan,nan,5,nan,-1
550,254,0.4064,2449.0989999999983,1179.0989999999983,-5.0,19.539999999999978,4.642122047244088,0.8601348061081646,nan,nan,5,nan,-1
575,265,0.424,2581.088999999998,1256.0889999999981,-5.0,19.539999999999978,4.739958490566031,0.8667202665723659,nan,nan,5,nan,-1
600,275,0.44,2708.9749999999976,1333.974999999998,-5.0,19.539999999999978,4.850818181818175,0.8724740256012447,nan,nan,5,nan,-1
625,288,0.4608,2853.420999999998,1413.420999999998,-5.0,19.539999999999978,4.907711805555548,0.879648794834734,nan,nan,5,nan,-1
