evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
2000,bootstrap,116,0.1856,1513.561999999998,933.5619999999979,-5.0,21.699999999999925,8.047948275862051,0.7383929125785714,16.982287399003564,18.723280403583825,5,1.0,0
2100,log,120,0.192,1643.4169999999976,1043.4169999999976,-5.0,24.909999999999947,8.695141666666647,0.7436589671765411,nan,nan,5,nan,-1
2200,log,125,0.2,1758.5849999999975,1133.5849999999975,-5.0,24.909999999999947,9.068679999999981,0.7500000000000001,nan,nan,5,nan,-1
2300,log,130,0.208,1875.3419999999974,1225.3419999999974,-5.0,24.909999999999947,9.425707692307672,0.7560922998101188,nan,nan,5,nan,-1
2400,log,132,0.2112,1963.7299999999968,1303.729999999997,-5.0,26.084999999999972,9.876742424242401,0.7584638532594373,nan,nan,5,nan,-1
2500,log,136,0.2176,2078.138999999997,1398.138999999997,-5.0,26.084999999999972,10.280433823529389,0.7631010254856919,nan,nan,5,nan,-1
2600,log,138,0.2208,2142.8359999999966,1452.835999999997,-5.0,26.084999999999972,10.527797101449254,0.7653687115064396,nan,nan,5,nan,-1
2700,log,140,0.224,2205.072999999997,1505.072999999997,-5.0,26.084999999999972,10.750521428571407,0.7676037678172384,nan,nan,5,nan,-1
2800,log,145,0.232,2308.6979999999967,1583.697999999997,-5.0,26.084999999999972,10.922055172413772,0.7730546335418749,nan,nan,5,nan,-1
2900,log,150,0.24,2433.1459999999965,1683.1459999999963,-5.0,26.084999999999972,11.220973333333308,0.7783206881398446,nan,nan,5,nan,-1
3000,log,153,0.2448,2563.8569999999963,1798.8569999999959,-5.0,26.084999999999972,11.75723529411762,0.7813967041736396,19.2669469288673,21.831737924786452,5,1.0,0
3100,log,153,0.2448,2578.779999999996,1813.779999999996,-5.0,26.084999999999972,11.85477124183004,0.7813967041736396,nan,nan,5,nan,-1
3200,log,155,0.248,2650.6829999999954,1875.682999999996,-5.0,26.084999999999972,12.101180645161264,0.7834140537443307,nan,nan,5,nan,-1
3300,log,163,0.2608,2860.3579999999956,2045.3579999999956,-5.0,26.084999999999972,12.548208588957028,0.7912312369203198,nan,nan,5,nan,-1
3400,log,165,0.264,2918.3139999999958,2093.3139999999958,-5.0,26.084999999999972,12.686751515151489,0.7931255742227409,nan,nan,5,nan,-1
3500,log,165,0.264,2950.6799999999953,2125.6799999999953,-5.0,26.084999999999972,12.882909090909063,0.7931255742227409,nan,nan,5,nan,-1
3600,log,168,0.2688,3034.568999999995,2194.5689999999954,-5.0,26.084999999999972,13.062910714285687,0.795924455957083,nan,nan,5,nan,-1
3700,log,170,0.272,3092.6589999999956,2242.658999999995,-5.0,26.084999999999972,13.192111764705853,0.7977627464489954,nan,nan,5,nan,-1
3800,log,171,0.2736,3119.5859999999957,2264.5859999999957,-5.0,26.084999999999972,13.243192982456115,0.7986737973517803,nan,nan,5,nan,-1
3900,log,175,0.28,3207.845999999996,2332.845999999996,-5.0,26.084999999999972,13.330548571428547,0.802265488780542,nan,nan,5,nan,-1
