cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
2,11,24.509999999999945,-34.58168029785156,-7.5948333740234375,280,6,6,0
3,3,27.60499999999992,-31.698715209960938,-22.88725471496582,280,7,9,0
3,4,28.029999999999934,-31.882400512695312,-21.640647888183594,280,7,11,0
3,5,31.06999999999992,-32.597286224365234,-19.72014617919922,280,8,9,0
3,7,30.674999999999947,-32.49880599975586,-15.124353408813477,280,8,11,0
3,12,21.474999999999962,-33.94508361816406,-6.0421319007873535,280,5,11,0
3,13,20.659999999999943,-33.676368713378906,-4.107761859893799,280,5,15,0
4,4,25.054999999999943,-30.98708724975586,-21.678688049316406,280,6,9,0
4,5,28.729999999999972,-31.319299697875977,-20.207332611083984,280,7,16,0
4,6,28.969999999999953,-30.335105895996094,-18.155668258666992,280,7,9,0
4,10,30.234999999999946,-29.159442901611328,-10.622735023498535,280,7,9,0
4,11,26.264999999999908,-30.147167205810547,-8.51064395904541,280,7,7,0
4,12,24.79999999999999,-31.091251373291016,-6.71530818939209,280,6,16,6
4,13,20.529999999999937,-28.94546127319336,-4.630767345428467,280,5,11,0
4,14,20.379999999999928,-30.23924446105957,-2.9182870388031006,280,5,14,0
5,7,28.429999999999986,-27.283647537231445,-14.98048210144043,280,7,26,0
5,8,28.364999999999952,-28.708656311035156,-13.66934585571289,280,7,15,3
5,12,23.96999999999993,-27.96739959716797,-5.206714153289795,280,6,13,0
5,13,22.07999999999995,-26.653419494628906,-4.7662353515625,280,5,5,0
5,14,20.399999999999945,-27.575531005859375,-2.547736644744873,280,5,16,0
5,15,18.22999999999994,-27.359134674072266,-0.7740036249160767,280,4,12,0
5,16,17.999999999999954,-26.39645004272461,1.4980909824371338,280,4,16,0
5,17,14.943999999999967,-26.583763122558594,3.513026714324951,278,3,21,0
5,18,10.503999999999984,-26.945268630981445,4.963778495788574,213,2,16,0
6,6,23.80999999999996,-24.500932693481445,-18.695480346679688,280,6,33,0
6,7,28.634999999999966,-23.962060928344727,-15.038972854614258,280,7,9,0
6,8,26.074999999999964,-25.05331802368164,-14.459413528442383,280,6,18,0
6,9,29.81999999999997,-25.368663787841797,-11.118258476257324,280,7,9,0
6,10,29.064999999999998,-25.474063873291016,-10.409646034240723,280,7,18,0
6,12,24.74499999999994,-24.395427703857422,-5.676492214202881,280,6,5,2
6,13,24.34499999999994,-24.721782684326172,-4.5706939697265625,280,6,4,7
6,14,21.72999999999994,-24.118066787719727,-2.8363211154937744,280,5,6,0
6,15,21.57999999999995,-24.04388427734375,-0.6435807943344116,280,5,6,0
6,16,18.354999999999944,-24.140438079833984,2.614842176437378,280,4,5,5
6,17,14.756999999999975,-25.184280395507812,3.054938793182373,274,3,28,0
6,18,10.82699999999997,-24.58354949951172,5.738569259643555,224,2,8,0
6,19,9.14199999999998,-23.44635581970215,6.896762847900391,229,2,38,0
7,4,18.474999999999934,-21.280323028564453,-22.80274772644043,280,4,35,0
7,6,24.694999999999933,-22.988636016845703,-17.447721481323242,280,6,9,0
7,7,25.279999999999927,-22.123584747314453,-15.119844436645508,280,6,12,0
7,8,27.754999999999974,-22.53652572631836,-13.465538024902344,280,7,7,0
