evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs,geodesic_graph_support_points,geodesic_graph_visited_points,geodesic_graph_reservoir_points,geodesic_graph_rolling_buffer_points,geodesic_graph_centroids,geodesic_graph_k,geodesic_graph_refresh_count,geodesic_graph_finite_centroid_fraction,geodesic_graph_connected_components,geodesic_graph_largest_component_fraction,geodesic_graph_penalized_centroid_distances,geodesic_graph_cumulative_penalized_centroid_distances,geodesic_graph_refreshes_with_penalty,geodesic_graph_penalty_distance,geodesic_graph_reservoir_strategy,geodesic_graph_reservoir_seed
2000,bootstrap,98,0.1568,1292.5979999999984,802.5979999999984,-5.0,21.699999999999925,8.189775510204065,0.7122001170794321,15.928606407064226,16.01846653398417,20,1.0,0,1625,2000,1000,1000,625,20,2,0.29961649230769233,2,0.999,711327,711327,1,206.51215130503562,rolling_recent_buffer,1001
2100,log,98,0.1568,1354.2929999999983,864.2929999999984,-5.0,24.48999999999995,8.819316326530597,0.7122001170794321,nan,nan,20,nan,-1,1625,2100,1000,1000,625,20,2,0.29961649230769233,2,0.999,711327,711327,1,206.51215130503562,rolling_recent_buffer,1001
2200,log,98,0.1568,1384.6739999999984,894.6739999999983,-5.0,24.48999999999995,9.129326530612227,0.7122001170794321,nan,nan,20,nan,-1,1625,2200,1000,1000,625,20,2,0.29961649230769233,2,0.999,711327,711327,1,206.51215130503562,rolling_recent_buffer,1001
2300,log,104,0.1664,1528.2919999999979,1008.2919999999979,-5.0,24.62499999999995,9.695115384615365,0.7214305788468154,nan,nan,20,nan,-1,1625,2300,1000,1000,625,20,3,0.32587323076923075,4,0.992,684660,1395987,2,206.51215130503562,rolling_recent_buffer,1001
2400,log,110,0.176,1697.151999999997,1147.1519999999973,-5.0,24.62499999999995,10.42865454545452,0.7301431651195929,nan,nan,20,nan,-1,1625,2400,1000,1000,625,20,3,0.32587323076923075,4,0.992,684660,1395987,2,206.51215130503562,rolling_recent_buffer,1001
2500,log,116,0.1856,1767.2909999999972,1187.2909999999972,-5.0,24.62499999999995,10.235267241379287,0.7383929125785714,nan,nan,20,nan,-1,1625,2500,1000,1000,625,20,4,0.4976413538461538,1,1.0,510208,1906195,3,206.51215130503562,rolling_recent_buffer,1001
2600,log,120,0.192,1877.1149999999973,1277.1149999999973,-5.0,24.62499999999995,10.642624999999978,0.7436589671765411,nan,nan,20,nan,-1,1625,2600,1000,1000,625,20,4,0.4976413538461538,1,1.0,510208,1906195,3,206.51215130503562,rolling_recent_buffer,1001
2700,log,125,0.2,2014.616999999997,1389.616999999997,-5.0,24.62499999999995,11.116935999999976,0.7500000000000001,nan,nan,20,nan,-1,1625,2700,1000,1000,625,20,4,0.4976413538461538,1,1.0,510208,1906195,3,206.51215130503562,rolling_recent_buffer,1001
2800,log,133,0.2128,2175.0509999999967,1510.0509999999967,-5.0,24.62499999999995,11.353766917293209,0.7596361888893296,nan,nan,20,nan,-1,1625,2800,1000,1000,625,20,5,0.5165735384615384,1,1.0,490980,2397175,4,206.51215130503562,rolling_recent_buffer,1001
2900,log,141,0.2256,2332.1149999999966,1627.1149999999966,-5.0,24.62499999999995,11.539822695035436,0.7687093506598378,nan,nan,20,nan,-1,1625,2900,1000,1000,625,20,5,0.5165735384615384,1,1.0,490980,2397175,4,206.51215130503562,rolling_recent_buffer,1001
