comparison,left_condition,right_condition,metric,metric_label,left_mean,right_mean,mean_difference_right_minus_left,u_statistic,p_value,note
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,coverage_percent,Coverage (%),43.73333333333333,35.093333333333334,-8.639999999999993,8.0,0.2,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,qd_score,Shifted QD-score,6441.225999999992,5343.850999999994,-1097.3749999999982,8.0,0.2,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,raw_qd_score,Raw QD-score,5074.559333333325,4247.184333333326,-827.3749999999991,8.0,0.2,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,max_fitness,Max fitness,33.5933333333333,32.79333333333326,-0.8000000000000398,7.0,0.4,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,occupancy_entropy,Occupancy entropy (coverage-derived),0.8713946103666332,0.8358161705793838,-0.035578439787249394,8.0,0.2,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_euclidean,Mean pairwise elite descriptor distance (Euclidean),20.051325210575083,20.640687265197055,0.5893620546219722,6.0,0.7,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,mean_pairwise_descriptor_knn_geodesic,Mean pairwise elite descriptor distance (k-NN geodesic),20.22305360891644,20.841132314159093,0.6180787052426524,6.0,0.7,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,elapsed_seconds,Wall-clock runtime (s),912.4467764333335,888.9097290999993,-23.53704733333427,6.0,0.7,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_b_learned_bd_euclidean vs contribution_geodesic_niching,baseline_b_learned_bd_euclidean,contribution_geodesic_niching,evaluations_per_second,Throughput (eval/s),21.921988990220147,22.535460157909,0.6134711676888536,3.0,0.7,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,coverage_percent,Coverage (%),98.71999999999998,43.73333333333333,-54.98666666666666,9.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,qd_score,Shifted QD-score,17364.662999999968,6441.225999999992,-10923.436999999976,9.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,raw_qd_score,Raw QD-score,14279.662999999966,5074.559333333325,-9205.10366666664,9.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,max_fitness,Max fitness,31.056666666666644,33.5933333333333,2.5366666666666546,0.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,occupancy_entropy,Occupancy entropy (coverage-derived),0.9979988936305829,0.8713946103666332,-0.12660428326394968,9.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,mean_pairwise_descriptor_euclidean,Mean pairwise elite descriptor distance (Euclidean),1.044516304997094,20.051325210575083,19.00680890557799,0.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,mean_pairwise_descriptor_knn_geodesic,Mean pairwise elite descriptor distance (k-NN geodesic),1.0541651799191893,20.22305360891644,19.168888428997253,0.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,elapsed_seconds,Wall-clock runtime (s),956.1234727666665,912.4467764333335,-43.676696333332984,9.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
baseline_a_handcrafted_map_elites vs baseline_b_learned_bd_euclidean,baseline_a_handcrafted_map_elites,baseline_b_learned_bd_euclidean,evaluations_per_second,Throughput (eval/s),20.938816562194756,21.921988990220147,0.9831724280253908,0.0,0.1,Unpaired reference only; the matched-seed Wilcoxon table is authoritative.
